experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,14.0,23,AN19.KOR.kf4.W12,word,KOR,AN19.KOR.kf4,fade,,bait,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,5.0,24,AN19.KOR.km6.W12,word,KOR,AN19.KOR.km6,fade,,faith,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,7.0,25,AN19.KOR.kf6.W13,word,KOR,AN19.KOR.kf6,fin,,feel,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,22.0,26,AN19.KOR.km7.W36,word,KOR,AN19.KOR.km7,firm,,farm,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,21.0,27,AN19.KOR.kf6.W36,word,KOR,AN19.KOR.kf6,firm,,farm,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,10.0,28,AN19.KOR.km6.W28,word,KOR,AN19.KOR.km6,food,,put,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,8.0,29,AN19.KOR.kf2.W25,word,KOR,AN19.KOR.kf2,girl,,gar,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,1.0,30,AN19.KOR.kf6.W14,word,KOR,AN19.KOR.kf6,goat,,God,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,7.0,31,AN19.KOR.kf6.W15,word,KOR,AN19.KOR.kf6,knob,,not,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,23.0,32,AN19.KOR.km7.W16,word,KOR,AN19.KOR.km7,lad,,land,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,1.0,33,AN19.KOR.kf4.W26,word,KOR,AN19.KOR.kf4,live,,leave,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,17.0,34,AN19.KOR.km6.W26,word,KOR,AN19.KOR.km6,live,,life,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,15.0,35,AN19.KOR.kf2.W21,word,KOR,AN19.KOR.kf2,pat,,pet,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,9.0,36,AN19.KOR.kf2.W24,word,KOR,AN19.KOR.kf2,rat,,wet,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,18.0,37,AN19.KOR.km6.W26,word,KOR,AN19.KOR.km6,rum,,run,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,12.0,38,AN19.KOR.km7.W38,word,KOR,AN19.KOR.km7,rut,,rat,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,18.0,39,AN19.KOR.kf6.W38,word,KOR,AN19.KOR.kf6,rut,,rotat,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,19.0,40,AN19.KOR.kf6.W17,word,KOR,AN19.KOR.kf6,shall,,shell,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,21.0,41,AN19.KOR.km7.W17,word,KOR,AN19.KOR.km7,shall,,shell,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,16.0,42,AN19.KOR.km6.W29,word,KOR,AN19.KOR.km6,size,,sigh,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,21.0,43,AN19.KOR.km6.W28,word,KOR,AN19.KOR.km6,soak,,suck,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,4.0,44,AN19.KOR.km6.W31,word,KOR,AN19.KOR.km6,wed,,wet,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,9.0,45,AN19.KOR.km2.W01,word,KOR,AN19.KOR.km2,ban,,ban,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,15.0,46,AN19.KOR.kf2.W02,word,KOR,AN19.KOR.kf2,bead,,bead,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,24.0,47,AN19.KOR.km2.W02,word,KOR,AN19.KOR.km2,bead,,bead,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,2.0,48,AN19.KOR.kf2.W03,word,KOR,AN19.KOR.kf2,bean,,bean,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,18.0,49,AN19.KOR.km2.W03,word,KOR,AN19.KOR.km2,bean,,bean,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,23.0,50,AN19.KOR.kf2.W05,word,KOR,AN19.KOR.kf2,both,,both,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,23.0,51,AN19.KOR.km2.W05,word,KOR,AN19.KOR.km2,both,,both,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,19.0,52,AN19.KOR.km2.W04,word,KOR,AN19.KOR.km2,bug,,bug,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,17.0,53,AN19.KOR.km2.W05,word,KOR,AN19.KOR.km2,bum,,bum,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,16.0,54,AN19.KOR.kf4.W30,word,KOR,AN19.KOR.kf4,cause,,cause,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,7.0,55,AN19.KOR.km2.W06,word,KOR,AN19.KOR.km2,chat,,chat,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,13.0,56,AN19.KOR.kf4.W07,word,KOR,AN19.KOR.kf4,cheer,,cheer,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,3.0,57,AN19.KOR.kf4.W32,word,KOR,AN19.KOR.kf4,chief,,chief,,1,0
