experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
X21,X21.9ed81ed8f97a93609ba9cf98a39bd8bf,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,test,3,2,X21.CMN.CMN_M_032.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_032,were,,were very dirty,,1,0
X21,X21.9ed81ed8f97a93609ba9cf98a39bd8bf,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,test,3,3,X21.CMN.CMN_M_032.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_032,very,,were very dirty,,1,0
X21,X21.9ed81ed8f97a93609ba9cf98a39bd8bf,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,test,3,4,X21.CMN.CMN_M_032.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_032,dirty,,were very dirty,,1,0
X21,X21.da814bfa96b46299d008d1d010b9e28c,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_035,test,13,1,X21.CMN.CMN_M_035.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_035,shoes,,the shoes were very dirty,,1,0
X21,X21.da814bfa96b46299d008d1d010b9e28c,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_035,test,13,2,X21.CMN.CMN_M_035.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_035,were,,the shoes were very dirty,,1,0
X21,X21.da814bfa96b46299d008d1d010b9e28c,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_035,test,13,3,X21.CMN.CMN_M_035.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_035,very,,the shoes were very dirty,,1,0
X21,X21.da814bfa96b46299d008d1d010b9e28c,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_035,test,13,4,X21.CMN.CMN_M_035.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_035,dirty,,the shoes were very dirty,,1,0
X21,X21.823314ed0676126bc658df08ced4e0d5,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_043,test,12,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,the stools were very dirty,,0,1
X21,X21.823314ed0676126bc658df08ced4e0d5,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_043,test,12,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,the stools were very dirty,,1,0
X21,X21.823314ed0676126bc658df08ced4e0d5,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_043,test,12,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,the stools were very dirty,,1,0
