dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.MIX.im3,AN19.ENG.ef1,138,14.54075512858871,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im4,138,16.5848424270147,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im4,AN19.ENG.ef1,138,16.5848424270147,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im5,138,16.01069008717398,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im5,AN19.ENG.ef1,138,16.01069008717398,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im6,138,18.149648061062504,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im6,AN19.ENG.ef1,138,18.149648061062504,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf1,138,20.64160722664301,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf1,AN19.ENG.ef1,138,20.64160722664301,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf2,138,19.401762508918868,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf2,AN19.ENG.ef1,138,19.401762508918868,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf3,138,16.476310899197074,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf3,AN19.ENG.ef1,138,16.476310899197074,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf4,138,21.094755559861028,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf4,AN19.ENG.ef1,138,21.094755559861028,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf5,138,15.295920781020756,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf5,AN19.ENG.ef1,138,15.295920781020756,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sf6,138,17.371264374581948,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf6,AN19.ENG.ef1,138,17.371264374581948,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm2,138,19.14610269857133,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm2,AN19.ENG.ef1,138,19.14610269857133,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm3,138,18.66096243154194,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm3,AN19.ENG.ef1,138,18.66096243154194,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.SPA.sm4,138,16.51091501860094,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm4,AN19.ENG.ef1,138,16.51091501860094,138 globally common words,2.0,mean_sequence_length
