tau,objective,best_k,best_score,linear_limit_score,improvement_over_limit,mean_distance,sd_distance,zero_distance_rows,best_k_times_mean_distance
2.75,log_likelihood,0.0531829589694498,-3162.48530905051,-3162.82263545926,0.33732640874995923,8.478432604362125,4.820340132355649,0,0.4509081333230363
2.875,log_likelihood,0.0531829589694498,-3162.4957887832,-3162.8390238257,0.343235042500055,8.407416576641424,4.779004153732217,0,0.44713129083459296
3.0,log_likelihood,0.0531829589694498,-3162.50627529804,-3162.85546868342,0.34919338538020384,8.344870546314745,4.742657147216686,0,0.4438049078700272
3.125,log_likelihood,0.0531829589694498,-3162.51728045304,-3162.87250961329,0.35522916025001905,8.289457921432822,4.710490880860132,0,0.44085790051454243
3.25,log_likelihood,0.0531829589694498,-3162.52757957563,-3162.88871745024,0.36113787460999447,8.240151898458915,4.681927177092509,0,0.4382356603177744
3.375,log_likelihood,0.0531829589694498,-3162.53732563825,-3162.90389981774,0.36657417948981674,8.196097588810794,4.656461815375074,0,0.4358927217753309
3.5,log_likelihood,0.0764360518996801,-3162.54562696807,-3162.91817231142,0.37254534335033895,8.156596159208348,4.633692869271688,0,0.6234580073499807
3.625,log_likelihood,0.0764360518996801,-3162.55184630266,-3162.93209311876,0.3802468160997705,8.121009397170068,4.61321278983619,0,0.6207378957598811
3.75,log_likelihood,0.0764360518996801,-3162.55780500769,-3162.94545404147,0.38764903377978044,8.088843253473891,4.594708444286847,0,0.6182792427309076
3.875,log_likelihood,0.0764360518996801,-3162.56291879054,-3162.9574352498,0.3945164592596484,8.05966845220693,4.577957063371919,0,0.6160492361071033
4.0,log_likelihood,0.0764360518996801,-3162.56700086139,-3162.9677075159,0.4007066545100315,8.033114593696757,4.562719515314509,0,0.6140195639998829
