dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials
B23,ft,hubert_tsne_3d,cnn_5,mean_dissimilarity_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,10.0918669333104,0.622932257587763,7.71546409048097,4.85293281597819,0.293911505150228,0.0380938206313271,1.20542797212643e-14,0.250223578814581,0.05156131112937,1.21648911010695e-06,-0.0813364930370974,-0.0810357823366663,-0.0036971190815166,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,mean_dissimilarity_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,10.0918669333104,0.622932257587763,6.25718540683056,6.86276180171545,0.235781721473093,0.0376817540384381,3.91987302755729e-10,0.359659621098181,0.052407417230812,6.754179899712439e-12,-0.0813163140822913,-0.0843968859679123,0.0378838111440163,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,mean_dissimilarity_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,10.0918669333104,0.622932257587763,8.25674451760885,3.92020666670919,0.303404264263064,0.0367462337748256,1.49699376292179e-16,0.217783991686079,0.0555542118571258,8.84730648601255e-05,-0.0794773317355253,-0.0818406431563414,0.0297356663744117,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_phoneme,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,168.56788721502,11.5281685158092,-0.611057652715265,-6.08917170553112,-0.0227683759572577,0.0372606019351615,0.541161413445219,-0.315125619608946,0.0517518038328105,1.13496342920973e-09,-0.0829870518698918,-0.0802780735817346,-0.0326433850476378,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_phoneme,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,168.56788721502,11.5281685158092,-0.850836176594489,-5.7272642404197,-0.0314742312871419,0.0369921168762698,0.394860362559508,-0.299182075869949,0.0522382176394963,1.02063130869694e-08,-0.0823857195789315,-0.085200511433859,0.0341660165052108,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_phoneme,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,168.56788721502,11.5281685158092,-8.33467312106763,4.86117756719938,-0.306422059692422,0.0367647363299559,7.77125889648517e-17,0.260645329106464,0.053617734695634,1.16689523181413e-06,-0.0794405722860224,-0.0813947057839001,0.024598683539715,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_sentence,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,171.214999518377,11.6845887383284,0.271370604621536,-6.89676897922226,0.0101595062209136,0.037437755040132,0.786106008172187,-0.351225491046381,0.0509260919286277,5.319858837447979e-12,-0.0829953387683293,-0.0797200971114692,-0.0394629590705399,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_sentence,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,171.214999518377,11.6845887383284,-2.62513819457438,-2.9287382080556,-0.0972046686061863,0.0370284005646211,0.0086613805381222,-0.150561774480931,0.0514084099653583,0.0034034093759935,-0.0822156460068606,-0.086554765226854,0.052777292775043,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_sentence,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,171.214999518377,11.6845887383284,-6.94766181041303,3.42673503365477,-0.251160761464626,0.0361504011447694,3.7138998424750896e-12,0.188478154040815,0.0550022549714894,0.0006108848409291,-0.0800479956409794,-0.0820408848373221,0.0248961786036585,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_word,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,185.071608414208,17.9923584181048,-2.6545282206909,-7.06531118110419,-0.0995319036214232,0.0374951386259958,0.0079419396172097,-0.37188179582922,0.052634878534975,1.60256459914193e-12,-0.0828016514941018,-0.0795277907750072,-0.0395385920452064,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_word,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,185.071608414208,17.9923584181048,-3.16991293650496,-6.3442956915902,-0.118116655106994,0.0372617978704567,0.0015248461962094,-0.336565704021275,0.0530501288689012,2.23445299144804e-10,-0.0821263375876421,-0.0847607697023858,0.0320777985738422,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,order_word,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,185.071608414208,17.9923584181048,-9.45971017407477,2.64866591926536,-0.35346490064044,0.0373652991620339,3.08797915977313e-21,0.141307804154126,0.0533505577756364,0.0080810171145735,-0.078851968955869,-0.082308166477622,0.0438314675907128,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,486.551074844887,67.3277374922788,6.15747125204728,-0.649385041751666,0.232336832435075,0.0377325078631632,7.39156553186528e-10,-0.0331770451988496,0.0510899436632496,0.516089530021151,-0.0819420161417944,-0.0823204602535346,0.004618437885216,480,240,18032,9016
B23,ft,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,486.551074844887,67.3277374922788,2.2073105904225,4.7906626309466,0.082097470597598,0.037193438455747,0.0272923679287927,0.249686403953749,0.0521193878986241,1.6623142461803e-06,-0.0822708452007166,-0.0857515454802491,0.0423078220606656,480,240,18032,9016
