interval_id,recording_id,speaker_id,comparison_word,canonical_sequence,canonical_position,canonical_phone,audio_sha256
AN19-rec-0555ed8b26decd68d6db:phone:1,AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,w er k,0,w,131e6fe2442e61972f8d3c26ae4156470fc5b7a83c2ab2fbe1b6e3f32d873373
AN19-rec-0555ed8b26decd68d6db:phone:3,AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,work,w er k,2,k,131e6fe2442e61972f8d3c26ae4156470fc5b7a83c2ab2fbe1b6e3f32d873373
AN19-rec-05cb836f7a6affab7630:phone:1,AN19-rec-05cb836f7a6affab7630,AN19.ENG.em2,league,l iy g,0,l,017e486d0910db928ac6f92acadaa9b716e4ed55b363088c685e104925f12679
AN19-rec-05cb836f7a6affab7630:phone:2,AN19-rec-05cb836f7a6affab7630,AN19.ENG.em2,league,l iy g,1,iy,017e486d0910db928ac6f92acadaa9b716e4ed55b363088c685e104925f12679
AN19-rec-05cb836f7a6affab7630:phone:3,AN19-rec-05cb836f7a6affab7630,AN19.ENG.em2,league,l iy g,2,g,017e486d0910db928ac6f92acadaa9b716e4ed55b363088c685e104925f12679
AN19-rec-06268e2c2bc1d0155ecc:phone:1,AN19-rec-06268e2c2bc1d0155ecc,AN19.ENG.em2,dirt,d er t,0,d,cfc577ef66be4fe7ad00c59d1d85a8531652024b64f10a2e4aca91b829fbed44
AN19-rec-06268e2c2bc1d0155ecc:phone:3,AN19-rec-06268e2c2bc1d0155ecc,AN19.ENG.em2,dirt,d er t,2,t,cfc577ef66be4fe7ad00c59d1d85a8531652024b64f10a2e4aca91b829fbed44
AN19-rec-062b935d55804f0169cd:phone:1,AN19-rec-062b935d55804f0169cd,AN19.ENG.em3,wash,w aa sh,0,w,2f001b4b8a56de4bf3c6878bca0be266f3efe99a9a94a2408e43392a92b69287
AN19-rec-062b935d55804f0169cd:phone:2,AN19-rec-062b935d55804f0169cd,AN19.ENG.em3,wash,w aa sh,1,aa,2f001b4b8a56de4bf3c6878bca0be266f3efe99a9a94a2408e43392a92b69287
AN19-rec-062b935d55804f0169cd:phone:3,AN19-rec-062b935d55804f0169cd,AN19.ENG.em3,wash,w aa sh,2,sh,2f001b4b8a56de4bf3c6878bca0be266f3efe99a9a94a2408e43392a92b69287
AN19-rec-063c64cbd6096463a454:phone:1,AN19-rec-063c64cbd6096463a454,AN19.ENG.ef3,move,m uw v,0,m,841988a5446e04176ad1de4b5b87ec4c4b48707241e86bd54f594e02ff0e0ac6
AN19-rec-063c64cbd6096463a454:phone:3,AN19-rec-063c64cbd6096463a454,AN19.ENG.ef3,move,m uw v,2,v,841988a5446e04176ad1de4b5b87ec4c4b48707241e86bd54f594e02ff0e0ac6
AN19-rec-065e0353367d64a9927d:phone:1,AN19-rec-065e0353367d64a9927d,AN19.ENG.em2,ship,sh ih p,0,sh,9c2fd4ea94a7f865b984e009ba8454aa211a44bfb08168692f48b2586eede43c
AN19-rec-065e0353367d64a9927d:phone:2,AN19-rec-065e0353367d64a9927d,AN19.ENG.em2,ship,sh ih p,1,ih,9c2fd4ea94a7f865b984e009ba8454aa211a44bfb08168692f48b2586eede43c
AN19-rec-065e0353367d64a9927d:phone:3,AN19-rec-065e0353367d64a9927d,AN19.ENG.em2,ship,sh ih p,2,p,9c2fd4ea94a7f865b984e009ba8454aa211a44bfb08168692f48b2586eede43c
AN19-rec-06e0dfe7c8925c76c269:phone:1,AN19-rec-06e0dfe7c8925c76c269,AN19.ENG.ef3,king,k ih ng,0,k,8ac586338e74606161859cfc74e3311bb796872cac7c7fc94dd4c0e300c68c2d
AN19-rec-06e0dfe7c8925c76c269:phone:3,AN19-rec-06e0dfe7c8925c76c269,AN19.ENG.ef3,king,k ih ng,2,ng,8ac586338e74606161859cfc74e3311bb796872cac7c7fc94dd4c0e300c68c2d
AN19-rec-0742a2131f0ce44c5ce4:phone:1,AN19-rec-0742a2131f0ce44c5ce4,AN19.ENG.ef1,mole,m ow l,0,m,cfc0265010e0d2813cf14e5f1d334d1e0f261d2de0cfe7f0144c7ae9bb4ebbc7
