dataset_id,feature_key,condition_id,comparison,gain,ci_low,ci_high
AN19,strf_rate_16,AN19.Korean.test_Spanish,predictor_only,0.0423966650244246,0.03751347824114302,0.047122833598073864
AN19,strf_rate_16,AN19.Korean.test_Spanish,predictor_beyond_condition,0.04129618552371754,0.03641059197798,0.04614151775657438
AN19,strf_rate_16,AN19.Mixed.test_Korean,predictor_only,0.029423821529388574,0.021526768658685514,0.037382650441857214
AN19,strf_rate_16,AN19.Mixed.test_Korean,predictor_beyond_condition,0.03745884019643688,0.029519669499780073,0.045379007218307496
AN19,strf_rate_16,AN19.Mixed.test_Spanish,predictor_only,0.044127778872237296,0.0392184640562371,0.048622923737339396
AN19,strf_rate_16,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.035096709895749145,0.02936292067457089,0.04052921965766948
AN19,strf_rate_16,AN19.Spanish.test_Korean,predictor_only,0.03703757775235503,0.03128226089825305,0.04180533076243761
AN19,strf_rate_16,AN19.Spanish.test_Korean,predictor_beyond_condition,0.042623117980406196,0.03576594707132729,0.04876848033362385
AN19,strf_rate_16,AN19.Spanish.test_Spanish,predictor_only,0.03663819844204495,0.02963817048552048,0.0435721787998087
AN19,strf_rate_16,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03912144539161369,0.03242179536561682,0.04655926217938939
AN19,strf_rate_2,AN19.Korean.test_Korean,predictor_only,0.0031951496392046736,0.0004010329385670358,0.006064643039241489
AN19,strf_rate_2,AN19.Korean.test_Korean,predictor_beyond_condition,0.002601452603690729,-2.7136886685298548e-05,0.005371300049947169
AN19,strf_rate_2,AN19.Korean.test_Spanish,predictor_only,0.020002562583972573,0.01519155082454979,0.024962002668493626
AN19,strf_rate_2,AN19.Korean.test_Spanish,predictor_beyond_condition,0.02128268105197835,0.018679073461647155,0.023682030261516804
AN19,strf_rate_2,AN19.Mixed.test_Korean,predictor_only,0.0036675736271806984,0.00021119368722663287,0.0072168895055256385
AN19,strf_rate_2,AN19.Mixed.test_Korean,predictor_beyond_condition,0.004259217977489059,0.0004689729916667382,0.007958469800072013
AN19,strf_rate_2,AN19.Mixed.test_Spanish,predictor_only,0.02386689178817459,0.01873492175427483,0.029211444324977735
AN19,strf_rate_2,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.01639741153919302,0.013169957551939232,0.020032874265117948
AN19,strf_rate_2,AN19.Spanish.test_Korean,predictor_only,-0.001984346469803594,-0.006120319504653118,0.001926739511275149
AN19,strf_rate_2,AN19.Spanish.test_Korean,predictor_beyond_condition,-0.00154867726323935,-0.005668300075087184,0.0021622066953664297
AN19,strf_rate_2,AN19.Spanish.test_Spanish,predictor_only,0.01279361856556857,0.009023113147358354,0.016610978970785305
AN19,strf_rate_2,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.01726542653400038,0.014646360737407348,0.01990724737899291
AN19,strf_rate_4,AN19.Korean.test_Korean,predictor_only,0.02592237049836967,0.020431968715382765,0.03073965371730304
AN19,strf_rate_4,AN19.Korean.test_Korean,predictor_beyond_condition,0.02408792217724467,0.01998294950764663,0.02799480794202401
AN19,strf_rate_4,AN19.Korean.test_Spanish,predictor_only,0.04501010664905463,0.03647396195523577,0.054509469361615236
AN19,strf_rate_4,AN19.Korean.test_Spanish,predictor_beyond_condition,0.040633690590508,0.03442301597030265,0.04696924095177273
AN19,strf_rate_4,AN19.Mixed.test_Korean,predictor_only,0.019660277887916043,0.014560536607193973,0.024320122264820308
AN19,strf_rate_4,AN19.Mixed.test_Korean,predictor_beyond_condition,0.024629092850480188,0.018841609711741928,0.029673201535219303
AN19,strf_rate_4,AN19.Mixed.test_Spanish,predictor_only,0.048939921976209215,0.03666243071091054,0.0615373978324611
AN19,strf_rate_4,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.035695888828814436,0.02589909092465469,0.044855650396949776
AN19,strf_rate_4,AN19.Spanish.test_Korean,predictor_only,0.008905998086642603,0.0016046788446564472,0.015648952856854376
AN19,strf_rate_4,AN19.Spanish.test_Korean,predictor_beyond_condition,0.012033309498887796,0.004900230633953365,0.01862297642769065
AN19,strf_rate_4,AN19.Spanish.test_Spanish,predictor_only,0.03432459266279687,0.02831211836464709,0.04003973134451199
AN19,strf_rate_4,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.0377104097036532,0.0314165032570682,0.04416110196839262
AN19,strf_rate_8,AN19.Korean.test_Korean,predictor_only,0.020250508305083403,0.013337485499212362,0.026784811935424598
AN19,strf_rate_8,AN19.Korean.test_Korean,predictor_beyond_condition,0.020208701573702702,0.013776215470497429,0.026969566793368475
AN19,strf_rate_8,AN19.Korean.test_Spanish,predictor_only,0.02992858518702865,0.025439786167729215,0.034335037708727964
AN19,strf_rate_8,AN19.Korean.test_Spanish,predictor_beyond_condition,0.02882306693765023,0.024324900327731297,0.032888423817449046
