dataset_id,family,variant,method,feature_key,full_z,full_estimate,full_conf_low,full_conf_high,mean_cv_train_z,cv_train_z_ci_low,cv_train_z_ci_high,predictor_oof_total_log_loss
AN19,HVE,base,base,tr_24::within_type_word,-0.786536843790758,-0.0394733269010322,-0.137838357524576,0.0588917037225112,-0.6147734488570884,-1.7696876923051803,0.513216122829864,3979.81302107619
AN19,HVE,ft,ft,tr_24::between_type_word,-0.43294467071891,-0.0251915995640431,-0.139237431479553,0.0888542323514667,-0.41193639343305327,-1.42410363376115,0.242161462795076,3978.08334353642
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,-1.63797194808133,-0.0810642581204648,-0.178065886324309,0.0159373700833789,-1.3529294301211585,-1.58262549763345,-0.895886273329295,3976.30908395761
AN19,HVE,ft,ft,tr_24::order_word,1.49547947549686,0.0756086732077475,-0.0234852975991398,0.174702644014635,1.2305000132497301,1.0613558214206,1.41585558079894,3974.07460114117
AN19,HVE,ft,ft,tr_24::overall,-1.97629071043512,-0.106824216001245,-0.212767872092378,-0.0008805599101116,-1.6283097596035965,-2.31189838891039,-1.05583744679772,3978.65050817429
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,1.56735829524958,0.0788267344082771,-0.0197470249602666,0.177400493776821,1.28961783432233,1.20509338796675,1.36209031700023,3974.35452114999
AN19,HVE,ft,ft,tr_24::within_token_word,-1.77393007746229,-0.0929129536884955,-0.195571672621752,0.0097457652447608,-1.44670062507507,-2.12884655157614,-1.01028881629543,3976.9272635922
AN19,HVE,ft,ft,tr_24::within_type_word,-0.622473655743625,-0.0314832093648729,-0.13061526063447,0.0676488419047247,-0.5161910223699087,-1.05597415607153,0.198440207458394,3976.95923265936
X21,SBI,base,HuBERT base,tr_24,4.33087719090689,0.178139478134349,0.0975199265394884,0.25875902972921,4.105179302300043,3.82423754559243,4.33362970578727,7968.03057837531
X21,SBI,ft,HuBERT ASR-FT,tr_24,4.67292419124214,0.177117522665414,0.102827778124976,0.251407267205852,4.469874833732086,4.0745274128901,4.70986018935417,7962.61663704183
X21,SBI,acoustic,acoustic,mfcc39,4.42037652340847,0.252744910753789,0.140677528607924,0.364812292899654,3.76067022348801,3.3143321937005994,4.18970058756342,8047.81937980461
X21,SBI,acoustic,acoustic,strf24_legacy,4.04170289885834,0.222250437089783,0.114471397512425,0.33002947666714,3.4756745581122765,3.18633641681463,3.9768921154191204,8055.84418612787
X21,HVE,base,base,tr_24::between_type_phoneme,-0.20952146203529,-0.0170018563416174,-0.176048276244688,0.142044563561453,-0.07784705052599301,-0.8777607758930849,0.327816034014513,8143.06408012399
X21,HVE,base,base,tr_24::between_type_sentence,0.235768649350963,0.014853205388655,-0.108624969686384,0.138331380463694,0.2613206024637566,-0.22039967540983904,1.00238673568514,8148.50762004769
X21,HVE,base,base,tr_24::between_type_word,1.59294023189475,0.118363881169972,-0.027274481430235,0.264002243770179,1.1356442410945775,0.261336213487863,1.70099376074608,8152.82502403869
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,-2.23633282140934,-0.14925871044278,-0.280074244547173,-0.0184431763383863,-1.88024734034291,-2.22947850560598,-1.65719748547572,8119.01742981745
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,-3.27693165728856,-0.199811880059064,-0.319323461585245,-0.080300298532883,-2.6985038397514267,-3.18825933296038,-2.37006757944431,8103.84003547879
X21,HVE,base,base,tr_24::mean_dissimilarity_word,-3.45557483285701,-0.210078286815847,-0.329234566762078,-0.090922006869616,-2.84099784210113,-3.3699832598896804,-2.55630532775079,8098.6891510238
X21,HVE,base,base,tr_24::order_phoneme,-2.78775316111171,-0.183317591290752,-0.312203636132178,-0.054431546449325,-2.3403475901292166,-3.0348799594985,-1.5875103943956799,8115.69499881238
X21,HVE,base,base,tr_24::order_sentence,-2.29928034929773,-0.140151868686146,-0.259623016564545,-0.0206807208077469,-1.8849947419584907,-3.05247946270774,-0.8780673345670419,8129.2514706826
X21,HVE,base,base,tr_24::order_word,-0.869613833785713,-0.059175229779739,-0.192548740943165,0.0741982813836869,-0.7924899135655586,-1.94589676933267,-0.177760128542884,8137.29805826991
X21,HVE,base,base,tr_24::overall,-0.711967221827164,-0.0456337437086671,-0.171260507029943,0.0799930196126089,-0.5802724565596513,-2.03838321343905,0.653146360191569,8155.11498002565
X21,HVE,base,base,tr_24::overall_order_sensitive,-2.39690585160726,-0.146156337177808,-0.265671428134096,-0.0266412462215188,-1.9770080990993417,-3.1551229414972597,-0.926996425524695,8125.99320575686
X21,HVE,base,base,tr_24::within_token_phoneme,-0.575884209499918,-0.0371604639779593,-0.163634689517235,0.0893137615613166,-0.5252101106031782,-1.36305903771286,0.0234625162642131,8146.98245638494
X21,HVE,base,base,tr_24::within_token_sentence,-0.865359764493143,-0.0542459152612643,-0.177110414253025,0.0686185837304964,-0.7621798569464727,-2.40980606538375,0.606322049404201,8168.40389083216
