dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,measure
X21,HVE,base,base,tr_24::between_type_phoneme,predictor_only_percent_ceiling,-0.1615962643301442,-0.6819711035274933,0.3249102152916377,16477,320,16477,79.88342397630605,115.07691975609953,between_type_phoneme
X21,HVE,base,base,tr_24::between_type_sentence,predictor_only_percent_ceiling,-0.3942242107726727,-0.9517127168169913,0.1367697064383541,16477,320,16477,79.88342397630605,115.07691975609953,between_type_sentence
X21,HVE,base,base,tr_24::between_type_word,predictor_only_percent_ceiling,-0.5787270964804611,-1.835374086839617,0.5858331265789994,16477,320,16477,79.88342397630605,115.07691975609953,between_type_word
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,0.8660296846001033,-0.5824701746787453,2.195668656537095,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_phoneme
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,predictor_only_percent_ceiling,1.5146308020419965,-0.5732522440437087,3.328507568014866,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_sentence
X21,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,1.7347522101554238,-0.3783214625559854,3.7664253311307476,16477,320,16477,79.88342397630605,115.07691975609953,mean_dissimilarity_word
X21,HVE,base,base,tr_24::order_phoneme,predictor_only_percent_ceiling,1.0080127163665196,-0.7098802117589125,2.6143689894047997,16477,320,16477,79.88342397630605,115.07691975609953,order_phoneme
X21,HVE,base,base,tr_24::order_sentence,predictor_only_percent_ceiling,0.42868120481711625,-1.2536604437610992,2.0205326295071906,16477,320,16477,79.88342397630605,115.07691975609953,order_sentence
X21,HVE,base,base,tr_24::order_word,predictor_only_percent_ceiling,0.0848128447895563,-0.745108932887391,0.9161371011286531,16477,320,16477,79.88342397630605,115.07691975609953,order_word
X21,HVE,base,base,tr_24::overall,predictor_only_percent_ceiling,-0.6765876368928436,-1.6825683484853453,0.3735268051295043,16477,320,16477,79.88342397630605,115.07691975609953,overall
X21,HVE,base,base,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.5679221196012889,-1.127677363991761,2.1905592561693363,16477,320,16477,79.88342397630605,115.07691975609953,overall_order_sensitive
X21,HVE,base,base,tr_24::within_token_phoneme,predictor_only_percent_ceiling,-0.3290468269695573,-1.0263947342560578,0.3489252014359685,16477,320,16477,79.88342397630605,115.07691975609953,within_token_phoneme
X21,HVE,base,base,tr_24::within_token_sentence,predictor_only_percent_ceiling,-1.244485011525519,-2.452962661458929,-0.07504132162789637,16477,320,16477,79.88342397630605,115.07691975609953,within_token_sentence
X21,HVE,base,base,tr_24::within_token_word,predictor_only_percent_ceiling,-0.7856831215348775,-1.7280533685290789,0.06414495585886308,16477,320,16477,79.88342397630605,115.07691975609953,within_token_word
X21,HVE,base,base,tr_24::within_type_phoneme,predictor_only_percent_ceiling,0.08137500856224451,-0.28422868738538726,0.44530064186918467,16477,320,16477,79.88342397630605,115.07691975609953,within_type_phoneme
X21,HVE,base,base,tr_24::within_type_sentence,predictor_only_percent_ceiling,0.5076956459747458,-0.7185192296838605,1.7776426286243996,16477,320,16477,79.88342397630605,115.07691975609953,within_type_sentence
X21,HVE,base,base,tr_24::within_type_word,predictor_only_percent_ceiling,1.5213766943594895,-0.5127193035592165,3.6174683369185843,16477,320,16477,79.88342397630605,115.07691975609953,within_type_word
X21,HVE,ft,ft,tr_24::between_type_phoneme,predictor_only_percent_ceiling,0.17456203956729194,-0.3999597900877462,0.782575827185453,16477,320,16477,79.88342397630605,115.07691975609953,between_type_phoneme
X21,HVE,ft,ft,tr_24::between_type_sentence,predictor_only_percent_ceiling,1.2052717175820278,-0.6393832382780861,2.9293616695853304,16477,320,16477,79.88342397630605,115.07691975609953,between_type_sentence
