dataset_id,feature_key,fold,model_id,train_mean_log_loss,train_total_log_loss,train_total_trials,test_mean_log_loss,test_total_log_loss,test_total_trials,train_predictor_mean,train_predictor_sd,random_structure,formula,prediction_convention,likelihood_convention,predictor_column,predictor_term,predictor_direction,ratio,ratio_status,invalid_reason,fit_warning,has_fit_warning,run_label,family,variant,stratum,measure,layer
AN19,cnn_3,2,M_predictor,0.67652003374463,2563.3344078584,3789,0.671812678595992,1273.756838618,1896,26.1870580480873,4.92056400633444,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9930418096821433,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,2,M_joint,0.675379623580423,2559.01339374622,3789,0.673079079580637,1276.15793488489,1896,26.1870580480873,4.92056400633444,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9965937023868293,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_4,0,M_null,0.692136623020008,2623.88993786885,3791,0.695310909407465,1316.91886241774,1894,29.7521086692587,5.95570813116176,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0045862135911934,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,0,M_condition,0.679893395862702,2577.4758637155,3791,0.684972386211616,1297.3376994848,1894,29.7521086692587,5.95570813116176,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0074702745751332,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,0,M_predictor,0.687335699580776,2605.68963711072,3791,0.692210926396061,1311.04749459414,1894,29.7521086692587,5.95570813116176,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0070929340906611,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,0,M_joint,0.676956992580529,2566.34395887278,3791,0.68298525066264,1293.57406475504,1894,29.7521086692587,5.95570813116176,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.008904935096588,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,1,M_null,0.69473513033193,2633.04614395801,3790,0.692965405193555,1313.16944284179,1895,29.7379359837994,6.02689622289732,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9974526620850028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,1,M_condition,0.681518412125796,2582.95478195677,3790,0.684917844322057,1297.9193149903,1895,29.7379359837994,6.02689622289732,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0049880269348226,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,1,M_predictor,0.692769675389271,2625.59706972534,3790,0.690860108958544,1309.17990647644,1895,29.7379359837994,6.02689622289732,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9972435767635844,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,1,M_joint,0.680377476002055,2578.63063404779,3790,0.683763839286297,1295.73247544753,1895,29.7379359837994,6.02689622289732,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0049771831133218,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,2,M_null,0.689888541811455,2613.9876849236,3789,0.688566500985719,1305.52208586892,1896,29.752279054673,5.95868340439386,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9980836892546951,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,2,M_condition,0.684246347530951,2592.60941079478,3789,0.684802391518476,1298.38533431903,1896,29.752279054673,5.95868340439386,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0008126371292028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,2,M_predictor,0.685911586320102,2598.91900056687,3789,0.683763391694685,1296.41539065312,1896,29.752279054673,5.95868340439386,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.996868117308031,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_4,2,M_joint,0.682417368603559,2585.67940963888,3789,0.682319472997157,1293.67772080261,1896,29.752279054673,5.95868340439386,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.999856545845833,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_4
AN19,cnn_5,0,M_null,0.692136623020008,2623.88993786885,3791,0.695310909407465,1316.91886241774,1894,30.5043979823794,6.23798034193747,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0045862135911934,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,0,M_condition,0.679893395862702,2577.4758637155,3791,0.684972386211616,1297.3376994848,1894,30.5043979823794,6.23798034193747,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0074702745751332,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,0,M_predictor,0.690353657603802,2617.13071597601,3791,0.694441615436943,1315.27241963757,1894,30.5043979823794,6.23798034193747,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.005921541499947,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,0,M_joint,0.678688689811691,2572.90882307612,3791,0.684222559135514,1295.91752700266,1894,30.5043979823794,6.23798034193747,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0081537668254918,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,1,M_null,0.69473513033193,2633.04614395801,3790,0.692965405193555,1313.16944284179,1895,30.4954079960432,6.31126779255291,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9974526620850028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,1,M_condition,0.681518412125796,2582.95478195677,3790,0.684917844322057,1297.9193149903,1895,30.4954079960432,6.31126779255291,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0049880269348226,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,1,M_predictor,0.699732457207489,2651.98601281638,3790,0.698014362017106,1322.73721602242,1895,30.4954079960432,6.31126779255291,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9975446398510087,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,1,M_joint,0.685713109767163,2598.85268601755,3790,0.688954503602885,1305.56878432747,1895,30.4954079960432,6.31126779255291,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0047270407836049,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,2,M_null,0.689888541811455,2613.9876849236,3789,0.688566500985719,1305.52208586892,1896,30.5055232332454,6.22260648093614,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9980836892546951,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,2,M_condition,0.684246347530951,2592.60941079478,3789,0.684802391518476,1298.38533431903,1896,30.5055232332454,6.22260648093614,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0008126371292028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,2,M_predictor,0.68865191097631,2609.30209068924,3789,0.686786032528939,1302.14631767487,1896,30.5055232332454,6.22260648093614,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9972905347133566,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_5,2,M_joint,0.683446443172172,2589.57857317936,3789,0.683434519846413,1295.7918496288,1896,30.5055232332454,6.22260648093614,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.999982554118354,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_5
AN19,cnn_6,0,M_null,0.692136623020008,2623.88993786885,3791,0.695310909407465,1316.91886241774,1894,32.2946298127413,6.89930379062607,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0045862135911934,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
AN19,cnn_6,0,M_condition,0.679893395862702,2577.4758637155,3791,0.684972386211616,1297.3376994848,1894,32.2946298127413,6.89930379062607,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0074702745751332,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
AN19,cnn_6,0,M_predictor,0.690886073417531,2619.14910432586,3791,0.694979096265451,1316.29040832676,1894,32.2946298127413,6.89930379062607,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0059243093838517,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
AN19,cnn_6,0,M_joint,0.679745459356695,2576.91503642123,3791,0.684918192343999,1297.23505629953,1894,32.2946298127413,6.89930379062607,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0076098088131393,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
AN19,cnn_6,1,M_null,0.69473513033193,2633.04614395801,3790,0.692965405193555,1313.16944284179,1895,32.221711003527,6.92052734935506,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9974526620850028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
AN19,cnn_6,1,M_condition,0.681518412125796,2582.95478195677,3790,0.684917844322057,1297.9193149903,1895,32.221711003527,6.92052734935506,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0049880269348226,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_6
