talker_id,AN19.MIX.if1,AN19.MIX.if6,AN19.MIX.if2,AN19.MIX.if4,AN19.MIX.im2,AN19.MIX.im6,AN19.MIX.if5,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if3,AN19.MIX.im1,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.MIX.im4,AN19.MIX.im3,AN19.MIX.im5
AN19.KOR.kf4,0.000233715540001,0.0005370171470065,9.0064577381325e-05,0.0007150266009376,0.0001491560020831,8.119763077796865e-05,7.819103765436579e-05,0.0001392074898762,9.588423440100878e-05,0.0003460642343012,,0.000656883102836,0.00016660699694,0.0006420397546946,7.665685738837311e-05,5.588855686924794e-05,0.0001655284645985,0.000157177845504,0.0001175760607402,9.40067984522703e-05,1.1605309319130385e-05,5.86713513211973e-05,0.0001772874083811,0.0001434583554539,0.0001257825460541,5.693320320041163e-05,0.0001495169809227,6.515193082254322e-05,7.584914856250289e-05,4.892646339850426e-05,0.0001891439636114,0.0005239434730482,6.618226676960621e-06,0.0004416673120932,0.0001359487964069,9.459590183108791e-05
AN19.KOR.kf5,7.690284861636719e-05,0.0001469027152557,0.0001391097944661,0.001240050527402,3.0111284158693487e-05,0.0001877222223724,1.4712509760959682e-05,9.000956133797622e-05,0.0003668355040437,0.0003071383943399,0.000656883102836,,0.0003723332487692,1.3142968573024736e-05,0.0003021551842296,3.3419011511474086e-05,6.17395398302419e-05,0.0004261998609573,0.0005511313329952,3.452531741217636e-05,4.553824389585723e-06,3.2306588648225065e-05,1.7826115538369814e-05,0.0001388150441306,0.0002301976431325,0.0001175580542441,7.957676097384334e-05,2.271055981852842e-05,1.869095285435729e-05,1.6742591418273716e-05,2.6164903945726843e-05,1.9025881127103607e-05,8.804026673458497e-06,5.086995530533821e-05,4.956399699910545e-05,0.000107051006753
AN19.KOR.kf6,0.0002099858015845,4.999023011565645e-05,0.0013961872820351,0.0001460928688009,5.815928092729236e-05,7.002779081751337e-05,1.3274273036665614e-06,3.715908477114847e-05,0.0002532880075624,0.0003191138881948,0.00016660699694,0.0003723332487692,,0.0003322623615993,0.0001474822820742,9.484787648372424e-05,0.000153056383944,0.0001675586165937,0.0002265804541322,8.171565396076975e-05,3.8192996695807365e-05,0.0001461723989164,4.94437306439829e-05,0.0007624490185813,0.000288409365737,0.0001623065680287,9.34320595731596e-05,4.639521727789618e-05,9.336684354875704e-05,2.3134695758533065e-05,0.0001207390166686,9.475502280677343e-05,2.6658155609516505e-05,3.28059449183166e-05,0.0001292277684245,3.306468055280325e-05
AN19.KOR.km1,2.194504951495673e-05,4.8842549259625627e-05,2.708637289397724e-05,2.917310365338436e-05,4.65951925209293e-05,6.642473526060194e-05,3.984219262231439e-06,1.9396128627769157e-05,0.0002795605032669,0.0003683177871567,0.0006420397546946,1.3142968573024736e-05,0.0003322623615993,,1.324333032517094e-05,3.389307682480808e-05,0.00012647529266,6.252717782739646e-05,0.0002809489203711,3.237837349341962e-05,1.4096780522894144e-05,1.534151752477541e-05,1.8976132874039976e-05,4.512933257510605e-06,1.9559414983185985e-05,0.0003826735451724,4.569305418907492e-06,5.924072737686532e-05,4.535856838162709e-06,0.0001547207294796,6.941705052333904e-05,2.7180686080551905e-05,5.462009318548861e-05,3.623495682225292e-05,0.0001217505980401,3.698109311579625e-05
AN19.KOR.km2,9.71485698548051e-05,0.0002425005519817,0.0001629820831637,0.000197129765304,0.0007614144293929,0.0001645138906411,6.881848914350545e-07,6.814738160165193e-05,0.000184977402798,0.000147224782124,7.665685738837311e-05,0.0003021551842296,0.0001474822820742,1.324333032517094e-05,,0.0001004927680457,0.000144358077564,0.000762310649687,0.0016014103546792,2.9206686604930312e-05,0.0001358744395132,1.733490985042564e-05,0.0001815269199534,0.0003612967164597,2.967923402067068e-05,6.791606505563383e-05,3.603466093323039e-05,0.0002979981168683,0.0003912555157169,0.0001344520708363,0.0006775483795687,0.0001189854654723,0.0002198974294764,1.833701412975904e-05,0.00011264097092,0.0001176430540723
AN19.KOR.km3,0.0009419119907632,0.0001166241240299,4.845853595204081e-05,0.0004209461493929,6.561613017046992e-05,0.0001019072245992,6.627166405332718e-06,3.8684810743457535e-05,4.567342515738595e-05,0.0002276472263109,5.588855686924794e-05,3.3419011511474086e-05,9.484787648372424e-05,3.389307682480808e-05,0.0001004927680457,,9.573724105533744e-05,0.0003422298518767,0.0005331547712745,8.31707562576048e-05,6.653153066421945e-05,3.190837856435023e-05,5.804264239805661e-05,0.0003111649456811,4.272847559034144e-05,0.0002348333664446,1.985173106004321e-05,9.997946082549476e-05,0.0001345213563751,0.0003075206886746,0.0014368551516536,0.0003348840852071,0.0002091067940655,0.0016849518465681,0.0002997470589824,0.0005913938028262
AN19.KOR.km6,3.5732749434124984e-05,0.0005794850082048,4.490950948382289e-05,0.0006441890129488,9.216890624409664e-05,0.0004765996186706,5.628572761820182e-07,0.0009177454429288,0.0003216142688082,0.0005090199948306,0.0001655284645985,6.17395398302419e-05,0.000153056383944,0.00012647529266,0.000144358077564,9.573724105533744e-05,,0.0007843856095047,0.0001371781120807,8.847856471503663e-06,5.366708067622153e-05,0.0001064278701137,0.0001642642630121,0.000245797939196,0.0001462313956524,0.0001775905009259,1.7500172997241514e-05,0.0003554508162454,9.317347048788517e-05,0.0005992602692622,0.0003726642406235,0.0001440412062429,8.326289341197696e-05,0.0001699743577275,0.0001995466042439,0.000121491936328
AN19.KOR.km7,0.000329744493832,0.000111879901858,0.0005171851445618,0.0011087026302676,0.0002533661495835,0.0003128476712459,9.234830290550816e-07,0.0001220281335658,0.0003385734176915,0.0015189737843728,0.000157177845504,0.0004261998609573,0.0001675586165937,6.252717782739646e-05,0.000762310649687,0.0003422298518767,0.0007843856095047,,0.0019938402491327,3.059674071581547e-05,5.2283996642947655e-05,4.054916450368603e-05,0.0001025381871111,0.0002454164390027,0.000136876892868,0.0002534308539584,0.0003308941446254,0.0002399075572862,7.530367597150084e-05,0.0004612520649558,0.000949758585646,0.0002364246991311,0.0003044481090999,0.0003995343907433,0.0006471080753369,0.0005826794064252
AN19.KOR.km8,0.0007395120504308,0.0002731937440146,0.0001111418619237,0.0009375779896733,0.0005144574316309,0.0005556831594009,3.496142348156889e-06,6.172015385980695e-05,0.0001238099402384,0.0002898309801164,0.0001175760607402,0.0005511313329952,0.0002265804541322,0.0002809489203711,0.0016014103546792,0.0005331547712745,0.0001371781120807,0.0019938402491327,,9.404903006320028e-06,0.0002103822684818,0.0001166319940205,8.484107385901954e-05,0.0002518372861639,0.0001284380230097,0.0001997198674922,0.000101994524479,0.0002220246393586,1.118760317666993e-05,0.0002670972150517,0.0002594234134643,1.978654886704651e-05,0.0001214364185387,0.0001960850289134,0.0004486383877275,0.0002300591995538
AN19.MIX.if3,7.062264501060001e-05,4.2314744103649e-05,9.49532685945636e-05,3.318295107801759e-05,7.875789031875887e-05,3.3814471166426355e-05,2.388230517418574e-06,7.157849188765018e-05,5.575909409472885e-05,0.000203185050832,9.40067984522703e-05,3.452531741217636e-05,8.171565396076975e-05,3.237837349341962e-05,2.9206686604930312e-05,8.31707562576048e-05,8.847856471503663e-06,3.059674071581547e-05,9.404903006320028e-06,,3.5472507364272464e-05,3.933492865792785e-05,3.26796124139379e-05,0.0001125480084729,3.197983786187488e-05,0.0007468261903391,3.663749293956902e-05,3.8510285738998335e-05,1.5144238478208151e-05,3.456536378973603e-05,5.186088862219326e-05,4.770068122172221e-05,4.17715114211518e-05,2.6571341561367992e-05,3.841039918270699e-05,2.1282041554479408e-05
