dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high
X21,HVE,base,base,tr_24::within_token_word,predictor_only,-0.0011158062952925263,-0.0023998682652898755,0.00015720010570759253,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_word,predictor_beyond_condition,-0.00029224592887275606,-0.0017167371498931366,0.0012886841018082491,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_word,condition_beyond_predictor,0.007584345370809382,0.0014477816551444617,0.013875845981324866,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_word,predictor_only_percent_ceiling,-0.7856831215348775,-1.7280533685290789,0.06414495585886308,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::within_type_phoneme,predictor_only,0.00011556662520107986,-0.0004186609634287849,0.0006170933517199203,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_phoneme,predictor_beyond_condition,0.00041563333122463154,-0.0005826611761354217,0.0014090016482106221,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_phoneme,condition_beyond_predictor,0.007060851710413165,0.0015286865157437724,0.013010943808834998,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_phoneme,predictor_only_percent_ceiling,0.08137500856224451,-0.28422868738538726,0.44530064186918467,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::within_type_sentence,predictor_only,0.0007210158680315751,-0.0009550012198149372,0.0025055891836815625,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_sentence,predictor_beyond_condition,-0.0003097411818039203,-0.001278172179322934,0.0006696816638358993,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_sentence,condition_beyond_predictor,0.005730027954554118,0.000487314156019328,0.011481145653371718,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_sentence,predictor_only_percent_ceiling,0.5076956459747458,-0.7185192296838605,1.7776426286243996,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::within_type_word,predictor_only,0.0021606187616215644,-0.0007070995296828365,0.004891532934879101,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_word,predictor_beyond_condition,-0.0003397500499769946,-0.0007412154530791907,2.940183380276385e-05,16477,320,16477,,
X21,HVE,base,base,tr_24::within_type_word,condition_beyond_predictor,0.0042604161927910535,-0.0004933113461269479,0.00870102615696486,16477,320,16477,,
