pair_id,HuBERT base Tr-24,HuBERT ASR-FT Tr-24,MFCC39,STRF24
AN19P:071814d2e6c0d500,26.922617792441127,15.631336396842142,7.622112889974296,6.209241869273027
AN19P:071da1cf80de878c,26.820036991205583,8.473580054884989,8.684696683210083,6.567851217859294
AN19P:0730fae25c43e7b5,15.274231145553982,15.173148719243208,6.502877575123918,4.794667785492519
AN19P:074695e98a0ddbb1,17.899477377537693,10.721907225972252,10.150009400206727,7.323755228571674
AN19P:074d5d30beda4c8b,13.739249329849551,7.568760875823148,7.814378017230793,5.825774247154505
AN19P:074dc9af5ae6804c,14.83836541064249,15.53783900395059,8.790834258921773,4.903036550600197
AN19P:0774210024dacf56,21.696748260078557,30.02091668321078,8.886555406814049,7.062548959808688
AN19P:077be6025a6788ab,14.005786542354087,12.971429920270596,6.823418477650475,4.375560016481455
AN19P:0789b1c53f76d383,15.386187967009375,6.645187944458948,8.624186683859334,4.696764152313479
AN19P:07a40b3bbf4ce0ff,26.922617792441127,15.631336396842142,7.622112889974296,6.209241869273027
AN19P:07aedd0c56ed8c87,20.333673887558483,6.162846540256162,8.330324735975694,4.499450437022333
AN19P:07b02547c427aeb2,18.039286121173163,3.3671358465169154,7.323529121821544,5.68285060221931
AN19P:07b45a103dbf02e2,17.35038869586086,3.549631715207204,7.826602302822343,4.569812462506107
AN19P:07c0d447ae348d97,16.784441892139434,31.99878952094295,7.310600615869084,6.031570936408339
AN19P:07c8c5006ee57d82,33.534990002189474,18.80150767835721,10.312864919788137,6.7968730283983705
AN19P:07cc3737ad0fb3e0,14.151540677017636,12.545127222797603,7.603375788865289,4.363148788834521
AN19P:07ea4760e8fba3b0,20.696385964223293,4.4534795794887865,8.023319258088428,5.6941893309181495
AN19P:07ec2ae96ff689bb,22.57199022878688,12.22714784503238,7.950238059830184,5.292417946667409
AN19P:07efef88dbc4a8fb,7.886718765727869,5.384772310306009,6.882117500142721,5.430380447542476
AN19P:07f3dc4cb78d515c,19.302504937027425,21.60007750152659,6.381568339128463,4.582703035819073
AN19P:07fa7e0fd8474c14,21.10438460524102,10.36520113548503,10.069876473190522,7.229853805116103
AN19P:0800da23e345200f,12.899607877860506,8.031213424216682,6.060627680236943,3.962317969224267
AN19P:08059cb2fd530fd7,17.367841174330607,7.234768680162261,8.160058664274272,6.35518516407686
AN19P:081844367763cf99,9.657306430467964,2.788976776816804,6.278433091781944,3.995009617669473
AN19P:0827138c0367c7e3,17.804966272165764,7.380283804329654,7.532751339538528,6.070125510647302
AN19P:083820ed746d58e9,16.74845073656187,2.9871023462380704,7.436899160145089,4.754221964864989
AN19P:083b8f3dd8c2725b,10.27568012683368,0.4307895737460501,7.064369802554441,4.9780447829053935
AN19P:084cfd48b445a9ba,15.45261064614091,5.471433532372183,8.40412077639412,6.340837179316563
AN19P:084e8397bdd878b0,14.046750578386645,4.503693906182841,8.346068316001421,5.2133773384912745
AN19P:084f45558db24242,12.4612907819244,8.92905599788658,6.8890410609631365,5.147759508918206
AN19P:085331585bddf696,15.505218232103584,6.1556905967171325,7.256724468992735,3.639954925594445
AN19P:0860feca6a05f5cc,21.63764033427072,16.487600266983467,8.196737897397496,6.661411003069581
AN19P:086243ad724eeb99,10.81805501540677,8.522430613859898,7.654264495960592,5.744001271291448
AN19P:086a1ba025c3e828,15.303262696936413,9.19927230757144,8.526741501865743,7.751383974834028
AN19P:086d8bf4926f228e,15.66475307783411,7.80126701468973,8.699174752783437,7.300847720135754
AN19P:088408dfc1f001c1,13.842972318651428,3.322836406298294,7.224360767806571,5.335750373321531
AN19P:0889f9c39e5a6ecd,11.265902166759757,2.7668360378566126,6.659450519377195,4.337049652332557
AN19P:088c50d3cd7c5fe9,24.779101425716963,9.98338657256254,9.361471884207845,7.847533634019306
AN19P:08974cb36c11e5aa,21.91571734146911,9.35853716230115,8.665877593825183,5.520713000517625
AN19P:08b85f177e2f23d7,16.013507797159626,11.90092187141979,8.694771355916014,6.5296802620051935
AN19P:08bb6f4488278d2a,19.159505073949816,5.800515878359018,6.736827262458854,6.180026589710855
AN19P:08c3b63c3973dde0,29.38006286976728,21.51586701336887,9.564543555307935,6.508134029875863
AN19P:08c96b183cc2a3dc,21.410406498876828,14.376637588860214,7.060363027039473,5.604944479271755
AN19P:08cfa61006f1b227,14.529443101473433,3.7972975605943367,10.027016167276816,6.565942328338056
AN19P:08e09c982780ee36,20.70918634039796,15.10078494894032,8.926245155876268,5.785725822641892
AN19P:09006b8682e337b9,14.19983817837725,6.917370210983101,7.843471845952301,4.245327498765366
AN19P:090d483fd03b4886,23.91703585143109,6.27332692344089,8.403793968736608,4.088950936422572
AN19P:09130f84ecb29c59,16.995714182514803,6.030516457060708,7.20608117643114,4.771939418559699
AN19P:09156e21de5a45fa,39.09568053010121,38.19809460871266,7.95700728134957,7.134673527500816
AN19P:0922158a8aceb7e5,21.72369486582169,21.69854815541261,7.189064558222927,5.096248502236077
AN19P:092a4688efe6610f,15.267567116229422,6.387632664738001,8.399480698432818,5.761154576979942
