dataset_id,model_variant,representation,layer,fold,type,k,z_train,z_test,poll_train,poll_test
X21,ft,hubert_tsne_3d,tr_16,0,corrected,3.2893662941326505,7.82938677843001,8.01729494674955,-0.23663040523886583,-0.2895159672500625
X21,ft,hubert_tsne_3d,tr_16,1,corrected,3.2893662941326505,8.396948934741054,7.426670398373831,-0.2373728951757244,-0.2812856247879636
X21,ft,hubert_tsne_3d,tr_16,2,corrected,3.2893662941326505,10.299805340491472,3.886147123520686,-0.23737076786394778,-0.28152419054724825
X21,ft,hubert_tsne_3d,tr_18,0,diagnostic,3.7297694465232327,8.39730575275934,7.90467551923921,-0.23618062221282182,-0.2896557346941608
X21,ft,hubert_tsne_3d,tr_18,1,diagnostic,3.006186279361242,8.884791121663026,7.465731822300957,-0.2369764402805213,-0.28124339529200215
X21,ft,hubert_tsne_3d,tr_18,2,diagnostic,4.580978206430421,10.373230401281893,4.416030365192737,-0.23724546804212765,-0.2811049672626607
X21,ft,hubert_tsne_3d,tr_18,0,corrected,3.772311310771632,8.397103932440757,7.904418723717539,-0.23617988956574798,-0.28965381928811296
X21,ft,hubert_tsne_3d,tr_18,1,corrected,3.772311310771632,8.862544570943667,7.5630393492028976,-0.2369750145258969,-0.2810711004011409
X21,ft,hubert_tsne_3d,tr_18,2,corrected,3.772311310771632,10.34689181610138,4.524842780884329,-0.2373001383273683,-0.28101913059686595
X21,ft,hubert_tsne_3d,tr_20,0,diagnostic,4.986688444397009,8.108628134833603,7.781024258759047,-0.2363940595689249,-0.2898029466956988
X21,ft,hubert_tsne_3d,tr_20,1,diagnostic,4.674462354718218,8.405888221957982,7.612709978786476,-0.23734446453869298,-0.28096463189531673
X21,ft,hubert_tsne_3d,tr_20,2,diagnostic,4.997801516797782,10.353746913345685,3.914846644030449,-0.23725935214927296,-0.28149805351989887
X21,ft,hubert_tsne_3d,tr_20,0,corrected,4.886317438637669,8.106866974033418,7.779662584361784,-0.2363965421320114,-0.28980856403788696
X21,ft,hubert_tsne_3d,tr_20,1,corrected,4.886317438637669,8.405092076335887,7.628513462723768,-0.23734189469580477,-0.2809352507344123
X21,ft,hubert_tsne_3d,tr_20,2,corrected,4.886317438637669,10.347516442729367,3.9214087277873566,-0.2372684326554867,-0.2814936194457065
X21,ft,hubert_tsne_3d,tr_22,0,diagnostic,1.0661406579312154,10.538197193035545,8.560739655087202,-0.2343420555087786,-0.28884438801217305
X21,ft,hubert_tsne_3d,tr_22,1,diagnostic,0.8466728036021522,10.358454398732873,8.93240139430571,-0.23572992919963315,-0.27902836894325517
X21,ft,hubert_tsne_3d,tr_22,2,diagnostic,2.103436419061154,11.900507417554731,5.926929583122847,-0.2357905784943798,-0.2796848093869529
X21,ft,hubert_tsne_3d,tr_22,0,corrected,1.338749960198174,10.522768864565741,8.598554346723619,-0.23435804429891488,-0.2887822116309458
X21,ft,hubert_tsne_3d,tr_22,1,corrected,1.338749960198174,10.307438138419041,9.103857868171342,-0.23577748816448524,-0.2787687597035675
X21,ft,hubert_tsne_3d,tr_22,2,corrected,1.338749960198174,11.8352108954892,6.210189337031074,-0.23589417679521624,-0.27937674595441075
X21,ft,hubert_tsne_3d,tr_24,0,diagnostic,1.0893209136115527,10.363546029299762,7.937203203043838,-0.2345146339748346,-0.2897866892873553
X21,ft,hubert_tsne_3d,tr_24,1,diagnostic,0.8082721383059399,10.0519531681373,8.447666732521382,-0.23603581743915109,-0.2799063216119962
X21,ft,hubert_tsne_3d,tr_24,2,diagnostic,1.764537254458212,11.126580561420958,6.362322343627973,-0.23659966766980564,-0.27916637635888353
X21,ft,hubert_tsne_3d,tr_24,0,corrected,1.220710102125235,10.359743974094336,7.945442506916161,-0.2345085085816199,-0.2897618642128024
X21,ft,hubert_tsne_3d,tr_24,1,corrected,1.220710102125235,10.027470378176089,8.56162886700341,-0.2360278667091385,-0.2796802797522641
X21,ft,hubert_tsne_3d,tr_24,2,corrected,1.220710102125235,11.081426235223168,6.5311752569714105,-0.23669085360893619,-0.2789879547692859
