method,objective,seed,trial,evaluation,tau,k,score,best_score,valid,full_evaluation_cached,elapsed_seconds,evaluation_wall_seconds
differential_evolution,z,42,7,33,1.7649239825343255,1.760656549971247,0.270933744150158,4.69062832636018,True,False,18.2572773,2.548124999999999
differential_evolution,z,42,8,34,2.8844035113697055,0.07234879519266664,4.00711372609317,4.69062832636018,True,False,20.979311699999997,2.708375399999994
differential_evolution,z,42,9,35,1.6855856105479503,0.02501142396974086,4.39971376817619,4.69062832636018,True,False,23.580979499999998,2.5883083999999883
differential_evolution,z,42,10,36,1.5824187919459423,0.02205740610182333,4.4373754550028,4.69062832636018,True,False,26.077065399999995,2.4813204000000013
differential_evolution,z,42,11,37,1.577331313937135,0.009347339276734177,4.51570256189848,4.69062832636018,True,False,28.471543799999992,2.381598000000011
differential_evolution,z,42,12,38,2.0416685200516476,0.002191316743927667,4.45997953860589,4.69062832636018,True,False,31.089018199999998,2.6030575999999996
grid,log_likelihood,42,1,3,1.0,0.001,-1534.44308535896,-1534.44308535896,True,True,4.5999999997548e-05,2.8107732999999993
grid,log_likelihood,42,2,9,1.0,0.012599210498948734,-1534.87194096401,-1534.44308535896,True,True,0.006984899999991967,2.364522700000002
grid,log_likelihood,42,3,10,1.0,0.15874010519682002,-1539.46512769073,-1534.44308535896,True,True,0.012831599999998389,2.3637682000000027
grid,log_likelihood,42,4,5,1.0,2.0,-1544.7870354925,-1534.44308535896,True,True,0.01950719999999251,2.3740596999999983
grid,log_likelihood,42,5,0,2.0,0.001,-1535.63328066751,-1534.44308535896,True,True,0.02563109999999824,3.1763996000000003
grid,log_likelihood,42,6,11,2.0,0.012599210498948734,-1535.87171344437,-1534.44308535896,True,True,0.03213649999999291,2.2351740000000007
grid,log_likelihood,42,7,12,2.0,0.15874010519682002,-1538.62896743159,-1534.44308535896,True,True,0.03862709999999936,2.4184933000000015
grid,log_likelihood,42,8,2,2.0,2.0,-1544.8071156028,-1534.44308535896,True,True,0.04495640000000378,2.086183599999999
grid,log_likelihood,42,9,6,3.0,0.001,-1536.24740153163,-1534.44308535896,True,True,0.05245130000000131,2.3888940000000005
grid,log_likelihood,42,10,13,3.0,0.012599210498948734,-1536.44663049066,-1534.44308535896,True,True,0.05858390000000213,2.308345099999997
grid,log_likelihood,42,11,14,3.0,0.15874010519682002,-1538.74783499926,-1534.44308535896,True,True,0.06483649999999841,2.3375383000000056
grid,log_likelihood,42,12,8,3.0,2.0,-1544.81114981466,-1534.44308535896,True,True,0.07160650000000146,2.502247999999998
tpe,log_likelihood,42,1,15,1.749080237694725,1.3751068413926433,-1544.78155505067,-1544.78155505067,True,True,0.0007151000000078511,2.755427499999996
tpe,log_likelihood,42,2,16,2.46398788362281,0.09466503798478171,-1537.63098081313,-1537.63098081313,True,True,0.0072499999999990905,2.5677363
tpe,log_likelihood,42,3,17,1.312037280884873,0.0032729742670534194,-1534.98398975455,-1534.98398975455,True,True,0.013820600000002514,2.341413699999997
tpe,log_likelihood,42,4,18,1.116167224336399,0.723225014285739,-1544.58269116775,-1534.98398975455,True,True,0.02067610000000286,2.616106000000002
tpe,log_likelihood,42,5,19,2.2022300234864174,0.21745470981373616,-1539.5372564904,-1534.98398975455,True,True,0.02735140000000058,2.7883329999999944
tpe,log_likelihood,42,6,20,1.04330112408653,0.001351230932501877,-1534.53181684171,-1534.53181684171,True,True,0.037327599999997574,2.8784604999999956
tpe,log_likelihood,42,7,21,2.939074221575732,0.001146285213283715,-1536.22203323798,-1534.53181684171,True,True,0.04745250000000567,2.405408399999999
tpe,log_likelihood,42,8,22,1.6210491012921264,0.011471866507458635,-1535.54860813088,-1534.53181684171,True,True,0.05783180000000243,2.6043464999999983
tpe,log_likelihood,42,9,23,1.0302673104786162,0.01974689280887772,-1535.1668275893,-1534.53181684171,True,True,0.06820820000000083,2.3580249000000038
tpe,log_likelihood,42,10,24,1.559116041098707,0.0010980940542487157,-1535.23628554298,-1534.53181684171,True,True,0.0789309999999972,2.620713099999996
tpe,log_likelihood,42,11,25,2.1809493791874592,0.0061813948779144276,-1535.87237469484,-1534.53181684171,True,True,0.08980760000000032,2.701767199999992
tpe,log_likelihood,42,12,26,1.3566183572906085,0.00403566868553742,-1535.06124131878,-1534.53181684171,True,True,0.10023209999999949,2.491615600000003
differential_evolution,log_likelihood,42,1,27,2.533705003914403,0.0153520754812368,-1536.26186607906,-1536.26186607906,True,True,0.00030639999999948486,2.5945415999999994
differential_evolution,log_likelihood,42,2,28,1.7186728801474787,1.9251973220386789,-1544.80565228834,-1536.26186607906,True,True,0.006577599999999961,2.6839761000000095
differential_evolution,log_likelihood,42,3,29,1.124846706282454,0.003334694657881329,-1534.72277537044,-1534.72277537044,True,True,0.012713300000001482,2.4924728999999957
differential_evolution,log_likelihood,42,4,30,2.6735281647652673,0.38926748887559115,-1541.59390836228,-1534.72277537044,True,True,0.019192599999996673,2.7829448999999897
differential_evolution,log_likelihood,42,5,31,1.577331313937135,0.007577685934937551,-1535.41247851594,-1534.72277537044,True,True,0.026439999999993802,2.3533458999999937
differential_evolution,log_likelihood,42,6,32,2.0193612040560662,0.13398635448630916,-1538.20615678934,-1534.72277537044,True,True,0.033382399999993595,2.708948300000003
differential_evolution,log_likelihood,42,7,33,1.7649239825343255,1.760656549971247,-1544.80451888056,-1534.72277537044,True,True,0.04021749999999713,2.548124999999999
differential_evolution,log_likelihood,42,8,34,2.8844035113697055,0.07234879519266664,-1537.40633190862,-1534.72277537044,True,True,0.04684389999999894,2.708375399999994
differential_evolution,log_likelihood,42,9,35,1.6855856105479503,0.02501142396974086,-1535.91572484389,-1534.72277537044,True,True,0.05350760000000321,2.5883083999999883
differential_evolution,log_likelihood,42,10,36,1.5824187919459423,0.02205740610182333,-1535.76487049566,-1534.72277537044,True,True,0.05993229999999983,2.4813204000000013
differential_evolution,log_likelihood,42,11,37,1.577331313937135,0.009347339276734177,-1535.45502613485,-1534.72277537044,True,True,0.0664153999999968,2.381598000000011
differential_evolution,log_likelihood,42,12,38,2.0416685200516476,0.002191316743927667,-1535.6903117767,-1534.72277537044,True,True,0.07270339999999464,2.6030575999999996
