dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,layer,measure,variant,held_out_log_likelihood_per_trial,sample_stratum
AN19,cnn_5::overall_order_sensitive,oof_fold,2.0,M_predictor,1920,1920,1321.26412351966,0.68815839766649,cnn_5,overall_order_sensitive,base,-0.6881583976664896,all exposure participants
AN19,cnn_5::within_token_word,oof_fold,0.0,M_predictor,1920,1920,1331.33567686625,0.693403998367841,cnn_5,within_token_word,base,-0.6934039983678385,all exposure participants
AN19,cnn_5::within_token_word,oof_fold,1.0,M_predictor,1920,1920,1323.96148094288,0.689563271324414,cnn_5,within_token_word,base,-0.6895632713244166,all exposure participants
AN19,cnn_5::within_token_word,oof_fold,2.0,M_predictor,1920,1920,1322.50157253853,0.688802902363817,cnn_5,within_token_word,base,-0.6888029023638177,all exposure participants
AN19,cnn_5::within_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.21920972005,0.693343338395857,cnn_5,within_type_word,base,-0.6933433383958594,all exposure participants
AN19,cnn_5::within_type_word,oof_fold,1.0,M_predictor,1920,1920,1324.10085844926,0.689635863775654,cnn_5,within_type_word,base,-0.6896358637756562,all exposure participants
AN19,cnn_5::within_type_word,oof_fold,2.0,M_predictor,1920,1920,1320.72081919042,0.687875426661675,cnn_5,within_type_word,base,-0.687875426661677,all exposure participants
AN19,cnn_6::between_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.32080685568,0.693396253570667,cnn_6,between_type_word,base,-0.6933962535706667,all exposure participants
AN19,cnn_6::between_type_word,oof_fold,1.0,M_predictor,1920,1920,1325.80253890963,0.690522155682101,cnn_6,between_type_word,base,-0.690522155682099,all exposure participants
AN19,cnn_6::between_type_word,oof_fold,2.0,M_predictor,1920,1920,1321.63658395563,0.688352387476892,cnn_6,between_type_word,base,-0.6883523874768905,all exposure participants
AN19,cnn_6::mean_dissimilarity_word,oof_fold,0.0,M_predictor,1920,1920,1332.14637867897,0.693826238895297,cnn_6,mean_dissimilarity_word,base,-0.6938262388952968,all exposure participants
AN19,cnn_6::mean_dissimilarity_word,oof_fold,1.0,M_predictor,1920,1920,1322.37607982542,0.688737541575742,cnn_6,mean_dissimilarity_word,base,-0.6887375415757396,all exposure participants
AN19,cnn_6::mean_dissimilarity_word,oof_fold,2.0,M_predictor,1920,1920,1320.24664798951,0.687628462494537,cnn_6,mean_dissimilarity_word,base,-0.6876284624945365,all exposure participants
AN19,cnn_6::order_word,oof_fold,0.0,M_predictor,1920,1920,1330.65154696959,0.693047680713327,cnn_6,order_word,base,-0.6930476807133281,all exposure participants
AN19,cnn_6::order_word,oof_fold,1.0,M_predictor,1920,1920,1324.77908700186,0.689989107813468,cnn_6,order_word,base,-0.6899891078134688,all exposure participants
AN19,cnn_6::order_word,oof_fold,2.0,M_predictor,1920,1920,1323.73370973645,0.689444640487733,cnn_6,order_word,base,-0.6894446404877344,all exposure participants
AN19,cnn_6::overall,oof_fold,0.0,M_predictor,1920,1920,1331.29668931684,0.693383692352519,cnn_6,overall,base,-0.6933836923525208,all exposure participants
AN19,cnn_6::overall,oof_fold,1.0,M_predictor,1920,1920,1324.81436163663,0.690007480019077,cnn_6,overall,base,-0.6900074800190782,all exposure participants
AN19,cnn_6::overall,oof_fold,2.0,M_predictor,1920,1920,1319.05659528004,0.687008643375021,cnn_6,overall,base,-0.6870086433750209,all exposure participants
AN19,cnn_6::overall_order_sensitive,oof_fold,0.0,M_predictor,1920,1920,1328.90831461752,0.692139747196627,cnn_6,overall_order_sensitive,base,-0.6921397471966251,all exposure participants
AN19,cnn_6::overall_order_sensitive,oof_fold,1.0,M_predictor,1920,1920,1324.29439246484,0.689736662742103,cnn_6,overall_order_sensitive,base,-0.6897366627421042,all exposure participants
AN19,cnn_6::overall_order_sensitive,oof_fold,2.0,M_predictor,1920,1920,1325.72630504747,0.690482450545558,cnn_6,overall_order_sensitive,base,-0.6904824505455573,all exposure participants
AN19,cnn_6::within_token_word,oof_fold,0.0,M_predictor,1920,1920,1331.31572083015,0.693393604599036,cnn_6,within_token_word,base,-0.6933936045990364,all exposure participants
AN19,cnn_6::within_token_word,oof_fold,1.0,M_predictor,1920,1920,1326.22952553254,0.690744544548197,cnn_6,within_token_word,base,-0.6907445445481979,all exposure participants
AN19,cnn_6::within_token_word,oof_fold,2.0,M_predictor,1920,1920,1321.14596943617,0.688096859081336,cnn_6,within_token_word,base,-0.6880968590813386,all exposure participants
AN19,cnn_6::within_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.74788182132,0.693618688448604,cnn_6,within_type_word,base,-0.6936186884486042,all exposure participants
AN19,cnn_6::within_type_word,oof_fold,1.0,M_predictor,1920,1920,1322.9262178061,0.689024071774012,cnn_6,within_type_word,base,-0.6890240717740105,all exposure participants
AN19,cnn_6::within_type_word,oof_fold,2.0,M_predictor,1920,1920,1320.16494067544,0.687585906601793,cnn_6,within_type_word,base,-0.6875859066017916,all exposure participants
AN19,tr_0::between_type_word,oof_fold,0.0,M_predictor,1920,1920,1330.97160499647,0.693214377602328,tr_0,between_type_word,base,-0.6932143776023281,all exposure participants
AN19,tr_0::between_type_word,oof_fold,1.0,M_predictor,1920,1920,1325.26387668729,0.690241602441294,tr_0,between_type_word,base,-0.6902416024412968,all exposure participants
AN19,tr_0::between_type_word,oof_fold,2.0,M_predictor,1920,1920,1322.76950642705,0.688942451264086,tr_0,between_type_word,base,-0.6889424512640885,all exposure participants
AN19,tr_0::mean_dissimilarity_word,oof_fold,0.0,M_predictor,1920,1920,1333.04502219478,0.694294282393114,tr_0,mean_dissimilarity_word,base,-0.6942942823931145,all exposure participants
AN19,tr_0::mean_dissimilarity_word,oof_fold,1.0,M_predictor,1920,1920,1324.33798751074,0.689759368495175,tr_0,mean_dissimilarity_word,base,-0.6897593684951772,all exposure participants
AN19,tr_0::mean_dissimilarity_word,oof_fold,2.0,M_predictor,1920,1920,1318.32453447964,0.686627361708147,tr_0,mean_dissimilarity_word,base,-0.6866273617081459,all exposure participants
AN19,tr_0::order_word,oof_fold,0.0,M_predictor,1920,1920,1330.64124892286,0.693042317147324,tr_0,order_word,base,-0.693042317147323,all exposure participants
AN19,tr_0::order_word,oof_fold,1.0,M_predictor,1920,1920,1324.14343218195,0.689658037594764,tr_0,order_word,base,-0.6896580375947656,all exposure participants
