dataset,accent,similarity,accuracy,ci_low,ci_high
AN19,SPA,0.5455943853371672,0.7764619051115457,0.7440450912587137,0.8050663668068743
AN19,SPA,0.5510527223142059,0.7836520614737493,0.7512519947465851,0.8118611747178593
AN19,SPA,0.5565110592912446,0.7906732937515139,0.7583058896704649,0.8186735133280931
AN19,SPA,0.5619693962682832,0.7975255366131779,0.7652188732508647,0.8255820496797667
AN19,SPA,0.5674277332453219,0.80420901740642,0.7720254462908738,0.8322079630197359
AN19,SPA,0.5728860702223606,0.8107242414429889,0.7786332070238606,0.8387026033780419
AN19,SPA,0.5783444071993992,0.8170719769181486,0.7851019542409625,0.84483064613117
AN19,SPA,0.5838027441764378,0.8232532395802358,0.7914352787944972,0.8506306501639485
AN19,SPA,0.5892610811534764,0.8292692772588661,0.7976264521273415,0.8562310331697196
AN19,SPA,0.5947194181305151,0.8351215543529592,0.8036826593917807,0.8617559024075984
AN19,SPA,0.6001777551075538,0.8408117363720274,0.8096243335343316,0.8671345585959774
AN19,SPA,0.6056360920845925,0.8463416746162093,0.8154575822010786,0.872444403275698
AN19,SPA,0.6110944290616311,0.8517133910724615,0.82114871093519,0.8776827479214001
AN19,SPA,0.6165527660386698,0.8569290635962398,0.8267030273113201,0.8826670470763415
AN19,SPA,0.6220111030157084,0.8619910114400297,0.8319795009067548,0.8872249759979204
AN19,SPA,0.6274694399927471,0.8669016811822705,0.8371383768995249,0.8917108483894246
AN19,SPA,0.6329277769697857,0.871663633102678,0.8422462619609402,0.8961687481091181
X21,CMN,0.019651914083777,0.6547749639326255,0.6075826708821637,0.697033686062968
X21,CMN,0.02745667875937,0.6581972686100319,0.6115956678098569,0.6997596569388731
X21,CMN,0.035261443434963,0.6616031806260723,0.6159796605350093,0.7021260914709263
X21,CMN,0.043066208110556,0.6649924281242974,0.620353852928765,0.705046464255153
X21,CMN,0.050870972786149,0.6683647457207248,0.6249621192904296,0.7078540314963014
X21,CMN,0.058675737461742,0.671719874555136,0.6288673178019198,0.7103815345311876
X21,CMN,0.066480502137335,0.6750575623374365,0.6328315199871287,0.7129291871435359
X21,CMN,0.074285266812928,0.6783775633891037,0.636575951512138,0.7155243701807694
X21,CMN,0.082090031488521,0.6816796386797587,0.6400609878854591,0.7184605824050047
X21,CMN,0.089894796164114,0.6849635558588966,0.6442307643891245,0.7212622653090155
X21,CMN,0.097699560839707,0.6882290892828201,0.6480829867519015,0.7239449142852572
X21,CMN,0.1055043255153,0.6914760200368263,0.6517074614361852,0.7265158967703488
X21,CMN,0.1133090901908931,0.6947041359526961,0.6555567829494624,0.7294757880582899
X21,CMN,0.1211138548664861,0.6979132316215487,0.6592827179370135,0.7327753492718125
X21,CMN,0.1289186195420791,0.7011031084021214,0.6628455459062182,0.7355817072343227
X21,CMN,0.1367233842176721,0.7042735744245439,0.6664465700940883,0.7382009749371433
X21,CMN,0.1445281488932651,0.7074244445896741,0.6701677498872411,0.7410088235041151
X21,CMN,0.1523329135688581,0.7105555405640782,0.673220865195877,0.7433700798575704
X21,CMN,0.1601376782444511,0.7136666907707255,0.6767919764387397,0.7457200593992686
X21,CMN,0.1679424429200441,0.7167577303754882,0.6799273680599616,0.7481322344011399
X21,CMN,0.1757472075956371,0.7198285012695275,0.6832744100983426,0.7512661560551358
X21,CMN,0.1835519722712301,0.7228788520476577,0.6864297512631817,0.7538194571007159
X21,CMN,0.1913567369468231,0.7259086379827793,0.6897043314916914,0.7563381377123557
X21,CMN,0.1991615016224162,0.7289177209964766,0.6932083269525545,0.7590610450336169
X21,CMN,0.2069662662980091,0.7319059696258781,0.6966017322041,0.7613228728372339
X21,CMN,0.2147710309736021,0.734873258986878,0.700157003466411,0.7637935944476294
X21,CMN,0.2225757956491951,0.7378194707338217,0.7036003906207907,0.766246039820884
X21,CMN,0.2303805603247882,0.7407444930157602,0.7067288828146651,0.7683935301656155
X21,CMN,0.2381853250003812,0.7436482204293763,0.7097311001568793,0.7709968555300306
X21,CMN,0.2459900896759742,0.7465305539686937,0.712603115080335,0.7733599576723621
X21,CMN,0.2537948543515672,0.7493914009716736,0.7156999322401794,0.775829686068235
X21,CMN,0.2615996190271602,0.7522306750638106,0.7186425844925777,0.7782924281621157
X21,CMN,0.2694043837027532,0.7550482960988382,0.7218380605145045,0.7807397920868463
X21,CMN,0.2772091483783462,0.7578441900966554,0.7248130229405366,0.7831802685620548
X21,CMN,0.2850139130539392,0.7606182891785841,0.7277681621729125,0.7859819998942758
X21,CMN,0.2928186777295322,0.7633705315000731,0.7307907814789307,0.7890483020201051
X21,CMN,0.3006234424051253,0.7661008611809581,0.7336039097909945,0.792014616856728
X21,CMN,0.3084282070807183,0.7688092282333915,0.736446776599056,0.794670399987645
X21,CMN,0.3162329717563112,0.7714955884875536,0.7393490794072485,0.7976949367831926
X21,CMN,0.3240377364319043,0.7741599035152591,0.7416549093071924,0.8000119497334228
X21,CMN,0.3318425011074973,0.7768021405515663,0.7446713150635731,0.8023901403125269
X21,CMN,0.3396472657830903,0.7794222724145056,0.7475145653879166,0.805231840943523
X21,CMN,0.3474520304586833,0.7820202774230328,0.7504998711409134,0.8080424424914995
X21,CMN,0.3552567951342763,0.7845961393133185,0.7529436162675568,0.8105805313232353
X21,CMN,0.3630615598098693,0.7871498471534825,0.7553987894698233,0.8128887563722706
X21,CMN,0.3708663244854623,0.7896813952568783,0.7577634524503065,0.8151946706853838
X21,CMN,0.3786710891610553,0.7921907830940365,0.7602735206626747,0.817791818219921
X21,CMN,0.3864758538366483,0.7946780152033697,0.7631067207356452,0.8202710688168007
X21,CMN,0.3942806185122413,0.7971431011007413,0.7653767212742134,0.8228435311261099
X21,CMN,0.4020853831878344,0.7995860551880031,0.7683055020450347,0.8253462492474369
X21,CMN,0.4098901478634273,0.8020068966605977,0.7711037030947981,0.8278210092982176
X21,CMN,0.4176949125390203,0.8044056494143259,0.7734888776209996,0.8303525448864157
X21,CMN,0.4254996772146133,0.806782341951376,0.7756276321362937,0.8328149975238929
X21,CMN,0.4333044418902064,0.8091370072857065,0.7778135209154882,0.8354898595650202
X21,CMN,0.4411092065657994,0.811469682847879,0.7801269735230298,0.8375969637137242
X21,CMN,0.4489139712413924,0.8137804103894267,0.7824244498570672,0.8397792536957587
X21,CMN,0.4567187359169854,0.8160692358868511,0.7847430078460608,0.8420452394517369
X21,CMN,0.4645235005925784,0.8183362094453297,0.7869044367902631,0.8444381201357188
X21,CMN,0.4723282652681714,0.820581385202221,0.7892351249730862,0.8468613627823879
X21,CMN,0.4801330299437644,0.8228048212304476,0.7915470705585063,0.8492730241113099
X21,CMN,0.4879377946193574,0.8250065794418348,0.7934465433160144,0.8514463489960011
X21,CMN,0.4957425592949504,0.8271867254904861,0.7955500168598434,0.8536921514990148
X21,CMN,0.5035473239705434,0.8293453286762656,0.7973347081523833,0.8560333105932529
X21,CMN,0.5113520886461365,0.8314824618484639,0.7991931946252383,0.8581418941058869
X21,CMN,0.5191568533217295,0.8335982013097127,0.8014033592495252,0.8600300950339885
X21,CMN,0.5269616179973224,0.8356926267202217,0.803342310803496,0.8622765595236399
X21,CMN,0.5347663826729154,0.8377658210023967,0.8050699008531205,0.8644984259177223
X21,CMN,0.5425711473485084,0.8398178702459073,0.8068174665944725,0.8666871396718341
X21,CMN,0.5503759120241014,0.8418488636132592,0.8089474381627162,0.8688458627254909
X21,CMN,0.5581806766996944,0.843858893245935,0.810955314324835,0.8709603112852113
X21,CMN,0.5659854413752874,0.8458480541711543,0.8127221022315334,0.8730001758845591
X21,CMN,0.5737902060508805,0.8478164442093078,0.8145503917015432,0.8750124210878164
X21,CMN,0.5815949707264735,0.8497641638821172,0.8164476630253059,0.8769972748769931
X21,CMN,0.5893997354020665,0.8516913163215701,0.8183577789848471,0.8789549680924005
X21,CMN,0.5972045000776595,0.8535980071796725,0.8204087392039108,0.8808857342460884
X21,CMN,0.6050092647532525,0.8554843445390669,0.822441564446434,0.8827898093391637
X21,CMN,0.6128140294288454,0.8573504388245557,0.8244563015275072,0.8846674316830424
X21,CMN,0.6206187941044384,0.8591964027155699,0.8263824364288472,0.8865185001185146
X21,CMN,0.6284235587800315,0.861022351059619,0.8282020730911768,0.8883382792268358
X21,CMN,0.6362283234556245,0.8628284007867604,0.8300442614177277,0.8901324876548159
X21,CMN,0.6440330881312175,0.8646146708251166,0.8317832713312806,0.8918437145542473
X21,CMN,0.6518378528068105,0.8663812820174759,0.8335531530499144,0.8936534749003698
X21,CMN,0.6596426174824035,0.8681283570390015,0.8352693145718921,0.8953439170300933
X21,CMN,0.6674473821579965,0.8698560203160777,0.8370487091239828,0.8969103958932548
X21,CMN,0.6752521468335895,0.8715643979463175,0.8387746784247938,0.8984536943725978
X21,CMN,0.6830569115091826,0.873253617619756,0.8404342940795871,0.899986785848879
X21,CMN,0.6908616761847756,0.8749238085412453,0.8421701180137163,0.9017239931691968
X21,CMN,0.6986664408603686,0.8765751013540788,0.8438175107637285,0.9035015370568954
X21,CMN,0.7064712055359615,0.8782076280648533,0.8453439812592048,0.9051850067732888
X21,CMN,0.7142759702115545,0.8798215219695907,0.8469649109599242,0.906567484247028
X21,CMN,0.7220807348871475,0.881416917581129,0.8486593084075151,0.9081233499478016
X21,CMN,0.7298854995627406,0.8829939505577986,0.8499673385496406,0.9097117657732104
X21,CMN,0.7376902642383336,0.8845527576333925,0.8514540351141244,0.911275401724035
X21,CMN,0.7454950289139266,0.8860934765484378,0.8531673686592127,0.9127528942280831
X21,CMN,0.7532997935895196,0.8876162459827801,0.8546207331212288,0.9142350277036374
X21,CMN,0.7611045582651126,0.889121205489484,0.8562914952508551,0.9158143448459304
X21,CMN,0.7689093229407056,0.8906084954300543,0.8579811850505645,0.917296849474691
X21,CMN,0.7767140876162986,0.8920782569109836,0.8594755817868536,0.9187447386647176
X21,CMN,0.7845188522918917,0.8935306317216266,0.8609568018736501,0.9201694836457988
X21,CMN,0.7923236169674847,0.894965762273401,0.8624249079165763,0.9215699070311726
