dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,held_out_log_likelihood_per_trial,variant,predictor_definition
AN19,tr_24,oof_fold,1.0,M_predictor,1895,1895,1215.79657285125,0.641581304934694,-0.6415813049346966,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,2.0,M_predictor,1896,1896,1202.71898072489,0.634345453968822,-0.6343454539688238,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,0.0,M_predictor,1894,1894,1316.34238561623,0.69500653939611,-0.6950065393961088,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,1.0,M_predictor,1895,1895,1309.29996266255,0.690923463146462,-0.6909234631464644,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,2.0,M_predictor,1896,1896,1296.2050146092,0.68365243386561,-0.6836524338656118,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,0.0,M_predictor,1894,1894,1278.03640727158,0.674781630027234,-0.6747816300272333,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,1.0,M_predictor,1895,1895,1276.1862316917,0.6734491987819,-0.6734491987818997,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_6,oof_fold,2.0,M_predictor,1896,1896,1257.38367314615,0.6631770427986,-0.6631770427986022,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,0.0,M_predictor,1894,1894,1238.11030918859,0.653701324809182,-0.6537013248091816,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,1.0,M_predictor,1895,1895,1243.19469250764,0.656039415571315,-0.656039415571314,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_8,oof_fold,2.0,M_predictor,1896,1896,1225.32703693931,0.646269534250691,-0.6462695342506909,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,mfcc39,oof_fold,0.0,M_predictor,1894,1894,1253.59876960403,0.661878970223879,-0.6618789702238806,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,mfcc39,oof_fold,1.0,M_predictor,1895,1895,1270.59580735898,0.670499106785741,-0.6704991067857414,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,mfcc39,oof_fold,2.0,M_predictor,1896,1896,1240.29068845468,0.654161755514074,-0.6541617555140717,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,0.0,M_predictor,1894,1894,1207.64081716614,0.637613947817393,-0.6376139478173918,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,1.0,M_predictor,1895,1895,1223.40169927353,0.645594564260436,-0.645594564260438,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,strf24_legacy,oof_fold,2.0,M_predictor,1896,1896,1209.5383516833,0.637942168609337,-0.6379421686093355,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,0.0,M_predictor,1894,1894,1282.36939817381,0.677069376015739,-0.6770693760157391,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,1.0,M_predictor,1895,1895,1287.22127310082,0.679272439631037,-0.6792724396310397,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_2,oof_fold,2.0,M_predictor,1896,1896,1262.64482142517,0.665951910034375,-0.6659519100343724,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,0.0,M_predictor,1894,1894,1294.08589852469,0.683255490245347,-0.6832554902453485,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,1.0,M_predictor,1895,1895,1288.17587183909,0.679776185667066,-0.679776185667066,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_3,oof_fold,2.0,M_predictor,1896,1896,1273.756838618,0.671812678595992,-0.6718126785959916,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,0.0,M_predictor,1894,1894,1311.04749459414,0.692210926396061,-0.6922109263960613,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,1.0,M_predictor,1895,1895,1309.17990647644,0.690860108958544,-0.6908601089585436,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_4,oof_fold,2.0,M_predictor,1896,1896,1296.41539065312,0.683763391694685,-0.6837633916946836,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,0.0,M_predictor,1894,1894,1315.27241963757,0.694441615436943,-0.6944416154369429,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,1.0,M_predictor,1895,1895,1322.73721602242,0.698014362017106,-0.6980143620171082,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_5,oof_fold,2.0,M_predictor,1896,1896,1302.14631767487,0.686786032528939,-0.6867860325289399,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,0.0,M_predictor,1894,1894,1316.29040832676,0.694979096265451,-0.6949790962654487,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,1.0,M_predictor,1895,1895,1313.6397903617,0.69321360968955,-0.6932136096895515,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,cnn_6,oof_fold,2.0,M_predictor,1896,1896,1303.65739727346,0.687583015439589,-0.6875830154395886,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,0.0,M_predictor,1894,1894,1317.95962258408,0.695860413191173,-0.6958604131911722,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,1.0,M_predictor,1895,1895,1312.57949161958,0.692654085287375,-0.6926540852873774,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_0,oof_fold,2.0,M_predictor,1896,1896,1303.02265461476,0.687248235556309,-0.6872482355563081,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,0.0,M_predictor,1894,1894,1210.15148048227,0.638939535629499,-0.6389395356294985,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,1.0,M_predictor,1895,1895,1206.26196349091,0.636549848807869,-0.636549848807868,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_10,oof_fold,2.0,M_predictor,1896,1896,1199.4328763317,0.632612276546257,-0.6326122765462553,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,0.0,M_predictor,1894,1894,1227.19946214115,0.647940581911907,-0.647940581911906,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,1.0,M_predictor,1895,1895,1235.76035490815,0.652116282273432,-0.6521162822734301,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_12,oof_fold,2.0,M_predictor,1896,1896,1232.95349821111,0.65029192943624,-0.6502919294362394,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,0.0,M_predictor,1894,1894,1216.08804287942,0.642073940274244,-0.642073940274245,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,1.0,M_predictor,1895,1895,1228.13928104739,0.648094607412871,-0.6480946074128707,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_14,oof_fold,2.0,M_predictor,1896,1896,1215.17457189007,0.640914858591809,-0.6409148585918091,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,0.0,M_predictor,1894,1894,1216.24095856341,0.642154677171808,-0.642154677171811,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,1.0,M_predictor,1895,1895,1217.92011426292,0.642701907262754,-0.6427019072627546,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_16,oof_fold,2.0,M_predictor,1896,1896,1226.55364140847,0.646916477536112,-0.6469164775361128,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,0.0,M_predictor,1894,1894,1227.93201706404,0.648327358534341,-0.6483273585343401,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,1.0,M_predictor,1895,1895,1236.42852864004,0.652468880548834,-0.6524688805488338,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_18,oof_fold,2.0,M_predictor,1896,1896,1237.00783388683,0.652430292134406,-0.652430292134404,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,0.0,M_predictor,1894,1894,1313.91942591945,0.693727257613225,-0.6937272576132261,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,1.0,M_predictor,1895,1895,1312.01651074859,0.692356997756513,-0.6923569977565118,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_2,oof_fold,2.0,M_predictor,1896,1896,1299.36397321732,0.685318551274956,-0.6853185512749579,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,0.0,M_predictor,1894,1894,1217.89351781562,0.643027200536229,-0.6430272005362302,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,1.0,M_predictor,1895,1895,1217.51566089554,0.642488475406616,-0.6424884754066174,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_20,oof_fold,2.0,M_predictor,1896,1896,1220.35198640085,0.643645562447704,-0.6436455624477057,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,0.0,M_predictor,1894,1894,1267.68758613514,0.66931762731528,-0.6693176273152799,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,1.0,M_predictor,1895,1895,1270.79548605949,0.670604478131659,-0.670604478131657,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_22,oof_fold,2.0,M_predictor,1896,1896,1266.11358442478,0.667781426384375,-0.6677814263843775,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,0.0,M_predictor,1894,1894,1249.92639344489,0.659940017658338,-0.6599400176583369,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,1.0,M_predictor,1895,1895,1250.5984183837,0.659946394925435,-0.6599463949254353,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_24,oof_fold,2.0,M_predictor,1896,1896,1254.55457006702,0.66168489982438,-0.6616848998243776,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
AN19,tr_4,oof_fold,0.0,M_predictor,1894,1894,1314.64138876024,0.69410844179527,-0.6941084417952693,ft,"negative raw DTW, standardized within training folds; retained confirmatory run"
