k,kind,status,z,log_likelihood,coefficient,std_error,singular,var_participant,var_item,var_talker,n_rows,participants,n_word_responses,predictor_shifted_mean,predictor_sd,fit_seconds,warnings,convergence,lme4_version,tau
5.40484506253906e-05,grid,ok,4.10630652646359,-3162.02296668536,0.221994027981452,0.0540617283563186,False,0.8123094773666,2.42798166532927,,8290,161,8290,-0.0012647108181368,0.0007676211836023,3.69,,ok,1.1.35.5,0.625
7.76799609715734e-05,grid,ok,4.10650487781151,-3162.02222711537,0.22201667271163,0.0540646314366367,False,0.812305802007993,2.42793428326436,,8290,161,8290,-0.0018169901686213,0.0011023498974565,4.08000000000001,,ok,1.1.35.5,0.625
0.000111643835609,grid,ok,4.10682941137655,-3162.02116872825,0.222049324204406,0.0540683096281757,False,0.812301400669248,2.4278662103382,,8290,161,8290,-0.0026100096906113,0.0015824783722676,4.16,,ok,1.1.35.5,0.625
0.0001604576762604,grid,ok,4.10726515076192,-3162.01965695813,0.222095950474404,0.0540739256712471,False,0.812294435856395,2.42777035358354,,8290,161,8290,-0.0037482500327394,0.0022705692148954,3.85,,ok,1.1.35.5,0.625
0.0002306143078159,grid,ok,4.10787807820388,-3162.01750462718,0.222162763846664,0.0540821221120083,False,0.812285005848778,2.42763317301531,,8290,161,8290,-0.0053810493465411,0.0032554730839393,3.86000000000001,,ok,1.1.35.5,0.625
0.0003314454017339,grid,ok,4.10877345899082,-3162.01445243023,0.222257841495772,0.0540934767307327,False,0.812270738736703,2.42743515862317,,8290,161,8290,-0.0077213463946338,0.0046627069504071,4.72999999999999,,ok,1.1.35.5,0.625
0.0004763627000032,grid,ok,4.11000924756173,-3162.01014979539,0.222393055157402,0.0541101106498329,False,0.812249952434876,2.4271569062144,,8290,161,8290,-0.0110717085566,0.0066682207126405,4.10000000000001,,ok,1.1.35.5,0.625
0.0006846419373062,grid,ok,4.11177319983549,-3162.00413823952,0.222584267636701,0.0541334010459542,False,0.812220664743884,2.42675869196001,,8290,161,8290,-0.0158598926407988,0.0095158844418129,4.66,,ok,1.1.35.5,0.625
0.000983986744376,grid,ok,4.11416900462076,-3161.99584848267,0.222852834973891,0.05416715616777,False,0.812179013241186,2.42619925447347,,8290,161,8290,0.977313767056268,0.0135380907238297,4.53,,ok,1.1.35.5,0.625
0.001,grid,ok,4.11430482903519,-3161.99541658705,0.222866938873657,0.0541687959775989,False,0.81217694311761,2.42616993487201,,8290,161,8290,0.976950423314183,0.0137509427662444,3.97,,ok,1.1.35.5,0.625
