speaker_id,canonical_phone,mean_distance,n_word_types,n_phone_intervals,language,branch,analysis
AN19.KOR.km1,ow,30.611998259534314,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,oy,29.90111617085876,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,p,41.22836889530478,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,r,45.20465320324527,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,s,21.460322842340574,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,sh,28.170618739004922,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,t,42.12213546564226,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,th,42.623566695052766,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,uh,28.10633341598364,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,uw,26.174427586486342,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,v,42.35012858165053,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,w,49.27356801904121,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,aa,30.681832779378396,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ae,37.67742449946022,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ah,26.679275033379668,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ao,37.522832092565594,3,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ay,26.980444467801426,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,b,45.83526554724194,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ch,25.128152331318685,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,d,41.9487284574948,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,eh,47.9784234803065,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,er,19.86655052557714,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ey,25.320252958451377,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,f,37.15605529188689,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,g,36.129804932015574,10,10,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,hh,28.268682126203938,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ih,34.498288724232694,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,iy,24.60548048486835,9,9,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,jh,36.59314633409468,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,k,28.466342414359744,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,l,23.82777074140678,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,m,31.98407022377778,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,n,62.169080860680666,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ng,25.92582700088125,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,ow,29.634370183902636,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,oy,37.3669444570533,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,p,44.33940775737138,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,r,33.221455741863274,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,s,32.317258707869215,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,sh,16.642197771405772,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,t,54.651162240048315,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,th,43.35123609788716,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,uh,33.78528760550678,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,uw,20.694035631256227,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,v,28.181177191842,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,w,31.47229117386688,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km2,y,24.76116035902723,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,aa,38.17459948646339,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ae,25.80294885650676,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ah,59.79765867045783,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ao,52.56364631399117,2,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ay,33.599236451433995,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,b,38.436530736610294,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ch,31.43373730479207,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,d,37.197378697588576,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,eh,45.650682023214756,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,er,21.513909706972612,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,ey,23.548547037129946,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km3,f,51.72680349593267,3,3,Korean,Koreanic,six_reference_complete
