recording_id,speaker_id,word,accent,source_l1_language,source_filename,source_wav_relpath,legacy_key_collision,config_sha256,human_verified,status,sha256,source_rate,source_channels,decoded_samples,duration_seconds,resampled_samples,chosen_dictionary_variant,model_frames,lexical_identity_unresolved,short_phone_count,low_posterior_phone_count,annotation_word
AN19-rec-df572d7fe4272a2eedd5,AN19.ENG.em1,leg,ENG,English,em1ew60 leg.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew60 leg.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,e1817f5eb1c5d20a06254bff4ec06ff7f108ae9d2a7207e2e1e53049fdb4ab5e,22050,1,12800,0.5804988662131519,9288,0,56,False,1,2,leg
AN19-rec-797d0534de732bb205b2,AN19.ENG.em1,lose,ENG,English,em1ew61 lose.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew61 lose.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,93af9e0badfbca9b898415dd29135c93abefb2ecc3fa6027c1eebdf029928b46,22050,1,13312,0.603718820861678,9660,0,58,False,0,1,lose
AN19-rec-2504f5c8ec27f0af40ae,AN19.ENG.em1,theme,ENG,English,em1ew62 theme.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew62 theme.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,544da3f4b672bc9cd67651f5cfa622a086fc7707008aa878e7212c9908cccfa9,22050,1,10496,0.47600907029478456,7617,0,45,False,0,2,theme
AN19-rec-569a72263ad0f0912257,AN19.ENG.em1,soil,ENG,English,em1ew63 soil.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew63 soil.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,a8cd52e86713e97d85cab61e2371a30e7a99e0c35e4ae9b47f9c250615496d98,22050,1,15808,0.7169160997732427,11471,0,69,False,1,1,soil
AN19-rec-0156d2df73ec1caa5616,AN19.ENG.em1,pull,ENG,English,em1ew64 pull.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew64 pull.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,80632bfd8cab202357e7afb8b3f82913dc92e1cefc148515423f0519a703be55,22050,1,10688,0.48471655328798186,7756,0,46,False,1,2,pull
AN19-rec-5f96987c3909b5073076,AN19.ENG.em1,chain,ENG,English,em1ew65 chain.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew65 chain.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,aff39a5bad06616ba3ef648985dcbee803d5cf78740335a81e72f62d71650251,22050,1,12992,0.5892063492063492,9428,0,57,False,1,2,chain
AN19-rec-f0a9170b06105d063d3a,AN19.ENG.em1,curve,ENG,English,em1ew66 curve.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew66 curve.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,fbfe5360cfa888b008153419d3d5b116c00a7444dca4f18f9fb694f8006cb7e6,22050,1,11584,0.5253514739229025,8406,0,50,False,0,1,curve
AN19-rec-e1c464bada6f0ad6106b,AN19.ENG.em1,path,ENG,English,em1ew67 path.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew67 path.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,b576ffeb7fffda5ebd9fe7267eecabef5e481214c3320887b54ff05e7ad8eae7,22050,1,11520,0.5224489795918368,8360,0,50,False,1,2,path
AN19-rec-6b61ad8dc11382308df3,AN19.ENG.em1,dirt,ENG,English,em1ew68 dirt.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew68 dirt.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,2819ee0087b0cfd56e216b6390233d03c282f4d5add84399368a74cba3ba1c48,22050,1,8192,0.37151927437641724,5945,0,35,False,1,2,dirt
AN19-rec-ba0256bc064d7035d7e3,AN19.ENG.em1,vice,ENG,English,em1ew69 vice.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew69 vice.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,369f59047ecf730877ef391e6b0d9b624f96b96783d9058f6b2c977d8a8db8c6,22050,1,14912,0.676281179138322,10821,0,65,False,0,1,vice
