speaker_id,canonical_phone,comparison_word,mean_distance,n_phone_intervals,analysis
AN19.KOR.kf1,uw,roof,46.597423811444635,1,six_reference_complete
AN19.KOR.kf1,v,curve,24.801386718352788,1,six_reference_complete
AN19.KOR.kf1,v,move,36.775602016426895,1,six_reference_complete
AN19.KOR.kf1,v,serve,13.81854365294368,1,six_reference_complete
AN19.KOR.kf1,w,weed,48.021169104014156,1,six_reference_complete
AN19.KOR.kf1,w,wick,35.628111340335415,1,six_reference_complete
AN19.KOR.kf2,aa,con,36.782535265102204,1,six_reference_complete
AN19.KOR.kf2,aa,shop,20.131799301378063,1,six_reference_complete
AN19.KOR.kf2,aa,wash,34.07393978442622,1,six_reference_complete
AN19.KOR.kf2,aa,watch,35.785231395357556,1,six_reference_complete
AN19.KOR.kf2,ae,ban,17.243281460150957,1,six_reference_complete
AN19.KOR.kf2,ae,lad,100.37010906594408,1,six_reference_complete
AN19.KOR.kf2,ae,mat,28.193232994174082,1,six_reference_complete
AN19.KOR.kf2,ae,rat,27.314707324342987,1,six_reference_complete
AN19.KOR.kf2,ae,shall,13.849003705281776,1,six_reference_complete
AN19.KOR.kf2,ah,rut,32.017105944423726,1,six_reference_complete
AN19.KOR.kf2,ah,suck,49.17791308662715,1,six_reference_complete
AN19.KOR.kf2,ay,lice,23.49549556750306,1,six_reference_complete
AN19.KOR.kf2,ay,live,47.00222515186217,1,six_reference_complete
AN19.KOR.kf2,ay,rhyme,21.390796900314626,1,six_reference_complete
AN19.KOR.kf2,ay,size,18.725237706388338,1,six_reference_complete
AN19.KOR.kf2,ay,vice,20.04999041295319,1,six_reference_complete
AN19.KOR.kf2,ay,wife,18.07117324909782,1,six_reference_complete
AN19.KOR.kf2,b,balm,28.995313640109174,1,six_reference_complete
AN19.KOR.kf2,b,both,25.754166249237013,1,six_reference_complete
AN19.KOR.kf2,b,bug,28.99337892246771,1,six_reference_complete
AN19.KOR.kf2,ch,check,20.274280845840078,1,six_reference_complete
AN19.KOR.kf2,ch,cheer,16.6858775111231,1,six_reference_complete
AN19.KOR.kf2,ch,chief,28.505731085136755,1,six_reference_complete
AN19.KOR.kf2,d,bead,24.48458641543706,1,six_reference_complete
AN19.KOR.kf2,d,den,26.312050781275847,1,six_reference_complete
AN19.KOR.kf2,d,doom,48.81116476620134,1,six_reference_complete
AN19.KOR.kf2,d,dune,24.384034191386206,1,six_reference_complete
AN19.KOR.kf2,d,hid,43.89496204851838,1,six_reference_complete
AN19.KOR.kf2,d,pad,20.828446228432835,1,six_reference_complete
AN19.KOR.kf2,eh,den,26.164370487921044,1,six_reference_complete
AN19.KOR.kf2,eh,leg,58.879951720882595,1,six_reference_complete
AN19.KOR.kf2,eh,neck,55.517412035282945,1,six_reference_complete
AN19.KOR.kf2,eh,wed,18.522373732986626,1,six_reference_complete
AN19.KOR.kf2,ey,fade,16.668943104074106,1,six_reference_complete
AN19.KOR.kf2,ey,lace,20.215252242754385,1,six_reference_complete
AN19.KOR.kf2,ey,mace,16.63533602359515,1,six_reference_complete
AN19.KOR.kf2,ey,sane,27.070869293207622,1,six_reference_complete
AN19.KOR.kf2,ey,shape,44.90611921371408,1,six_reference_complete
AN19.KOR.kf2,ey,wail,52.91708710191903,1,six_reference_complete
AN19.KOR.kf2,f,fig,75.66420558198168,1,six_reference_complete
AN19.KOR.kf2,f,five,52.78019247299644,1,six_reference_complete
AN19.KOR.kf2,f,food,45.56631148528741,1,six_reference_complete
AN19.KOR.kf2,g,dog,61.95223144716389,1,six_reference_complete
AN19.KOR.kf2,g,fig,67.19023619705693,1,six_reference_complete
AN19.KOR.kf2,g,gave,19.425227207788677,1,six_reference_complete
AN19.KOR.kf2,g,girl,53.79582680570172,1,six_reference_complete
AN19.KOR.kf2,g,give,40.543696812875616,1,six_reference_complete
AN19.KOR.kf2,g,goat,32.63584250848543,1,six_reference_complete
AN19.KOR.kf2,g,god,46.30919231692696,1,six_reference_complete
AN19.KOR.kf2,g,gut,28.300939326530607,1,six_reference_complete
AN19.KOR.kf2,g,hag,50.92332191919407,1,six_reference_complete
AN19.KOR.kf2,g,league,26.864861575002944,1,six_reference_complete
AN19.KOR.kf2,hh,hack,7.5664592638281185,1,six_reference_complete
AN19.KOR.kf2,hh,hag,12.158723019046064,1,six_reference_complete
AN19.KOR.kf2,hh,hid,26.444116618756173,1,six_reference_complete
AN19.KOR.kf2,hh,hoot,36.05460688751708,1,six_reference_complete
AN19.KOR.kf2,ih,kin,35.81831931990758,1,six_reference_complete
AN19.KOR.kf2,ih,mid,59.47633792196217,1,six_reference_complete
AN19.KOR.kf2,ih,sill,49.50688337342558,1,six_reference_complete
AN19.KOR.kf2,ih,thick,63.88261960656607,1,six_reference_complete
AN19.KOR.kf2,ih,thing,32.811145753709944,1,six_reference_complete
AN19.KOR.kf2,iy,bean,12.67065709401779,1,six_reference_complete
AN19.KOR.kf2,iy,chief,36.57674470423339,1,six_reference_complete
AN19.KOR.kf2,iy,league,50.90428849688015,1,six_reference_complete
AN19.KOR.kf2,iy,teat,44.789847625498965,1,six_reference_complete
AN19.KOR.kf2,iy,teeth,32.926057161321346,1,six_reference_complete
AN19.KOR.kf2,iy,theme,23.146196862046114,1,six_reference_complete
AN19.KOR.kf2,iy,weed,14.636330927835845,1,six_reference_complete
AN19.KOR.kf2,jh,jack,16.07879139200305,1,six_reference_complete
AN19.KOR.kf2,jh,page,42.21724253838524,1,six_reference_complete
AN19.KOR.kf2,k,beak,57.14295661344158,1,six_reference_complete
AN19.KOR.kf2,k,con,14.335784378594283,1,six_reference_complete
AN19.KOR.kf2,k,curve,53.48269393803966,1,six_reference_complete
AN19.KOR.kf2,k,hack,31.542321351865862,1,six_reference_complete
AN19.KOR.kf2,k,jack,113.0961235315558,1,six_reference_complete
AN19.KOR.kf2,k,king,24.494784971728553,1,six_reference_complete
AN19.KOR.kf2,k,thick,55.5098695690142,1,six_reference_complete
AN19.KOR.kf2,l,hurl,42.571192038305156,1,six_reference_complete
AN19.KOR.kf2,l,league,62.42423149438215,1,six_reference_complete
AN19.KOR.kf2,l,lice,12.963125183319361,1,six_reference_complete
AN19.KOR.kf2,m,bum,42.55643093892577,1,six_reference_complete
AN19.KOR.kf2,m,doom,35.93748242600609,1,six_reference_complete
AN19.KOR.kf2,m,lame,40.56782748618772,1,six_reference_complete
AN19.KOR.kf2,m,mote,45.86366655826472,1,six_reference_complete
AN19.KOR.kf2,m,move,30.53573021998299,1,six_reference_complete
AN19.KOR.kf2,m,mum,44.447845438563654,1,six_reference_complete
