feature_key,M_condition,M_joint,M_predictor,predictor_oof_total_log_loss,predictor_oof_total_trials,layer,dataset_id,variant,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain
tr_12::overall_order_sensitive,0.48721765133721,0.487139510829549,0.49398893470609,8139.45567715224,16477,tr_12,X21,base,7.814050766102865e-05,0.006849423876541028
tr_14::overall_order_sensitive,0.48721765133721,0.487130876405673,0.493971682968803,8139.17142027697,16477,tr_14,X21,base,8.677493153702587e-05,0.00684080656313002
tr_16::overall_order_sensitive,0.48721765133721,0.487367525159423,0.494589235424939,8149.34683209673,16477,tr_16,X21,base,-0.00014987382221298695,0.00722171026551599
tr_18::overall_order_sensitive,0.48721765133721,0.487007027698143,0.493928610994532,8138.4617233569,16477,tr_18,X21,base,0.0002106236390669869,0.006921583296388978
tr_20::overall_order_sensitive,0.48721765133721,0.487111294247443,0.493454856366224,8130.65566834628,16477,tr_20,X21,base,0.00010635708976702851,0.00634356211878101
tr_22::overall_order_sensitive,0.48721765133721,0.48796177924791,0.49286284572924,8120.90110908068,16477,tr_22,X21,base,-0.0007441279106999987,0.004901066481329985
tr_24::overall_order_sensitive,0.48721765133721,0.48751118912099,0.493171888435811,8125.99320575686,16477,tr_24,X21,base,-0.00029353778377999573,0.005660699314820994
tr_2::overall_order_sensitive,0.48721765133721,0.487383911809732,0.493174459464205,8126.03556859171,16477,tr_2,X21,base,-0.00016626047252199516,0.0057905476544730106
tr_4::overall_order_sensitive,0.48721765133721,0.487476125494337,0.493523252128095,8131.78262531462,16477,tr_4,X21,base,-0.0002584741571269866,0.006047126633758004
tr_6::overall_order_sensitive,0.48721765133721,0.487842099525138,0.495036009247118,8156.70832436476,16477,tr_6,X21,base,-0.0006244481879280062,0.007193909721979974
tr_8::overall_order_sensitive,0.48721765133721,0.487071707289212,0.494381171199498,8145.91855785413,16477,tr_8,X21,base,0.00014594404799800342,0.007309463910285974
cnn_2::overall_order_sensitive,0.48721765133721,0.487719898914035,0.492784869613262,8119.61629661773,16477,cnn_2,X21,ft,-0.0005022475768249879,0.005064970699227012
cnn_3::overall_order_sensitive,0.48721765133721,0.487036260880948,0.493867620387282,8137.45678112125,16477,cnn_3,X21,ft,0.00018139045626203165,0.006831359506334012
cnn_4::overall_order_sensitive,0.48721765133721,0.486966252327366,0.493838712311775,8136.98046276112,16477,cnn_4,X21,ft,0.000251399009844,0.006872459984408996
cnn_5::overall_order_sensitive,0.48721765133721,0.487061474653979,0.494208014600972,8143.06545658022,16477,cnn_5,X21,ft,0.00015617668323103517,0.007146539946993047
cnn_6::overall_order_sensitive,0.48721765133721,0.487382567099342,0.490355675678278,8079.59046815099,16477,cnn_6,X21,ft,-0.00016491576213201187,0.002973108578935957
tr_0::overall_order_sensitive,0.48721765133721,0.487154098087269,0.493752352208023,8135.5575073316,16477,tr_0,X21,ft,6.35532499410063e-05,0.006598254120753988
tr_10::overall_order_sensitive,0.48721765133721,0.486955950045456,0.493378995313354,8129.40570577814,16477,tr_10,X21,ft,0.0002617012917540129,0.006423045267897998
tr_12::overall_order_sensitive,0.48721765133721,0.487601872716826,0.493877851782667,8137.625363823,16477,tr_12,X21,ft,-0.0003842213796159677,0.006275979065841042
tr_14::overall_order_sensitive,0.48721765133721,0.487667790145881,0.493209378427425,8126.61092834869,16477,tr_14,X21,ft,-0.00045013880867100786,0.0055415882815439965
tr_16::overall_order_sensitive,0.48721765133721,0.487350319875464,0.494423335822644,8146.61330434971,16477,tr_16,X21,ft,-0.00013266853825399938,0.007073015947179961
tr_18::overall_order_sensitive,0.48721765133721,0.487258069939383,0.494621228155574,8149.8739763194,16477,tr_18,X21,ft,-4.041860217296467e-05,0.007363158216191046
tr_20::overall_order_sensitive,0.48721765133721,0.487015911350877,0.492995161301594,8123.08127276637,16477,tr_20,X21,ft,0.00020173998633299384,0.005979249950716969
tr_22::overall_order_sensitive,0.48721765133721,0.487319820893179,0.493849570103986,8137.15936660338,16477,tr_22,X21,ft,-0.00010216955596897837,0.006529749210807012
tr_24::overall_order_sensitive,0.48721765133721,0.487143896466789,0.492691189392901,8118.07272762684,16477,tr_24,X21,ft,7.375487042099449e-05,0.005547292926112002
tr_2::overall_order_sensitive,0.48721765133721,0.486954723956517,0.494115165794573,8141.53558679717,16477,tr_2,X21,ft,0.00026292738069300103,0.007160441838055975
tr_4::overall_order_sensitive,0.48721765133721,0.487433782010164,0.49338733966883,8129.54319572331,16477,tr_4,X21,ft,-0.0002161306729540069,0.005953557658666009
tr_6::overall_order_sensitive,0.48721765133721,0.486746185994944,0.491348195637215,8095.9442195144,16477,tr_6,X21,ft,0.00047146534226599757,0.004602009642270977
tr_8::overall_order_sensitive,0.48721765133721,0.487217837588283,0.493086797485322,8124.59116216565,16477,tr_8,X21,ft,-1.8625107300884736e-07,0.0058689598970390056
cnn_2::overall_order_sensitive,0.570954682815897,0.572335479416289,0.569212974889964,17778.7980577131,31234,cnn_2,B23,base,-0.0013807966003920313,-0.0031225045263250095
cnn_3::overall_order_sensitive,0.570954682815897,0.572426337887729,0.569871314806036,17799.3606466517,31234,cnn_3,B23,base,-0.001471655071832001,-0.0025550230816929753
