dataset_id,source,layer,mean_percent,ci_low,ci_high
X21,base,tr_8,34.52972306169368,28.071661454208172,39.542139723772586
X21,ft,cnn_2,29.843357136082933,22.659416566866874,35.36005610770311
X21,ft,cnn_3,28.085597560636767,21.238077836974213,33.5773112802848
X21,ft,cnn_4,27.04874977270906,19.982303901890422,32.73246790364474
X21,ft,cnn_5,26.222323603481357,18.25767569003769,32.27828461844991
X21,ft,cnn_6,26.657118929275864,18.76210525046127,33.09201193689442
X21,ft,tr_0,28.891478241531704,19.875846932489967,36.21055634957029
X21,ft,tr_10,31.20061960696476,24.38481260236263,36.31578743305497
X21,ft,tr_12,29.184787447665883,21.34557629130667,35.00086829296813
X21,ft,tr_14,31.731789936271422,24.53079222261533,37.26745283230271
X21,ft,tr_16,29.641926918998326,21.406746788265817,36.29386541501786
X21,ft,tr_18,30.65736538327953,23.844293625234936,36.02302702377789
X21,ft,tr_2,30.690591543511843,23.039921070421027,37.048817821635765
X21,ft,tr_20,29.641117722454556,21.73500316821456,35.63871354429447
X21,ft,tr_22,36.668984145597065,30.949802703543117,41.3775067056514
X21,ft,tr_24,35.32819708537539,31.455528475412862,38.772527298039776
X21,ft,tr_4,30.60940146236013,23.726684591233248,36.180217339584416
X21,ft,tr_6,31.58903736171017,23.99469087935519,37.30849160027322
X21,ft,tr_8,29.3774572472519,22.35942725028711,34.974396322793474
X21,mfcc39,mfcc39,26.389780872276095,19.12909659462851,32.37479766151467
X21,strf24_legacy,strf24_legacy,26.33020940764906,17.891545673032507,33.33079141202046
B23,base,cnn_2,-7.982258998991057,-20.92245549362169,4.211165212505362
B23,base,cnn_3,-1.6343426686306965,-13.540170683800746,7.2510621533480695
B23,base,cnn_4,-1.3896690767504385,-11.42915540690694,6.488846660343891
B23,base,cnn_5,1.2810440690389413,-14.048658424005998,14.617241680924229
B23,base,cnn_6,5.02079358948503,-7.346012924409719,16.695126191427185
B23,base,tr_0,5.114081009342532,-2.3504697364691083,11.897541124530296
B23,base,tr_10,-2.7676239540785925,-8.264108961475024,4.130604779804575
B23,base,tr_12,8.687356217333411,2.1710995055169544,15.67345417018759
B23,base,tr_14,31.46600840797601,13.264718113286692,52.40428281863892
B23,base,tr_16,35.50038281133762,19.89911752482262,55.92907820452472
B23,base,tr_18,35.08840012618436,18.581343099123103,53.60040775382962
B23,base,tr_2,4.567127127734337,2.8925117665750233,6.393599259184539
B23,base,tr_20,39.86256098161922,28.863428248340018,51.8956000903215
B23,base,tr_22,20.243765407754022,12.703892950012262,27.47207641666383
B23,base,tr_24,14.126295913508997,9.853296116574022,17.863954898823312
B23,base,tr_4,5.069471483054973,3.254934968320067,6.635351421737347
B23,base,tr_6,7.515959986314537,3.3009748987858947,11.96879626594114
B23,base,tr_8,7.607890407936357,2.8186528599915066,12.546297066446964
B23,ft,cnn_2,-7.982258998991057,-20.92245549362169,4.211165212505362
B23,ft,cnn_3,-1.6343426686306965,-13.540170683800746,7.2510621533480695
B23,ft,cnn_4,-1.3896690767504385,-11.42915540690694,6.488846660343891
B23,ft,cnn_5,1.2810440690389413,-14.048658424005998,14.617241680924229
B23,ft,cnn_6,5.02079358948503,-7.346012924409719,16.695126191427185
B23,ft,tr_0,1.094021808637465,-6.280269130151652,6.797430196495477
B23,ft,tr_10,2.337103768468841,-1.0612772207284726,6.400585657651445
B23,ft,tr_12,2.5097680831492215,-2.8360016356163618,6.831153892143798
B23,ft,tr_14,2.6757772108950597,-0.5520561596034035,5.695734910782001
B23,ft,tr_16,22.707605690390057,7.925782736007421,42.06031198442256
B23,ft,tr_18,13.689425080533413,-6.865501857368266,40.06533888723905
B23,ft,tr_2,0.2207243918106657,-5.395487521763943,5.746634522444573
B23,ft,tr_20,20.771112815399455,-5.119263034788432,50.945351209309955
B23,ft,tr_22,20.421327685278737,-8.431355388744292,54.75687022158795
B23,ft,tr_24,31.231018172211666,15.555678678305865,51.84373100949635
B23,ft,tr_4,5.420572906455966,3.2973946008262622,7.276346955429401
B23,ft,tr_6,5.10492809129191,1.4583739661465485,7.862505000918499
B23,ft,tr_8,9.24956201528228,8.20399607116787,10.270590014852155
B23,mfcc39,mfcc39,10.95625789248526,-2.5487224230942673,24.858268021665836
B23,strf24_legacy,strf24_legacy,6.0909089140094075,-10.779340720981132,21.610534251873776
