canonical_phone,language,branch,mean_similarity,ci_low,ci_high,n_talkers,n_instances
f,Spanish,Romance,1.6071904168680057e-06,5.6601675194672615e-08,3.8171275217892785e-06,12,43
f,Turkish,Turkic,6.750289511110226e-06,,,1,3
g,Albanian,Albanian,0.00034424428991803094,,,1,10
g,Bengali,Indo-Aryan,0.0002020507336023269,,,1,8
g,Dutch,Germanic,3.7195455327570684e-06,,,1,10
g,French,Romance,0.00028230850086097097,,,1,8
g,German,Germanic,0.00010452213395671146,,,1,9
g,Hindi,Indo-Aryan,0.0012484386310669237,,,1,10
g,Japanese,Japonic,3.014892978786207e-06,,,1,8
g,Korean,Koreanic,0.0003994327039379339,1.1211850682193576e-05,0.0010893017575040133,12,111
g,Mandarin,Sino-Tibetan,0.0025054926575662035,,,1,10
g,Romanian,Romance,7.66532857925778e-08,,,1,8
g,Russian,Slavic,4.962131064857989e-06,,,1,9
g,Somali,Afro-Asiatic,0.000328697749846142,,,1,8
g,Spanish,Romance,0.0005787274872202642,2.131258519684862e-05,0.0014799691850797192,12,91
g,Turkish,Turkic,0.003476599578534662,,,1,8
hh,Albanian,Albanian,3.899264090106951e-09,,,1,2
hh,Bengali,Indo-Aryan,0.0004964039990440576,,,1,4
hh,Dutch,Germanic,0.015328203637838982,,,1,3
hh,French,Romance,0.00895849387908685,,,1,4
hh,German,Germanic,0.0020245457299184664,,,1,3
hh,Hindi,Indo-Aryan,0.006279653032765718,,,1,4
hh,Japanese,Japonic,0.0003521613806437845,,,1,4
hh,Korean,Koreanic,0.009320046321366064,0.003483386181271189,0.017066144492017474,12,43
hh,Mandarin,Sino-Tibetan,0.005943958814544067,,,1,4
hh,Romanian,Romance,2.197374464559024e-13,,,1,3
hh,Russian,Slavic,0.0002458143474487014,,,1,4
hh,Somali,Afro-Asiatic,0.014934301700609581,,,1,4
hh,Spanish,Romance,0.0012413384556433362,0.000223249399230014,0.0027957032399758873,12,39
hh,Turkish,Turkic,0.009295427305763432,,,1,3
ih,Albanian,Albanian,4.863917347783817e-07,,,1,3
ih,Bengali,Indo-Aryan,2.0508118566707797e-05,,,1,4
ih,Dutch,Germanic,8.835219579782771e-08,,,1,4
ih,French,Romance,2.1060433812187348e-06,,,1,4
ih,German,Germanic,7.611673227361496e-06,,,1,4
ih,Hindi,Indo-Aryan,2.100535230644686e-05,,,1,5
ih,Japanese,Japonic,0.0012547493253564838,,,1,5
ih,Korean,Koreanic,0.003362280830239501,8.477021136889682e-05,0.00783000487958837,12,51
ih,Mandarin,Sino-Tibetan,0.008105814101877362,,,1,5
ih,Romanian,Romance,2.359439323202646e-05,,,1,4
ih,Russian,Slavic,0.01423561805341396,,,1,3
ih,Somali,Afro-Asiatic,0.008652358533584037,,,1,5
ih,Spanish,Romance,0.0024204104831595315,0.00011688407451752818,0.006175381645445235,12,57
ih,Turkish,Turkic,0.001854013461627145,,,1,4
iy,Albanian,Albanian,0.008625931752336249,,,1,6
iy,Bengali,Indo-Aryan,9.306919489699585e-08,,,1,6
iy,Dutch,Germanic,3.94850100275784e-07,,,1,5
iy,French,Romance,2.251962958264183e-08,,,1,6
iy,German,Germanic,0.025052524313849158,,,1,4
iy,Hindi,Indo-Aryan,0.000338993768210992,,,1,8
iy,Japanese,Japonic,2.7645109881238708e-05,,,1,8
iy,Korean,Koreanic,0.001004354450453769,0.0004833532924222966,0.0016251774116495246,12,85
iy,Mandarin,Sino-Tibetan,5.579862835410077e-05,,,1,7
iy,Romanian,Romance,0.0003120124398305726,,,1,8
iy,Russian,Slavic,0.0006549378061788092,,,1,9
iy,Somali,Afro-Asiatic,0.006836667149038435,,,1,9
iy,Spanish,Romance,0.0007560929233686327,0.00021862107296499137,0.0014552713727268676,12,88
iy,Turkish,Turkic,0.004303394920064129,,,1,8
jh,Albanian,Albanian,0.00012336221599666672,,,1,3
jh,Bengali,Indo-Aryan,1.8793827290964807e-10,,,1,3
jh,Dutch,Germanic,0.00026119127070580556,,,1,4
jh,French,Romance,0.00010888792865852053,,,1,3
jh,German,Germanic,0.03598552784239863,,,1,3
jh,Hindi,Indo-Aryan,1.3284195754583e-09,,,1,3
jh,Japanese,Japonic,3.096438316131664e-09,,,1,2
jh,Korean,Koreanic,0.012229640403260446,0.005370010227981141,0.019647461449504598,12,41
jh,Mandarin,Sino-Tibetan,0.02799113757720987,,,1,4
jh,Romanian,Romance,1.2774652001764878e-05,,,1,4
jh,Russian,Slavic,3.612651239684815e-05,,,1,4
jh,Somali,Afro-Asiatic,0.0015204424618548804,,,1,3
jh,Spanish,Romance,0.012055999275900743,0.0034247922021422364,0.022306940486620533,12,43
jh,Turkish,Turkic,0.0023731898278898725,,,1,4
k,Albanian,Albanian,4.1465578265708663e-05,,,1,6
k,Bengali,Indo-Aryan,0.0001040648085169382,,,1,6
k,Dutch,Germanic,1.7396702663495127e-06,,,1,6
k,French,Romance,1.4092321637569986e-05,,,1,7
k,German,Germanic,0.00042117512304231915,,,1,5
k,Hindi,Indo-Aryan,0.00015518261191259201,,,1,8
k,Japanese,Japonic,1.7342018214711455e-05,,,1,8
k,Korean,Koreanic,0.0017616891072573272,0.00024952612813797345,0.0035192662505577972,12,82
k,Mandarin,Sino-Tibetan,0.0013428486798681156,,,1,8
k,Romanian,Romance,5.707962371173302e-06,,,1,8
k,Russian,Slavic,9.447349302491973e-07,,,1,7
k,Somali,Afro-Asiatic,0.006693149456133988,,,1,6
k,Spanish,Romance,0.00042004830258965934,0.00016613281253369068,0.000694300492622053,12,78
k,Turkish,Turkic,1.5160834161644119e-05,,,1,8
l,Albanian,Albanian,0.00030938012124574234,,,1,3
l,Bengali,Indo-Aryan,0.0018621521741465986,,,1,3
l,Dutch,Germanic,0.0007575361293352334,,,1,3
l,French,Romance,6.434655177134752e-05,,,1,3
l,German,Germanic,0.0032677388272026576,,,1,3
l,Hindi,Indo-Aryan,0.00042661627367035254,,,1,3
l,Japanese,Japonic,9.827232299572433e-09,,,1,2
l,Korean,Koreanic,0.0007763437064127226,0.00038683507409022276,0.0012111810926487257,12,33
l,Mandarin,Sino-Tibetan,5.330908429206935e-07,,,1,2
l,Romanian,Romance,1.4070894153082028e-17,,,1,2
l,Russian,Slavic,7.249653690923948e-06,,,1,3
l,Somali,Afro-Asiatic,0.012404017702818912,,,1,3
l,Spanish,Romance,0.0007520086679176436,0.00010371271545782848,0.001631070818161651,11,28
l,Turkish,Turkic,5.822662539460953e-05,,,1,3
m,Albanian,Albanian,0.0030450437254922517,,,1,8
m,Bengali,Indo-Aryan,6.6627638442024e-10,,,1,6
m,Dutch,Germanic,0.0028859657844457725,,,1,7
m,French,Romance,0.008383631342527583,,,1,8
m,German,Germanic,0.01571268123841896,,,1,8
m,Hindi,Indo-Aryan,0.005743125426176832,,,1,9
m,Japanese,Japonic,4.78459053580586e-05,,,1,9
m,Korean,Koreanic,0.002359590923073538,0.00014144642794632203,0.005447998026116351,12,90
m,Mandarin,Sino-Tibetan,3.896864675875936e-06,,,1,8
m,Romanian,Romance,0.0008345694496555772,,,1,9
m,Russian,Slavic,8.552311541375157e-05,,,1,8
m,Somali,Afro-Asiatic,0.001677056017015602,,,1,9
m,Spanish,Romance,0.00345333989371129,0.00015970156846278612,0.007939477066679686,12,93
m,Turkish,Turkic,0.0004942733998476894,,,1,8
n,Albanian,Albanian,0.00035990598441506345,,,1,2
n,Dutch,Germanic,6.37706413137925e-14,,,1,2
n,French,Romance,3.382439330197172e-07,,,1,1
n,German,Germanic,0.0213522215401722,,,1,1
n,Hindi,Indo-Aryan,5.56022638294714e-06,,,1,2
n,Japanese,Japonic,5.894929702023346e-16,,,1,2
n,Korean,Koreanic,0.0021312306938562012,0.0001604811831555646,0.004423617732879348,11,16
n,Mandarin,Sino-Tibetan,9.6837490501781e-07,,,1,2
n,Romanian,Romance,0.0008982905586849,,,1,2
n,Russian,Slavic,2.968451830753512e-06,,,1,1
n,Somali,Afro-Asiatic,2.4010493804114995e-05,,,1,1
n,Spanish,Romance,9.725776870640942e-06,3.031904999099106e-07,2.2460468088337105e-05,9,12
n,Turkish,Turkic,7.245913447528418e-20,,,1,1
ng,Albanian,Albanian,3.1608612326077072e-06,,,1,1
ng,Bengali,Indo-Aryan,2.0923043991731273e-07,,,1,2
ng,Dutch,Germanic,1.5606486539318453e-05,,,1,2
ng,French,Romance,1.7162973887871128e-06,,,1,2
ng,German,Germanic,0.0014233776332297117,,,1,2
ng,Hindi,Indo-Aryan,6.53563727009015e-12,,,1,2
ng,Japanese,Japonic,1.2956078050728664e-09,,,1,2
ng,Korean,Koreanic,0.0001221710815173881,2.8323343108675077e-07,0.0003654311509868551,12,19
ng,Mandarin,Sino-Tibetan,1.0985500134921575e-08,,,1,2
ng,Romanian,Romance,9.826667799239448e-08,,,1,2
ng,Russian,Slavic,2.035386226377487e-08,,,1,2
ng,Somali,Afro-Asiatic,5.453752795249163e-06,,,1,2
ng,Spanish,Romance,3.780169963936059e-05,3.766705689084015e-07,9.360931819228878e-05,11,17
ng,Turkish,Turkic,3.172925617269692e-05,,,1,1
ow,Albanian,Albanian,2.7359930002121748e-14,,,1,2
ow,Bengali,Indo-Aryan,0.0003470377939767518,,,1,2
ow,Dutch,Germanic,1.221297900290692e-09,,,1,2
ow,French,Romance,7.215783244458044e-06,,,1,2
ow,German,Germanic,0.04230022643508263,,,1,2
ow,Hindi,Indo-Aryan,1.5223217218183992e-07,,,1,2
ow,Japanese,Japonic,0.00031665214329969525,,,1,2
ow,Korean,Koreanic,0.0036855913325492488,2.010482759739721e-05,0.00896226840831309,12,20
ow,Mandarin,Sino-Tibetan,3.995864503328359e-05,,,1,1
ow,Romanian,Romance,0.016723804351239623,,,1,2
ow,Russian,Slavic,2.103205449434893e-05,,,1,2
