canonical_phone,speaker_id,language,branch,mean_similarity,n_instances
ch,AN19.KOR.km1,Korean,Koreanic,0.0257042871355289,4
ch,AN19.KOR.km2,Korean,Koreanic,0.00033732156727084615,3
ch,AN19.KOR.km3,Korean,Koreanic,0.004746130259381296,3
ch,AN19.KOR.km6,Korean,Koreanic,0.0012391354878830067,4
ch,AN19.KOR.km7,Korean,Koreanic,7.260964946549578e-05,4
ch,AN19.KOR.km8,Korean,Koreanic,5.059600289337491e-06,2
ch,AN19.MIX.if1,Albanian,Albanian,1.9701311519441383e-05,3
ch,AN19.MIX.if2,Dutch,Germanic,4.38826923106738e-06,3
ch,AN19.MIX.if3,French,Romance,0.011299117353531346,4
ch,AN19.MIX.if4,German,Germanic,0.0031039943116293253,3
ch,AN19.MIX.if5,Japanese,Japonic,1.798772304494397e-10,4
ch,AN19.MIX.if6,Somali,Afro-Asiatic,5.4629679596452506e-11,2
ch,AN19.MIX.im1,Romanian,Romance,0.01716527354282752,4
ch,AN19.MIX.im2,Bengali,Indo-Aryan,0.00532522520261941,4
ch,AN19.MIX.im3,Russian,Slavic,0.036620157670884466,3
ch,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.0008862094776744195,4
ch,AN19.MIX.im5,Turkish,Turkic,0.002112389273492923,4
ch,AN19.MIX.im6,Hindi,Indo-Aryan,0.006042813632162376,4
ch,AN19.SPA.sf1,Spanish,Romance,0.0007885289335330659,4
ch,AN19.SPA.sf2,Spanish,Romance,0.0049883496300006875,3
ch,AN19.SPA.sf3,Spanish,Romance,0.01569410102752744,4
ch,AN19.SPA.sf4,Spanish,Romance,0.009976041120986339,4
ch,AN19.SPA.sf5,Spanish,Romance,0.01650901264166738,4
ch,AN19.SPA.sf6,Spanish,Romance,0.006050407685063065,4
ch,AN19.SPA.sm2,Spanish,Romance,0.020707835001987644,4
ch,AN19.SPA.sm3,Spanish,Romance,9.32391413594319e-09,4
ch,AN19.SPA.sm4,Spanish,Romance,0.0153910327585279,4
ch,AN19.SPA.sm5,Spanish,Romance,0.00041819782569396837,4
ch,AN19.SPA.sm6,Spanish,Romance,0.012294942066328349,4
ch,AN19.SPA.sm7,Spanish,Romance,0.0028994029433114196,3
d,AN19.KOR.kf1,Korean,Koreanic,2.71046175675165e-06,6
d,AN19.KOR.kf2,Korean,Koreanic,0.0002766322567953805,6
d,AN19.KOR.kf3,Korean,Koreanic,3.3208951115061514e-07,5
d,AN19.KOR.kf4,Korean,Koreanic,1.7106382926142796e-05,5
d,AN19.KOR.kf5,Korean,Koreanic,0.0007470142072102415,6
d,AN19.KOR.kf6,Korean,Koreanic,0.00019532619978571115,5
d,AN19.KOR.km1,Korean,Koreanic,0.0021728257921514852,6
d,AN19.KOR.km2,Korean,Koreanic,0.0003304742961717669,6
d,AN19.KOR.km3,Korean,Koreanic,0.009836806574312459,5
d,AN19.KOR.km6,Korean,Koreanic,1.923813872377754e-06,6
d,AN19.KOR.km7,Korean,Koreanic,0.002160216966268219,4
d,AN19.KOR.km8,Korean,Koreanic,5.081779661367196e-08,3
d,AN19.MIX.if1,Albanian,Albanian,0.00016515620843861683,4
d,AN19.MIX.if2,Dutch,Germanic,0.013705992816607998,6
d,AN19.MIX.if3,French,Romance,1.4690337802005678e-06,6
d,AN19.MIX.if4,German,Germanic,1.10538786978047e-05,5
d,AN19.MIX.if5,Japanese,Japonic,4.592209187139403e-06,6
d,AN19.MIX.if6,Somali,Afro-Asiatic,0.0009022290807218652,5
d,AN19.MIX.im1,Romanian,Romance,0.003789615493184396,6
d,AN19.MIX.im2,Bengali,Indo-Aryan,6.248911521195556e-09,6
d,AN19.MIX.im3,Russian,Slavic,0.012518982725659012,5
d,AN19.MIX.im4,Mandarin,Sino-Tibetan,2.0334904320608444e-05,6
d,AN19.MIX.im5,Turkish,Turkic,0.0014421465351897268,4
d,AN19.MIX.im6,Hindi,Indo-Aryan,8.134886963574029e-07,5
d,AN19.SPA.sf1,Spanish,Romance,9.198180635348944e-07,5
d,AN19.SPA.sf2,Spanish,Romance,4.375880017121815e-07,5
d,AN19.SPA.sf3,Spanish,Romance,0.0001428456380228221,5
d,AN19.SPA.sf4,Spanish,Romance,2.9371531759377237e-10,5
d,AN19.SPA.sf5,Spanish,Romance,2.3945648221995923e-06,3
d,AN19.SPA.sf6,Spanish,Romance,5.659250283229823e-05,5
d,AN19.SPA.sm2,Spanish,Romance,0.005315059592792435,5
d,AN19.SPA.sm3,Spanish,Romance,2.6302246444967664e-08,4
d,AN19.SPA.sm4,Spanish,Romance,8.441126487363006e-05,5
d,AN19.SPA.sm5,Spanish,Romance,0.0007182021743623388,5
d,AN19.SPA.sm6,Spanish,Romance,9.68413760433186e-06,4
d,AN19.SPA.sm7,Spanish,Romance,1.838475727401498e-07,6
eh,AN19.KOR.kf1,Korean,Koreanic,4.780817265479492e-06,3
eh,AN19.KOR.kf2,Korean,Koreanic,0.0009841361791419548,4
eh,AN19.KOR.kf3,Korean,Koreanic,8.463481455346475e-07,3
eh,AN19.KOR.kf4,Korean,Koreanic,0.0006309397139590176,4
eh,AN19.KOR.kf5,Korean,Koreanic,0.003498116440450429,3
eh,AN19.KOR.kf6,Korean,Koreanic,2.2632443608582586e-05,4
eh,AN19.KOR.km1,Korean,Koreanic,1.000612497892659e-08,4
