dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,source_file,model_variant,layer,measure,fit_ok,singular,convergence,formula,n_rows,sample_stratum
AN19,cnn_3::order_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.0060037239690262,0.0668460514555945,0.0898141900425408,0.928434871741634,-0.125014536883939,0.137021984821992,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0050655252769335,0.0632111624216784,-0.0801365626397073,0.936128643462478,-0.128959403623423,0.118828353069556,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0950706497233488,0.0586003431869688,-1.62235653501241,0.104727030048948,-0.209927322369808,0.01978602292311,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall,revised_training_two_folds,2.0,M_predictor,variability_z,0.0379492182579916,0.0685478750372005,0.553616260714089,0.579841495196734,-0.0964046168149214,0.172303053330904,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall_order_sensitive,revised_training_two_folds,0.0,M_predictor,variability_z,0.0512124121495549,0.0631238030551304,0.81130112051119,0.417192766741028,-0.0725102418385006,0.17493506613761,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall_order_sensitive,revised_training_two_folds,1.0,M_predictor,variability_z,0.107273420793953,0.0576731633798982,1.86002318075277,0.0628822464010637,-0.0057659794306478,0.220312821018553,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::overall_order_sensitive,revised_training_two_folds,2.0,M_predictor,variability_z,0.08813854157341,0.0652593933477412,1.35058781658841,0.176827505718169,-0.0397698693881628,0.216046952534983,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_token_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.076289463054533,0.0615324634703505,-1.23982461861442,0.215040270316152,-0.19689309145642,0.0443141653473539,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_token_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0639484127245763,0.0563387318763451,-1.13507014792121,0.256345928141392,-0.174372327202213,0.0464755017530601,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_token_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.0263216519768495,0.065475276232311,-0.402009025261052,0.687677384147603,-0.154653193392179,0.10200988943848,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_type_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0643647099690139,0.0607251710998187,-1.05993460048408,0.289174353166803,-0.183386045324659,0.0546566253866308,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_type_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0627771703420182,0.0555426090005691,-1.13025245791704,0.258369861182329,-0.171640683983134,0.0460863432990972,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::within_type_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.160264128460331,0.0616527768890327,-2.59946326097828,0.0093369672447708,-0.281103571162835,-0.0394246857578269,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_4::between_type_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0922160784355759,0.0602819655608987,1.52974571378925,0.126079683514533,-0.0259365740637855,0.210368730934937,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_4,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
