dataset_id,participant_id,presentation_index,segment_id,source_filename,source_condition,source_list,source_trial,order_status
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,61,X21.CMN.CMN_M_043.HT1_S018,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S018,Talker-specific,a_rev,61,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,62,X21.CMN.CMN_M_043.HT1_S025,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S025,Talker-specific,a_rev,62,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,63,X21.CMN.CMN_M_043.HT1_S041,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S041,Talker-specific,a_rev,63,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,64,X21.CMN.CMN_M_043.HT1_S023,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S023,Talker-specific,a_rev,64,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,65,X21.CMN.CMN_M_043.HT1_S041,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S041,Talker-specific,a_rev,65,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,66,X21.CMN.CMN_M_043.HT1_S031,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S031,Talker-specific,a_rev,66,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,67,X21.CMN.CMN_M_043.HT1_S027,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S027,Talker-specific,a_rev,67,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,68,X21.CMN.CMN_M_043.HT1_S019,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S019,Talker-specific,a_rev,68,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,69,X21.CMN.CMN_M_043.HT1_S032,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S032,Talker-specific,a_rev,69,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,70,X21.CMN.CMN_M_043.HT1_S018,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S018,Talker-specific,a_rev,70,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,71,X21.CMN.CMN_M_043.HT1_S038,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S038,Talker-specific,a_rev,71,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,72,X21.CMN.CMN_M_043.HT1_S022,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S022,Talker-specific,a_rev,72,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,73,X21.CMN.CMN_M_043.HT1_S029,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S029,Talker-specific,a_rev,73,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,74,X21.CMN.CMN_M_043.HT1_S020,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S020,Talker-specific,a_rev,74,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,75,X21.CMN.CMN_M_043.HT1_S023,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S023,Talker-specific,a_rev,75,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,76,X21.CMN.CMN_M_043.HT1_S025,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S025,Talker-specific,a_rev,76,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,77,X21.CMN.CMN_M_043.HT1_S021,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S021,Talker-specific,a_rev,77,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,78,X21.CMN.CMN_M_043.HT1_S030,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S030,Talker-specific,a_rev,78,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,79,X21.CMN.CMN_M_043.HT1_S026,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S026,Talker-specific,a_rev,79,available
X21,X21.00eb8ffdbc8e3a087dfcd5ec4f785fa2,80,X21.CMN.CMN_M_043.HT1_S028,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S028,Talker-specific,a_rev,80,available
X21,X21.0202afbc7502337e8841923b31ff7277,1,X21.CMN.CMN_M_043.HT1_S010,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S010,Multi-talker,a,1,available
X21,X21.0202afbc7502337e8841923b31ff7277,2,X21.CMN.CMN_M_016.HT1_S008,talker_CMN_M_016/ALL_016_M_CMN_ENG_HT1_S008,Multi-talker,a,2,available
X21,X21.0202afbc7502337e8841923b31ff7277,3,X21.CMN.CMN_M_037.HT1_S013,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S013,Multi-talker,a,3,available
X21,X21.0202afbc7502337e8841923b31ff7277,4,X21.CMN.CMN_M_016.HT1_S004,talker_CMN_M_016/ALL_016_M_CMN_ENG_HT1_S004,Multi-talker,a,4,available
X21,X21.0202afbc7502337e8841923b31ff7277,5,X21.CMN.CMN_M_032.HT1_S007,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S007,Multi-talker,a,5,available
X21,X21.0202afbc7502337e8841923b31ff7277,6,X21.CMN.CMN_M_021.HT1_S006,talker_CMN_M_021/ALL_021_M_CMN_ENG_HT1_S006,Multi-talker,a,6,available
X21,X21.0202afbc7502337e8841923b31ff7277,7,X21.CMN.CMN_M_032.HT1_S003,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S003,Multi-talker,a,7,available
X21,X21.0202afbc7502337e8841923b31ff7277,8,X21.CMN.CMN_M_037.HT1_S011,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S011,Multi-talker,a,8,available
X21,X21.0202afbc7502337e8841923b31ff7277,9,X21.CMN.CMN_M_032.HT1_S005,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S005,Multi-talker,a,9,available
X21,X21.0202afbc7502337e8841923b31ff7277,10,X21.CMN.CMN_M_037.HT1_S016,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S016,Multi-talker,a,10,available
X21,X21.0202afbc7502337e8841923b31ff7277,11,X21.CMN.CMN_M_043.HT1_S001,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S001,Multi-talker,a,11,available
X21,X21.0202afbc7502337e8841923b31ff7277,12,X21.CMN.CMN_M_037.HT1_S015,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S015,Multi-talker,a,12,available
X21,X21.0202afbc7502337e8841923b31ff7277,13,X21.CMN.CMN_M_021.HT1_S002,talker_CMN_M_021/ALL_021_M_CMN_ENG_HT1_S002,Multi-talker,a,13,available
X21,X21.0202afbc7502337e8841923b31ff7277,14,X21.CMN.CMN_M_043.HT1_S009,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S009,Multi-talker,a,14,available
X21,X21.0202afbc7502337e8841923b31ff7277,15,X21.CMN.CMN_M_016.HT1_S014,talker_CMN_M_016/ALL_016_M_CMN_ENG_HT1_S014,Multi-talker,a,15,available
X21,X21.0202afbc7502337e8841923b31ff7277,16,X21.CMN.CMN_M_021.HT1_S017,talker_CMN_M_021/ALL_021_M_CMN_ENG_HT1_S017,Multi-talker,a,16,available
X21,X21.0202afbc7502337e8841923b31ff7277,17,X21.CMN.CMN_M_037.HT1_S006,talker_CMN_M_037/ALL_037_M_CMN_ENG_HT1_S006,Multi-talker,a,17,available
X21,X21.0202afbc7502337e8841923b31ff7277,18,X21.CMN.CMN_M_032.HT1_S017,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S017,Multi-talker,a,18,available
X21,X21.0202afbc7502337e8841923b31ff7277,19,X21.CMN.CMN_M_021.HT1_S007,talker_CMN_M_021/ALL_021_M_CMN_ENG_HT1_S007,Multi-talker,a,19,available
X21,X21.0202afbc7502337e8841923b31ff7277,20,X21.CMN.CMN_M_032.HT1_S001,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S001,Multi-talker,a,20,available
X21,X21.0202afbc7502337e8841923b31ff7277,21,X21.CMN.CMN_M_021.HT1_S016,talker_CMN_M_021/ALL_021_M_CMN_ENG_HT1_S016,Multi-talker,a,21,available
X21,X21.0202afbc7502337e8841923b31ff7277,22,X21.CMN.CMN_M_016.HT1_S015,talker_CMN_M_016/ALL_016_M_CMN_ENG_HT1_S015,Multi-talker,a,22,available
X21,X21.0202afbc7502337e8841923b31ff7277,23,X21.CMN.CMN_M_043.HT1_S008,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S008,Multi-talker,a,23,available
X21,X21.0202afbc7502337e8841923b31ff7277,24,X21.CMN.CMN_M_032.HT1_S002,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S002,Multi-talker,a,24,available
X21,X21.0202afbc7502337e8841923b31ff7277,25,X21.CMN.CMN_M_043.HT1_S013,talker_CMN_M_043/ALL_043_M_CMN_ENG_HT1_S013,Multi-talker,a,25,available
