tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds,flagged,z_stable,log_likelihood_stable,z_difference,log_likelihood_difference
0,27,0.5,0.0124643460295013,ok,4.63132021390653,-3891.91565239125,grid,1.23900853204959,0.267528150683515,False,0.87536748985978,2.59663516209286,10969.0,213.0,10969.0,0.73888948869444,0.19693780871429,0.0729867587203051,1.0,0.0,2679.0,5.91,,ok,1.1.35.5,6.812999999965541,False,4.63060750994631,-3891.91565239488,0.0007127039602199403,3.6297933547757566e-09
0,28,0.5,0.0179141104306328,ok,4.63501580987542,-3891.87710791397,grid,1.03702969910239,0.223738114742324,False,0.873477260700044,2.59997382869453,10969.0,213.0,10969.0,0.662148287732954,0.243327904137408,0.0232392579512318,1.0,0.0,2679.0,5.38,,ok,1.1.35.5,6.296999999904074,False,4.63473283578356,-3891.87710790631,0.0002829740918599555,-7.660219125682488e-09
0,29,0.5,0.0257466658709044,ok,4.61982017131251,-3891.90992005285,grid,0.906695526596763,0.196262082283425,False,0.871846729018758,2.60779977812346,10969.0,213.0,10969.0,0.576968742025439,0.289308089789435,0.0044863013964839,1.0,0.0,2679.0,6.36,,ok,1.1.35.5,7.452999999979511,False,4.61971855698701,-3891.90991997538,0.00010161432549971039,-7.746984920231625e-08
0,30,0.5,0.0370038359445673,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.5694959483414,-3892.08075762442,,
0,31,0.5,0.05,ok,4.48693305686454,-3892.3888876626,grid,0.781614129788982,0.174197858511215,False,0.870932623916682,2.63986181427037,10969.0,213.0,10969.0,0.422732079750465,0.35929811367632,2.75403626505094e-05,1.0,0.0,2679.0,6.15,,ok,1.1.35.5,7.172000000020489,False,4.4868517447355,-3892.38888803833,8.131212904061158e-05,3.7572999644908123e-07
0,32,0.5,0.0531829589694498,ok,4.46461753336734,-3892.47438167378,grid,0.774109522426712,0.173387645557817,False,0.87100936072577,2.64405810589046,10969.0,213.0,10969.0,0.409948270672441,0.364452001257621,1.41150319316453e-05,1.0,0.0,2679.0,5.09,,ok,1.1.35.5,6.0,False,4.46448770114059,-3892.47438156034,0.00012983222675000405,-1.1343990991008468e-07
0,33,0.5,0.0764360518996801,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.2986180268315,-3893.1187578613,,
0,34,0.5,0.1098560543306118,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.10083677521432,-3893.88988702705,,
0,35,0.5,0.1578882264736758,ok,3.92250964395762,-3894.5734823308,grid,0.667195515114007,0.170094040722571,False,0.873270450806978,2.71558460780668,10969.0,213.0,10969.0,0.268659938685147,0.419016696222135,3.9856386563161806e-15,1.0,0.0,2679.0,3.96,,ok,1.1.35.5,4.843999999924563,False,3.9224561009592,-3894.57348234143,5.354299841986432e-05,1.0630174074321985e-08
0,36,0.5,0.2269214219544048,ok,3.79745082362729,-3895.04135323402,grid,0.645180195781063,0.16989823588151,False,0.87382857165797,2.72655865138401,10969.0,213.0,10969.0,0.253763607851026,0.42529068505802,2.0166410251726702e-21,1.0,0.0,2679.0,4.98,,ok,1.1.35.5,5.952999999979511,False,3.79726888261377,-3895.04135323254,0.0001819410135199817,-1.4797478797845542e-09
0,37,0.5,0.3261378817906619,ok,3.72727762251777,-3895.29758003918,grid,0.632977122849151,0.169822907482157,False,0.874248985850545,2.73161464558514,10969.0,213.0,10969.0,0.247388953453493,0.428157529739251,1.8031308584014497e-30,1.0,0.0,2679.0,4.63,,ok,1.1.35.5,5.561999999918044,False,3.72733164282197,-3895.29757979003,-5.4020304199653424e-05,-2.4915016183513217e-07
0,38,0.5,0.4687345823184205,ok,3.69601906941984,-3895.41187386635,grid,0.627580839871502,0.169799134713342,False,0.874501591403228,2.73344392051188,10969.0,213.0,10969.0,0.245140599161737,0.429217340162479,1.78287795502946e-43,1.0,0.0,2679.0,4.95,,ok,1.1.35.5,5.906000000075437,False,3.69573415726765,-3895.41187368817,0.00028491215218995336,-1.7818001651903614e-07
0,39,0.5,0.6736785909532896,ok,3.68235688144495,-3895.45989225995,grid,0.625350212106132,0.169823358310872,False,0.874612673437439,2.7339187863213,10969.0,213.0,10969.0,0.244472937430769,0.429539289809793,3.63164714979306e-62,1.0,0.0,2679.0,4.36,,ok,1.1.35.5,5.25,False,3.68236940729375,-3895.45989234524,-1.2525848799960215e-05,8.529013939551078e-08
0,40,0.5,0.9682299131078524,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,3.67493917942307,-3895.48699857373,,
0,41,0.5,1.3915673990920128,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,3.66971933999927,-3895.50616944129,,
0,42,0.5,2.0,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,3.66644414796036,-3895.51812315117,,
1,0,0.625,1e-06,ok,1197.00810548077,-3892.53909304913,grid,12190.2150495217,10.1839035121868,False,0.885909971067875,2.61023168328307,10969.0,213.0,10969.0,0.999981590481687,1.62028167973739e-05,0.999861448328652,1.0,0.0,2679.0,3.81,Some predictor variables are on very different scales: consider rescaling,ok,1.1.35.5,4.73499999998603,True,4.51193784829,-3892.44685557037,1192.49616763248,-0.09223747875967092
1,1,0.625,1.4372282659862436e-06,ok,609.128982636954,-3892.53908142062,grid,8482.28235993939,13.9252647661241,False,0.885896668563821,2.61020939665648,10969.0,213.0,10969.0,0.999973541508884,2.32868668752607e-05,0.999800875653327,1.0,0.0,2679.0,4.44,Some predictor variables are on very different scales: consider rescaling,ok,1.1.35.5,5.359000000054948,True,4.51194813004265,-3892.44683317534,604.6170345069113,-0.09224824527973396
1,2,0.625,2.0656250885498287e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.51197307396308,-3892.44680117779,,
1,3,0.625,2.9687747641941507e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999945348044186,4.8099914822604e-05,0.999588727392568,1.0,0.0,2679.0,,,,1.1.35.5,90.04599999997299,True,4.51197091470306,-3892.44675502663,,
1,4,0.625,4.266807006446487e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999921454329675,6.91280948109487e-05,0.999408960532814,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.51197216629509,-3892.44668850947,,
1,5,0.625,6.132375635173039e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999887115382298,9.93477659119352e-05,0.999150651141812,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.51201137510312,-3892.44659320523,,
1,6,0.625,8.813623600516035e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999837766141649,0.000142774912894,0.998779518510141,1.0,0.0,2679.0,,,,1.1.35.5,90.06200000003446,True,4.51204584524302,-3892.446456458,,
1,7,0.625,1.266718896442512e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999766847588002,0.0002051784457446,0.998246357633986,1.0,0.0,2679.0,,,,1.1.35.5,90.04599999997299,True,4.51206410196051,-3892.44625945337,,
1,8,0.625,1.82056420302608e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999664937072065,0.0002948434589491,0.997480582183506,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.51215577961457,-3892.44597658812,,
