tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds
14,19,2.25,0.0009839867443760877,ok,4.20216671272568,-3893.2522402098,grid,37.0693294644262,8.82147996464939,FALSE,0.883809055251103,2.60318265361472,10969,213,10969,0.993430222042604,0.00567649643808526,0.95833662101022,1,0,2679,37.76,,ok,1.1.35.5,38.71900000004098
14,20,2.25,0.001,ok,5.13294949014337,-3893.25186993265,grid,36.4825064622439,7.1075132401556,FALSE,0.883805958562617,2.6031790972439,10969,213,10969,0.993323932787433,0.00576799900061996,0.957673151802825,1,0,2679,32.43,,ok,1.1.35.5,33.375
14,21,2.25,0.0014142135623730952,ok,4.69687980232206,-3893.24232551758,grid,25.9317790259611,5.52106507242123,FALSE,0.883713126139212,2.60305931173355,10969,213,10969,0.990581479053515,0.00812525086666218,0.940669944876876,1,0,2679,24.66,,ok,1.1.35.5,25.546999999904074
14,22,2.25,0.0020325477059837138,ok,4.68242107911011,-3893.22818550749,grid,18.1825057749633,3.88314196176881,FALSE,0.883576310865053,2.60288582302177,10969,213,10969,0.986512239784208,0.01160989517504,0.915847767375375,1,0,2679,18.91,,ok,1.1.35.5,19.780999999959022
14,23,2.25,0.0029212350150052933,ok,4.40671715127991,-3893.20809350509,grid,12.7915736240957,2.90274442061263,FALSE,0.883380731854394,2.60264399099081,10969,213,10969,0.980715075072982,0.0165473957806762,0.88131539145273,1,0,2679,16.04,,ok,1.1.35.5,17.0
14,24,2.25,0.00419848153515436,ok,4.38633980113183,-3893.17968423619,grid,9.04130463199327,2.06124127220155,FALSE,0.883105344633621,2.60230937146234,10969,213,10969,0.972487670756553,0.0235008112262272,0.833952341093404,1,0,2679,12.41,,ok,1.1.35.5,13.391000000061467
14,25,2.25,0.006034176336545169,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
14,26,2.25,0.008672488792828037,ok,4.37456814725078,-3893.08439709452,grid,4.61983123416604,1.05606566834932,FALSE,0.882172928734637,2.60125095716613,10969,213,10969,0.944608791360404,0.0465958338876293,0.687238293484795,1,0,2679,7.95,,ok,1.1.35.5,8.875
14,27,2.25,0.012464346029501394,ok,4.38429042390272,-3893.00857592984,grid,3.3605096212878,0.766488826325608,FALSE,0.881424201762536,2.60049298218899,10969,213,10969,0.922074492326803,0.064742168986347,0.583292080797165,1,0,2679,7.64,,ok,1.1.35.5,8.531000000075437
14,28,2.25,0.017914110430632808,ok,4.40697729658486,-3892.90707987673,grid,2.48740668030242,0.564424664095731,FALSE,0.880415658057194,2.59961912239818,10969,213,10969,0.891333473347712,0.0887568764365582,0.460813142695009,1,0,2679,6.25,,ok,1.1.35.5,7.328000000095926
14,29,2.25,0.02574666587090447,ok,4.43719036263762,-3892.77557394976,grid,1.88435937094634,0.42467399794545,FALSE,0.879093043919785,2.59877005936568,10969,213,10969,0.850289422602884,0.119510700078952,0.328403981381846,1,0,2679,6.24,,ok,1.1.35.5,7.156000000075437
14,30,2.25,0.0370038359445673,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
14,31,2.25,0.05,ok,4.50641762793036,-3892.46105118637,grid,1.23111218213952,0.273190876608773,FALSE,0.875852660626208,2.59877525149339,10969,213,10969,0.743034285730167,0.193021546142889,0.115044433817495,1,0,2679,6.03,,ok,1.1.35.5,6.983999999938533
14,32,2.25,0.05318295896944989,ok,4.51249267109036,-3892.42888144799,grid,1.19114113032385,0.26396522213875,FALSE,0.87551312382015,2.59902870297944,10969,213,10969,0.730860112070529,0.200755950874268,0.100249239465138,1,0,2679,6.1,,ok,1.1.35.5,7.218999999924563
14,33,2.25,0.07643605189968015,ok,4.55048989064701,-3892.2478912656,grid,1.00669293644059,0.221227375652395,FALSE,0.873531354211117,2.60228625114609,10969,213,10969,0.652701333373281,0.247553038911208,0.0366712321254581,1,0,2679,5.63,,ok,1.1.35.5,6.672000000020489
14,34,2.25,0.10985605433061184,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
14,35,2.25,0.1578882264736758,ok,4.54865220202644,-3892.16760869589,grid,0.818064740105606,0.179847722747665,FALSE,0.87114905097707,2.62497928343318,10969,213,10969,0.479752641623867,0.334594744538281,0.00108251703237651,1,0,2679,4.25,,ok,1.1.35.5,5.202999999979511
14,36,2.25,0.22692142195440484,ok,4.45869933911171,-3892.48965047818,grid,0.771561840081947,0.173046393443444,FALSE,0.871432751537118,2.64750581541442,10969,213,10969,0.400760172909937,0.367818049071761,5.46771389194894e-05,1,0,2679,5.93,,ok,1.1.35.5,6.859000000054948
14,37,2.25,0.32613788179066194,ok,4.29387380485491,-3893.12923993345,grid,0.733288837139686,0.17077559110158,FALSE,0.872260257302223,2.67462681347602,10969,213,10969,0.337202772455855,0.392556189750039,7.48607189481018e-07,1,0,2679,5.3,,ok,1.1.35.5,6.23499999998603
