dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,fitted_condition_id
AN19,mfcc39,cv_train,1.0,M_null,(Intercept),1.31944193650261,0.342183191765323,3.85595192357522,0.0001152801444912,0.648762880642574,1.99012099236264,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,1.0,M_predictor,(Intercept),1.34400951665694,0.325154983899192,4.13344276793747,3.57369316809586e-05,0.706705748214523,1.98131328509936,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,1.0,M_predictor,similarity_z,1.01463672539525,0.280542087771569,3.61670055803328,0.0002983821441875,0.464774233362979,1.56449921742753,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,2.0,M_null,(Intercept),1.0415290243435,0.413071201310945,2.52142734966284,0.0116879808040062,0.23190946977405,1.85114857891296,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,2.0,M_predictor,(Intercept),1.04668393786078,0.403309596726168,2.595236875981,0.0094525748254641,0.256197128277489,1.83717074744407,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,2.0,M_predictor,similarity_z,0.564580203344831,0.277259142033022,2.03629066729778,0.0417211764225262,0.0211522849601081,1.10800812172955,AN19.Spanish.test_Korean
AN19,mfcc39,full,,M_null,(Intercept),1.1570058089605,0.356849423862361,3.24228016522388,0.0011857739058798,0.457580938190275,1.85643067973073,AN19.Spanish.test_Korean
AN19,mfcc39,full,,M_predictor,(Intercept),1.1605049209202,0.335319996351757,3.46088790870321,0.0005383969387186,0.503277728070756,1.81773211376964,AN19.Spanish.test_Korean
AN19,mfcc39,full,,M_predictor,similarity_z,0.695676215635937,0.240261026933382,2.89550171542732,0.0037855296077266,0.224764602846508,1.16658782842537,AN19.Spanish.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_null,(Intercept),1.16167276596757,0.317990183048536,3.65317178923809,0.0002590208116976,0.538412007192437,1.7849335247427,AN19.Spanish.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,(Intercept),1.15156157309232,0.29254559245372,3.93634907787747,8.27306080876735e-05,0.578172211883026,1.72495093430161,AN19.Spanish.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,similarity_z,0.864085824494859,0.228060927600174,3.78883763030963,0.000151353791847,0.417086406398518,1.3110852425912,AN19.Spanish.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_null,(Intercept),1.31944193650261,0.342183191765323,3.85595192357522,0.0001152801444912,0.648762880642574,1.99012099236264,AN19.Spanish.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,(Intercept),1.36351012632382,0.325859071557897,4.18435527912428,2.85976562310265e-05,0.724826346070345,2.0021939065773,AN19.Spanish.test_Korean
