dataset_id,fold,SubjectID,Keyword,TestTalker,ceiling_z,numCorrect,numIncorrect
AN19,1,AN19.8,weed,AN19.KOR.km3,0.35088676969468063,1,0
AN19,1,AN19.9,beak,AN19.KOR.km8,0.1693081898213575,1,0
AN19,1,AN19.9,mote,AN19.KOR.kf1,-0.05224376945150042,0,1
AN19,1,AN19.9,page,AN19.KOR.kf3,0.1293348104218226,1,0
AN19,1,AN19.9,teat,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.9,wail,AN19.KOR.km3,0.09380095739003347,1,0
AN19,1,AN19.9,wash,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.9,bun,AN19.KOR.kf1,0.1693081898213575,0,1
AN19,1,AN19.9,fig,AN19.KOR.km8,-0.8736836859292585,0,1
AN19,1,AN19.9,gut,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.9,hid,AN19.KOR.kf5,-0.8736836859292585,0,1
AN19,1,AN19.9,hoot,AN19.KOR.kf3,-0.4312075767166793,0,1
AN19,1,AN19.9,league,AN19.KOR.kf1,-0.16019829852699435,0,1
AN19,1,AN19.9,mace,AN19.KOR.kf5,-0.05224376945150042,0,1
AN19,1,AN19.9,suck,AN19.KOR.km8,0.2733958395969432,0,1
AN19,1,AN19.9,vice,AN19.KOR.km8,0.0023865614072582204,0,1
AN19,1,AN19.9,chain,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.9,curve,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.9,dirt,AN19.KOR.km8,0.35088676969468063,1,0
AN19,1,AN19.9,dog,AN19.KOR.kf1,-0.2516126945097697,1,0
AN19,1,AN19.9,hag,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.9,hash,AN19.KOR.kf5,0.35088676969468063,1,0
AN19,1,AN19.9,hum,AN19.KOR.km8,-0.025261074734421914,1,0
AN19,1,AN19.9,hung,AN19.KOR.kf1,0.0023865614072582204,1,0
AN19,1,AN19.9,hurl,AN19.KOR.kf3,0.35088676969468063,1,0
AN19,1,AN19.9,join,AN19.KOR.kf3,0.2733958395969432,1,0
AN19,1,AN19.9,judge,AN19.KOR.kf1,0.7158719488095222,1,0
AN19,1,AN19.9,leg,AN19.KOR.km1,-0.07890586855986807,1,0
AN19,1,AN19.9,lice,AN19.KOR.kf1,-0.07890586855986807,1,0
AN19,1,AN19.9,lose,AN19.KOR.km1,0.09380095739003347,1,0
AN19,1,AN19.9,main,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.9,mid,AN19.KOR.kf5,0.1293348104218226,1,0
AN19,1,AN19.9,moan,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.9,mum,AN19.KOR.km1,0.0023865614072582204,1,0
AN19,1,AN19.9,noise,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.9,path,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.9,pull,AN19.KOR.kf5,0.215949545902108,1,0
AN19,1,AN19.9,real,AN19.KOR.km8,0.7158719488095222,1,0
AN19,1,AN19.9,rim,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.9,roof,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.9,route,AN19.KOR.km3,-0.10556796766823576,1,0
AN19,1,AN19.9,shop,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.9,soil,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.9,theme,AN19.KOR.km1,0.47783501870924494,1,0
AN19,1,AN19.9,thick,AN19.KOR.kf3,-0.05224376945150042,1,0
AN19,1,AN19.9,vote,AN19.KOR.kf3,0.06135366074586355,1,0
AN19,1,AN19.9,wave,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.9,weed,AN19.KOR.km3,0.35088676969468063,1,0
AN19,1,AN19.9,wick,AN19.KOR.kf1,-0.16019829852699435,1,0
AN19,1,AN19.11,teat,AN19.KOR.kf4,-0.2955853568549958,1,0
AN19,1,AN19.11,wail,AN19.KOR.km6,0.13777361973525967,1,0
AN19,1,AN19.11,gut,AN19.KOR.kf4,-0.5157591312950868,0,1
AN19,1,AN19.11,hid,AN19.KOR.kf6,-0.33516608845507617,0,1
AN19,1,AN19.11,hoot,AN19.KOR.kf4,-0.8736836859292585,0,1
AN19,1,AN19.11,league,AN19.KOR.kf2,-0.8736836859292585,0,1
AN19,1,AN19.11,leg,AN19.KOR.km2,0.17735435133533994,0,1
AN19,1,AN19.11,mid,AN19.KOR.kf6,-0.642430420632571,0,1
AN19,1,AN19.11,mote,AN19.KOR.kf2,-0.33516608845507617,0,1
AN19,1,AN19.11,path,AN19.KOR.km6,-0.38144971683565093,0,1
AN19,1,AN19.11,pull,AN19.KOR.kf6,0.10267271131345485,0,1
AN19,1,AN19.11,theme,AN19.KOR.km2,0.07070519661737275,0,1
AN19,1,AN19.11,thick,AN19.KOR.kf4,-0.8736836859292585,0,1
AN19,1,AN19.11,wave,AN19.KOR.km6,0.07070519661737275,0,1
AN19,1,AN19.11,wick,AN19.KOR.kf2,-0.642430420632571,0,1
AN19,1,AN19.11,beak,AN19.KOR.km7,0.17735435133533994,1,0
AN19,1,AN19.11,bun,AN19.KOR.kf2,-0.06608805873576057,1,0
AN19,1,AN19.11,chain,AN19.KOR.kf6,0.7158719488095222,1,0
AN19,1,AN19.11,curve,AN19.KOR.km6,0.22363797971591481,1,0
AN19,1,AN19.11,dirt,AN19.KOR.km7,0.7158719488095222,1,0
AN19,1,AN19.11,dog,AN19.KOR.kf2,0.7158719488095222,1,0
AN19,1,AN19.11,fig,AN19.KOR.km7,0.22363797971591481,1,0
AN19,1,AN19.11,hag,AN19.KOR.km7,-0.2285169337371089,1,0
