talker_id,AN19.ENG.ef1,AN19.ENG.ef2,AN19.ENG.ef3,AN19.ENG.em1,AN19.ENG.em2,AN19.ENG.em3,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if5,AN19.MIX.im1,AN19.MIX.im5,AN19.MIX.if4,AN19.MIX.if6,AN19.MIX.im3,AN19.MIX.im2,AN19.MIX.im6,AN19.MIX.if2,AN19.MIX.if1,AN19.MIX.im4,AN19.MIX.if3
AN19.SPA.sf5,0.0011242548314123317,0.0012648401686153438,9.921356352017783e-05,0.00038798023488838696,0.0011955491564808781,0.00016122572814140766,6.732500589036686e-05,0.00014606084139402766,0.0003487566430371592,0.00020735442447527294,1.0,0.0003262791890494344,0.0013164408834537647,9.199117689958833e-05,0.0019833959242304667,0.0003989794051278268,0.0003516356178818966,0.00028256807003902663,8.1648850424402e-05,0.0006129205457160795,0.0003706300184673679,5.693320320041163e-05,0.00011755805424413283,0.0001623065680287091,0.0003826735451724059,6.791606505563383e-05,0.00023483336644460767,0.00017759050092593537,0.000253430853958469,0.00019971986749226138,5.611655396773245e-06,3.804430477455008e-05,3.327005623573052e-05,0.0012748101147799329,0.00015557380494816235,0.0005197079594383307,0.0005465268348518195,0.0003001624026643709,0.0006526374868001231,0.00030175827664762685,6.130741654235908e-05,0.0007468261903391637
AN19.SPA.sf6,2.6077610515935652e-05,2.5602556976196375e-05,8.989784531714074e-05,3.563340083999947e-05,0.0002762997906527943,2.3050519832626873e-05,0.0003797233230987586,0.00014599691329145997,0.0015842866931745322,0.00014430554461061074,0.0003262791890494344,1.0,6.098240539361744e-05,0.0001703696372367938,0.00013505555151261615,8.764238432462934e-05,6.58015689957952e-05,0.00021499020623801197,0.00018729633981633625,0.0009062534920291213,4.127115324082903e-05,0.00014951698092275628,7.957676097384334e-05,9.34320595731596e-05,4.569305418907492e-06,3.603466093323039e-05,1.9851731060043214e-05,1.7500172997241514e-05,0.00033089414462543796,0.0001019945244790148,4.873554415372916e-07,7.113272160922133e-05,0.00022940798756628474,0.00012436483922109284,0.0001294549002477273,4.179845752440614e-05,1.4867668182434511e-05,5.522958616160958e-05,0.0005643040756442085,9.636380507939043e-05,0.0003533941242258821,3.663749293956902e-05
AN19.SPA.sm2,0.00027867903094587183,0.0008019661775518568,4.767515905670749e-05,0.0002094211826930983,0.0013997905900851515,5.463690957331786e-05,0.00021135041335966834,0.00015359385987411377,9.418584242674697e-05,9.700423582691643e-05,0.0013164408834537647,6.098240539361744e-05,1.0,0.0006604554264342713,0.0009543499724004032,0.00031087433342476083,0.00010968046831658181,0.0008075369943737224,1.7094486565597803e-05,9.721501903151939e-05,0.0001222004541249963,6.515193082254322e-05,2.271055981852842e-05,4.639521727789618e-05,5.924072737686532e-05,0.00029799811686833787,9.997946082549477e-05,0.00035545081624543506,0.00023990755728629603,0.00022202463935864456,3.876459232143166e-07,9.447213181477859e-05,0.0003633221843225199,0.0002978984893497005,4.4839098899918056e-05,0.0005049821940531144,0.0005440260048470591,0.0007498677645663062,0.00010234328989080196,6.650413073613324e-05,0.0002662512909866616,3.8510285738998335e-05
AN19.SPA.sm3,0.00022936475245963529,0.00011627153330387194,1.346254956913451e-05,0.0003494191927640063,0.00016241758783002973,4.618469564277455e-05,9.55375954954964e-05,5.301421566687767e-05,0.0002128864433261869,6.12307671376249e-05,9.199117689958833e-05,0.0001703696372367938,0.0006604554264342713,1.0,0.0006122071137353595,0.00026773914783874685,0.0002082139255135794,0.00019615790244213914,4.63262258142104e-05,3.456609981563804e-05,4.602351808684077e-05,7.584914856250289e-05,1.869095285435729e-05,9.336684354875704e-05,4.535856838162709e-06,0.00039125551571698726,0.00013452135637517527,9.317347048788515e-05,7.530367597150084e-05,1.118760317666993e-05,7.803937417075862e-07,0.00011858420862661143,0.00039605562689481885,0.00021854858520852196,4.540290582203043e-05,0.00020596005021473562,0.00039646556784059294,6.58635667474385e-05,0.00020325569582736256,0.00030875828135376387,3.169420865580602e-05,1.5144238478208151e-05
AN19.SPA.sm4,0.0002594587682128512,0.00035557215634379714,5.4757632606229564e-05,0.0006215931565223432,0.00013108348321183826,0.0003312019906559058,3.777021675286352e-05,6.728831783412566e-05,0.0003166803650198322,0.0004131245881906994,0.0019833959242304667,0.00013505555151261615,0.0009543499724004032,0.0006122071137353595,1.0,0.0003856888123275295,0.0002445553670693018,0.0004834720191319668,0.00026634965575754303,9.030857813961549e-05,0.00036177123281713486,4.892646339850426e-05,1.6742591418273716e-05,2.3134695758533065e-05,0.00015472072947966096,0.00013445207083637056,0.00030752068867466665,0.0005992602692622913,0.0004612520649558932,0.00026709721505172534,1.1024321975234367e-06,0.00011994054980334033,0.0006698941758453413,0.0002812674503581425,0.00025258136538959075,0.0008146967333613353,0.0005532807718219148,0.00021034533542829716,0.00010371526069183378,0.0002744679803043835,0.000140829663407808,3.456536378973603e-05
AN19.SPA.sm5,0.0016352124295115423,0.00019995425978719937,3.445391570872675e-05,0.0009558193833427459,0.0002636280477366179,0.0005474623380538537,0.00040006834471263686,6.620037149678389e-05,0.00019577351749530613,5.6968266453958094e-05,0.0003989794051278268,8.764238432462934e-05,0.00031087433342476083,0.00026773914783874685,0.0003856888123275295,1.0,0.00013262432389928624,0.0008247796074340198,1.8403565913495644e-05,8.912444245403838e-05,0.0010727590896005557,0.00018914396361149907,2.6164903945726843e-05,0.00012073901666868848,6.941705052333904e-05,0.0006775483795687058,0.0014368551516536561,0.0003726642406235348,0.0009497585856460681,0.0002594234134643745,2.072942227547804e-06,0.00020937875367121195,0.00023889548545988936,0.0001263448170081762,0.00046967399041210296,0.00022919635413329838,0.0006502017036333285,0.0004987054944187371,0.0003346129739982211,4.861170444175683e-05,0.0008841834729728889,5.186088862219326e-05
AN19.SPA.sm6,0.0001729976403076564,5.51623616918083e-05,7.19039604250399e-06,0.00012913236968876718,0.0001557418105140658,0.0005211818585563003,6.531175643098828e-05,7.430552567806737e-05,0.0002623386327874611,0.00035666540177538877,0.0003516356178818966,6.58015689957952e-05,0.00010968046831658181,0.0002082139255135794,0.0002445553670693018,0.00013262432389928624,1.0,8.162974904352146e-05,0.0002829848329880532,9.363538264017028e-05,0.0001595932759906744,0.000523943473048244,1.9025881127103607e-05,9.475502280677343e-05,2.7180686080551905e-05,0.0001189854654723542,0.00033488408520715766,0.0001440412062429502,0.00023642469913117735,1.978654886704651e-05,1.6506000818604395e-06,6.633904858251028e-05,0.0001772791798590943,8.465676383914337e-05,6.469024685671392e-05,0.00031679862929507,0.0002609943203769887,0.00029083753542753337,0.00037308882702118845,2.3091835475860342e-05,0.00012161105647748851,4.7700681221722214e-05
AN19.SPA.sm7,0.00043298176377522095,6.654064991570938e-05,1.6132839159237643e-05,0.0011652183536247987,0.00042674512679136795,9.829869963314756e-05,2.6411842751219672e-05,5.110583585018118e-05,2.1863043111869276e-05,6.576429572827896e-05,0.00028256807003902663,0.00021499020623801197,0.0008075369943737224,0.00019615790244213914,0.0004834720191319668,0.0008247796074340198,8.162974904352146e-05,1.0,0.000564159388772612,2.6448887810120943e-05,6.326014747530982e-05,6.618226676960621e-06,8.804026673458497e-06,2.6658155609516505e-05,5.4620093185488604e-05,0.00021989742947641001,0.00020910679406559908,8.326289341197696e-05,0.0003044481090999389,0.00012143641853870996,1.8334114640488376e-07,9.234366034704521e-05,0.00033804131346998426,4.5946528428487196e-05,9.784409643694054e-05,0.0003566678944449257,0.0009437418335853368,0.00010897242382949006,0.00015251679959583223,4.6819261978404526e-05,0.0002732631874917884,4.17715114211518e-05
AN19.KOR.kf1,7.31493500679168e-05,2.2465927124810872e-05,5.042942918327446e-05,1.7636313413727878e-05,4.187031095823624e-05,8.530937200656381e-05,2.856012273644034e-05,3.791099405104499e-05,7.75914359262417e-05,4.346939773818323e-05,8.1648850424402e-05,0.00018729633981633625,1.7094486565597803e-05,4.63262258142104e-05,0.00026634965575754303,1.8403565913495644e-05,0.0002829848329880532,0.000564159388772612,1.0,8.601594818030494e-05,0.0002499958900996972,0.0001392074898762255,9.000956133797622e-05,3.715908477114847e-05,1.9396128627769154e-05,6.814738160165193e-05,3.8684810743457535e-05,0.0009177454429288419,0.00012202813356589182,6.172015385980695e-05,3.5176414240090817e-07,1.153018955362643e-05,8.912348644364821e-05,0.00015608217782697427,6.26387782279175e-05,3.058230415423804e-05,0.00012099415387731153,1.1573991306720972e-05,0.00013931153733343725,8.010361837521894e-05,0.00022144935490591797,7.157849188765018e-05
AN19.KOR.kf2,0.0006756591804421543,0.00020131256542645507,0.00014369809462977203,0.0003293819158746784,0.00018923894858689671,7.124662101452338e-05,7.84256952236203e-05,0.0001969319499287164,0.00012469279701868088,5.1749454163870244e-05,0.0006129205457160795,0.0009062534920291213,9.721501903151939e-05,3.456609981563804e-05,9.030857813961549e-05,8.912444245403838e-05,9.363538264017028e-05,2.6448887810120943e-05,8.601594818030494e-05,1.0,0.0013040546840092228,9.588423440100878e-05,0.0003668355040437502,0.00025328800756246504,0.000279560503266987,0.00018497740279804566,4.567342515738595e-05,0.0003216142688082646,0.0003385734176915343,0.00012380994023842082,4.825073200329214e-06,2.022994789219803e-05,6.0414986376744e-05,0.0006011874418021357,0.0004046765009108308,5.806557608396169e-05,4.9589227939930225e-05,0.00010015680384800854,0.0003481852548202751,0.00012162246860813974,0.00018285662979546015,5.575909409472885e-05
