iso6393,inventory_id,english_inventory_id,n_segments,intersection,union,jaccard
ron,2443,2515,51,14,77,0.18181818181818182
rus,166,160,38,11,67,0.16417910447761194
rus,166,2175,38,11,66,0.16666666666666666
rus,166,2176,38,13,64,0.203125
rus,166,2177,38,11,71,0.15492957746478872
rus,166,2178,38,11,67,0.16417910447761194
rus,166,2179,38,13,70,0.18571428571428572
rus,166,2180,38,12,65,0.18461538461538463
rus,166,2252,38,10,72,0.1388888888888889
rus,166,2515,38,15,63,0.23809523809523808
rus,530,160,38,9,69,0.13043478260869565
rus,530,2175,38,8,69,0.11594202898550725
rus,530,2176,38,11,66,0.16666666666666666
rus,530,2177,38,9,73,0.1232876712328767
rus,530,2178,38,9,69,0.13043478260869565
rus,530,2179,38,10,73,0.136986301369863
rus,530,2180,38,10,67,0.14925373134328357
rus,530,2252,38,7,75,0.09333333333333334
rus,530,2515,38,11,67,0.16417910447761194
rus,2261,160,42,10,72,0.1388888888888889
rus,2261,2175,42,9,72,0.125
rus,2261,2176,42,11,70,0.15714285714285714
rus,2261,2177,42,11,75,0.14666666666666667
rus,2261,2178,42,10,72,0.1388888888888889
rus,2261,2179,42,11,76,0.14473684210526316
rus,2261,2180,42,11,70,0.15714285714285714
rus,2261,2252,42,10,76,0.13157894736842105
rus,2261,2515,42,13,69,0.18840579710144928
som,127,160,50,24,66,0.36363636363636365
som,127,2175,50,20,69,0.2898550724637681
som,127,2176,50,21,68,0.3088235294117647
som,127,2177,50,22,72,0.3055555555555556
som,127,2178,50,22,68,0.3235294117647059
som,127,2179,50,18,77,0.23376623376623376
som,127,2180,50,23,66,0.3484848484848485
som,127,2252,50,22,72,0.3055555555555556
som,127,2515,50,19,71,0.2676056338028169
som,552,160,32,20,52,0.38461538461538464
som,552,2175,32,17,54,0.3148148148148148
som,552,2176,32,19,52,0.36538461538461536
som,552,2177,32,17,59,0.288135593220339
som,552,2178,32,17,55,0.3090909090909091
som,552,2179,32,15,62,0.24193548387096775
som,552,2180,32,16,55,0.2909090909090909
som,552,2252,32,16,60,0.26666666666666666
som,552,2515,32,16,56,0.2857142857142857
spa,164,160,25,11,54,0.2037037037037037
spa,164,2175,25,9,55,0.16363636363636364
spa,164,2176,25,11,53,0.20754716981132076
spa,164,2177,25,10,59,0.1694915254237288
spa,164,2178,25,10,55,0.18181818181818182
spa,164,2179,25,10,60,0.16666666666666666
spa,164,2180,25,11,53,0.20754716981132076
spa,164,2252,25,9,60,0.15
spa,164,2515,25,14,51,0.27450980392156865
spa,553,160,25,9,56,0.16071428571428573
spa,553,2175,25,7,57,0.12280701754385964
spa,553,2176,25,9,55,0.16363636363636364
spa,553,2177,25,8,61,0.13114754098360656
spa,553,2178,25,8,57,0.14035087719298245
spa,553,2179,25,8,62,0.12903225806451613
spa,553,2180,25,9,55,0.16363636363636364
spa,553,2252,25,7,62,0.11290322580645161
spa,553,2515,25,11,54,0.2037037037037037
spa,2210,160,38,10,68,0.14705882352941177
spa,2210,2175,38,9,68,0.1323529411764706
spa,2210,2176,38,11,66,0.16666666666666666
spa,2210,2177,38,10,72,0.1388888888888889
spa,2210,2178,38,10,68,0.14705882352941177
spa,2210,2179,38,11,72,0.1527777777777778
spa,2210,2180,38,10,67,0.14925373134328357
spa,2210,2252,38,10,72,0.1388888888888889
spa,2210,2515,38,12,66,0.18181818181818182
spa,2303,160,45,11,74,0.14864864864864866
