dataset_id,store_id,model_variant,feature_key,layer,pool_id,measure,linguistic_unit,tau,coordinate_scaling,value,value_status,status_reason,variant,exposure_talker_set
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:2036c2eede8f5bf2,overall,all,2.0,none,942.7776469598662,available,,base,B23.SPA.SPA
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:32aba1a79d958e3a,overall,all,2.0,none,872.4525872856888,available,,base,B23.FAR.FAR
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:5cbf296e4c2d4396,overall,all,2.0,none,699.1042007441782,available,,base,B23.TUR.TUR
B23,B23_hubert_base_tsne,base,tr_8,tr_8,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,891.3685991834035,available,,base,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:2036c2eede8f5bf2,overall,all,2.0,none,532.1043573768007,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:32aba1a79d958e3a,overall,all,2.0,none,636.8963366734865,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:5cbf296e4c2d4396,overall,all,2.0,none,490.4810765646948,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_2,cnn_2,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,708.2062497715943,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:2036c2eede8f5bf2,overall,all,2.0,none,395.2479969186485,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:32aba1a79d958e3a,overall,all,2.0,none,623.8749735183668,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:5cbf296e4c2d4396,overall,all,2.0,none,589.2490198620809,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_3,cnn_3,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,643.9973949355046,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:2036c2eede8f5bf2,overall,all,2.0,none,457.75989485241615,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:32aba1a79d958e3a,overall,all,2.0,none,590.0918771970958,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:5cbf296e4c2d4396,overall,all,2.0,none,467.5217301750067,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_4,cnn_4,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,631.6212549957138,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:2036c2eede8f5bf2,overall,all,2.0,none,422.8669318840245,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:32aba1a79d958e3a,overall,all,2.0,none,517.9036178453448,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:5cbf296e4c2d4396,overall,all,2.0,none,423.5556357427682,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_5,cnn_5,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,581.8781139074096,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,cnn_6,cnn_6,B23V:2036c2eede8f5bf2,overall,all,2.0,none,448.9138749490834,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,cnn_6,cnn_6,B23V:32aba1a79d958e3a,overall,all,2.0,none,549.6499488368954,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,cnn_6,cnn_6,B23V:5cbf296e4c2d4396,overall,all,2.0,none,484.8488552780023,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,cnn_6,cnn_6,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,631.8481910848442,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_0,tr_0,B23V:2036c2eede8f5bf2,overall,all,2.0,none,663.2139833090207,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_0,tr_0,B23V:32aba1a79d958e3a,overall,all,2.0,none,724.3079785300902,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_0,tr_0,B23V:5cbf296e4c2d4396,overall,all,2.0,none,661.4234697479466,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_0,tr_0,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,756.4293406059505,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_10,tr_10,B23V:2036c2eede8f5bf2,overall,all,2.0,none,854.3998661043497,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_10,tr_10,B23V:32aba1a79d958e3a,overall,all,2.0,none,839.6446536971781,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_10,tr_10,B23V:5cbf296e4c2d4396,overall,all,2.0,none,836.5502371593554,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_10,tr_10,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,854.5182300861994,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_12,tr_12,B23V:2036c2eede8f5bf2,overall,all,2.0,none,908.7748416043391,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_12,tr_12,B23V:32aba1a79d958e3a,overall,all,2.0,none,895.3588789737148,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_12,tr_12,B23V:5cbf296e4c2d4396,overall,all,2.0,none,893.9456871252547,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_12,tr_12,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,916.9520546930444,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_14,tr_14,B23V:2036c2eede8f5bf2,overall,all,2.0,none,857.1395568166168,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_14,tr_14,B23V:32aba1a79d958e3a,overall,all,2.0,none,847.3060842840747,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_14,tr_14,B23V:5cbf296e4c2d4396,overall,all,2.0,none,864.4513197963303,available,,ft,B23.TUR.TUR
B23,B23_hubert_ft_tsne,ft,tr_14,tr_14,B23V:c6a98ce1d2029c1d,overall,all,2.0,none,866.1644853778067,available,,ft,B23.BRP.BRP
B23,B23_hubert_ft_tsne,ft,tr_16,tr_16,B23V:2036c2eede8f5bf2,overall,all,2.0,none,884.1218207179961,available,,ft,B23.SPA.SPA
B23,B23_hubert_ft_tsne,ft,tr_16,tr_16,B23V:32aba1a79d958e3a,overall,all,2.0,none,885.6702769218773,available,,ft,B23.FAR.FAR
B23,B23_hubert_ft_tsne,ft,tr_16,tr_16,B23V:5cbf296e4c2d4396,overall,all,2.0,none,913.818365898353,available,,ft,B23.TUR.TUR
