dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note
AN19,HuBERT t-SNE exp(k=1),ft,cnn_4,0.0207620641345945,0.0730446045944449,0.284238161735131,0.776227872129139,-0.122405360870517,0.163929489139706,0.8732563561452814,0.0863698240882513,1.0,0.768843920247341,0.684897510781729,0.684340736189964,0.691824408150698,0.0005567745917649525,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,cnn_5,0.043082631877192,0.0487645558456108,0.883482503431225,0.37697563177802,-0.0524958975802051,0.138661161334589,0.663769387220004,0.799396015134334,1.0,0.371274012429413,0.684897510781729,0.684641433230776,0.692264476052182,0.00025607755095302664,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,cnn_6,0.0151222301216247,0.0403472204439006,0.374802277709585,0.707807520186957,-0.0639583219484205,0.0942027821916699,0.8493690242243485,0.140951477133058,1.0,0.707336941577797,0.684897510781729,0.685353674787759,0.692729720905826,-0.00045616400602999096,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_0,-0.0724385802692784,0.0531263584267749,-1.36351488064295,0.172720297926777,-0.176566242785757,0.0316890822472004,0.45552849806547513,1.92381392976313,1.0,0.165436824059003,0.684897510781729,0.68379865446649,0.691492132164889,0.001098856315238983,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_10,0.0036744228359857,0.0571120969334839,0.064337032490073,0.948701866858735,-0.108265287153643,0.115614132825614,0.955404237673148,0.0124765863338325,1.0,0.911062357152073,0.684897510781729,0.683442450998753,0.691266646215839,0.0014550597829759981,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_12,-0.0864704509180404,0.0640720052767572,-1.34958240411758,0.177149971469907,-0.212051581260484,0.0391106794244036,0.45552849806547513,1.58224712684478,1.0,0.208437309733933,0.684897510781729,0.690126753866901,0.697805030462254,-0.005229243085172031,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_14,-0.0738123750889643,0.067903968213406,-1.08701121644304,0.277031852703221,-0.20690415278724,0.0592794026093114,0.6233216685822472,0.966525724023086,1.0,0.325548184394351,0.684897510781729,0.688491230817739,0.695915881552931,-0.0035937200360099952,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_16,-0.139674564128413,0.0674141677349439,-2.07188739135043,0.0382759440998739,-0.271806332888903,-0.007542795367923,0.2425713538571694,3.67196777074514,1.0,0.0553348185686955,0.684897510781729,0.694046835028452,0.701114253040774,-0.00914932424672299,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_18,-0.123125426619478,0.0701340016465709,-1.75557395455558,0.0791611827056092,-0.260588069846757,0.0143372166078011,0.28498025774019314,2.60227329146346,1.0,0.106710551942384,0.684897510781729,0.692318203396827,0.699466040715198,-0.007420692615098035,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
AN19,HuBERT t-SNE exp(k=1),ft,tr_2,-0.0421118102660051,0.0501150501827748,-0.840302665814339,0.400738707118384,-0.140337308624244,0.0561136880922336,0.663769387220004,0.638237521406154,1.0,0.424349737670066,0.684897510781729,0.68524130461075,0.692713267166927,-0.00034379382902094413,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-ft,True,True,ok
