dataset_id,model_variant,representation,measure,layer,mean_percent_ceiling,fold_bootstrap95_low,fold_bootstrap95_high,mean_z_test,min_fold_z_test,max_fold_z_test,n_folds
X21,base,hubert_tsne_3d,between_type_word,tr_20,-0.5524236900987466,-2.5979120415157397,1.3269608391577348,-0.12008229749629916,-0.716235596499681,0.37290935249719,3
X21,base,hubert_tsne_3d,mean_dissimilarity_phoneme,tr_20,-19.484228250065566,-23.696395200530215,-14.530020642054584,-4.235355824063126,-5.27675321199081,-2.7331012633794,3
X21,base,hubert_tsne_3d,mean_dissimilarity_sentence,tr_20,-22.967824691760033,-24.383313656828943,-21.63876889764033,-4.992597542270087,-5.40024099106473,-4.63863490784983,3
X21,base,hubert_tsne_3d,mean_dissimilarity_word,tr_20,-23.8227870036298,-24.760243852516655,-22.668963614902296,-5.178443733376983,-5.40141783890212,-4.82109144949207,3
X21,base,hubert_tsne_3d,order_phoneme,tr_20,-21.716202081741795,-28.838388294310644,-15.213436952580071,-4.720527894818076,-6.80332834914349,-3.02242960787581,3
X21,base,hubert_tsne_3d,order_sentence,tr_20,-11.172307657879587,-19.949303862720615,-3.525155530490597,-2.4285641545420797,-5.05825410717036,-0.500583389805819,3
X21,base,hubert_tsne_3d,order_word,tr_20,-10.338301432689091,-18.16724836492003,-1.1431097557673209,-2.2472732623481027,-4.18509176223358,0.539075144797481,3
X21,base,hubert_tsne_3d,overall,tr_20,-3.7436015956711386,-6.31964560741813,-0.6577693634882216,-0.8137599610158753,-1.44103365056197,0.130126511920414,3
X21,base,hubert_tsne_3d,within_token_phoneme,tr_20,-5.1346056901688355,-6.33027556448914,-3.627492530019123,-1.1161274562697174,-1.39442248009225,-0.644405198074612,3
X21,base,hubert_tsne_3d,within_token_sentence,tr_20,1.803629480430499,-1.9822603505967256,5.344837409552874,0.3920613393741967,-0.700548645491224,1.3327074009833,3
X21,base,hubert_tsne_3d,within_token_word,tr_20,8.180704187980892,4.024730454014323,12.34771680338348,1.778268694187869,0.626889996250397,2.93650328019193,3
X21,base,hubert_tsne_3d,within_type_phoneme,tr_20,-17.39214454028451,-22.74008711035873,-12.640985258389012,-3.7805921654296903,-5.36715447396573,-2.5646724303714,3
X21,base,hubert_tsne_3d,within_type_sentence,tr_20,-19.608958605282915,-22.6623298909307,-17.015885058629884,-4.262468903915569,-5.18884582344588,-3.62196784908594,3
X21,base,hubert_tsne_3d,within_type_word,tr_20,-25.54292896059266,-26.460496996123762,-24.44205012528189,-5.552357093564267,-5.77549055623631,-5.21537529109714,3
X21,base,hubert_tsne_3d,between_type_phoneme,tr_22,-0.014641888908620096,-2.4728430368705765,2.9680602019276727,-0.0031827593409660127,-0.59522785397738,0.914612709190361,3
X21,base,hubert_tsne_3d,between_type_sentence,tr_22,-1.5347810697069633,-11.0599996863886,9.743882964787671,-0.33362080647065673,-2.67563645458651,3.09740241773597,3
X21,base,hubert_tsne_3d,between_type_word,tr_22,6.3948084727282835,0.9650354089968971,13.261989063193887,1.3900622062691566,0.130234675317668,3.54261651995441,3
X21,base,hubert_tsne_3d,mean_dissimilarity_phoneme,tr_22,-20.960457474574955,-26.188908224108314,-15.697593509151064,-4.55624900820333,-6.00122274003202,-3.08990235398896,3
X21,base,hubert_tsne_3d,mean_dissimilarity_sentence,tr_22,-22.704077292081696,-24.067390887307724,-21.059512121815207,-4.935265834235646,-5.26526814981286,-4.43058736798102,3
X21,base,hubert_tsne_3d,mean_dissimilarity_word,tr_22,-23.584667861765507,-25.422576608607834,-21.748113810728064,-5.126682930671727,-5.63693191688975,-4.61727530169233,3
X21,base,hubert_tsne_3d,order_phoneme,tr_22,-18.545282819318,-24.3357948108355,-14.028305881233674,-4.031253924436654,-5.85688393586087,-2.99657486450296,3
X21,base,hubert_tsne_3d,order_sentence,tr_22,-15.907365948326303,-26.25235859082226,-4.748665592814689,-3.4578405749542873,-6.1887744301549,-0.221539483798992,3
X21,base,hubert_tsne_3d,order_word,tr_22,-13.383538876138067,-21.330363937100255,-3.3635675797477105,-2.909227329824361,-4.75832202558382,0.227430659203296,3
X21,base,hubert_tsne_3d,overall,tr_22,-8.248029977433326,-14.166656409126077,-1.1834326438263127,-1.7929035399106426,-3.23845128864082,0.364369239713712,3
X21,base,hubert_tsne_3d,within_token_phoneme,tr_22,-1.1266530147941782,-8.844372554295369,7.493892942384049,-0.24490456315049305,-2.23146578427564,2.30237260542141,3
X21,base,hubert_tsne_3d,within_token_sentence,tr_22,-4.037110885822645,-10.403571426998035,4.496857581317469,-0.8775611167765933,-2.27189770562832,1.86294372381145,3
X21,base,hubert_tsne_3d,within_token_word,tr_22,1.64943806310583,-2.08342153948644,5.671113101229169,0.3585442039246883,-0.627703381860308,1.52416560664753,3
X21,base,hubert_tsne_3d,within_type_phoneme,tr_22,-19.706580639986164,-27.97745527400513,-12.81908483035643,-4.28368935195851,-6.81648486352865,-2.61006516392031,3
X21,base,hubert_tsne_3d,within_type_sentence,tr_22,-21.64972872817589,-23.909225386940733,-18.884703882262638,-4.70607834610837,-5.24624253994667,-3.85194713616603,3
X21,base,hubert_tsne_3d,within_type_word,tr_22,-25.867313117798872,-29.38785324297216,-22.523519619799536,-5.622869628719594,-6.63017533034062,-4.72533547406864,3
X21,base,hubert_tsne_3d,between_type_phoneme,tr_24,-4.662467929874029,-8.957823864552743,-0.5309592790955336,-1.013497196186514,-2.23359694060219,0.104842361298577,3
X21,base,hubert_tsne_3d,between_type_sentence,tr_24,2.349181647190225,-2.822554887002615,7.05884526988531,0.5106499494623734,-1.00387434704417,1.73819587971045,3
X21,base,hubert_tsne_3d,between_type_word,tr_24,12.756517230800144,10.71502231010086,14.962882938939066,2.77292941012684,2.23474061067059,3.41351406107287,3
X21,base,hubert_tsne_3d,mean_dissimilarity_phoneme,tr_24,-11.857684223037609,-18.124832378682072,-4.193415310150186,-2.5775468902020684,-4.07666510219259,-0.210722689821595,3
X21,base,hubert_tsne_3d,mean_dissimilarity_sentence,tr_24,-18.801760143674354,-22.48873514410024,-14.582577127765997,-4.087005310404386,-5.01870891523829,-2.82476472105486,3
X21,base,hubert_tsne_3d,mean_dissimilarity_word,tr_24,-19.979549107436338,-22.832321406021638,-16.135843136479934,-4.343025476210533,-4.96443738937439,-3.1061770825878,3
X21,base,hubert_tsne_3d,order_phoneme,tr_24,-16.003479118397152,-25.271573980167904,-7.42832619789155,-3.4787330357386836,-6.1696489111435,-1.21818072692266,3
X21,base,hubert_tsne_3d,order_sentence,tr_24,-16.064337494473396,-24.119040002279277,-5.233842243836866,-3.491962036869724,-5.25028869828609,-0.0096813271028519,3
X21,base,hubert_tsne_3d,order_word,tr_24,-7.739075792800558,-14.62705050892843,0.9822855263907642,-1.6822703630457367,-3.27872305544212,1.05283875991674,3
X21,base,hubert_tsne_3d,overall,tr_24,-3.4131641156236756,-12.971055755838748,8.208687453369645,-0.7419315935975734,-3.03967234443403,2.83766713602371,3
X21,base,hubert_tsne_3d,within_token_phoneme,tr_24,0.13374543148242482,-10.11468394425528,11.131923249172345,0.029072718965351758,-2.68605222437678,3.20984188775853,3
X21,base,hubert_tsne_3d,within_token_sentence,tr_24,-3.442598397072939,-12.104546871076222,6.348862442085245,-0.74832982778798,-2.95797168067294,2.16281519733492,3
X21,base,hubert_tsne_3d,within_token_word,tr_24,0.26384374953865475,-9.34927459550092,13.019013436483185,0.057352651945423196,-2.07051394075462,4.13664452486231,3
X21,base,hubert_tsne_3d,within_type_phoneme,tr_24,2.67075290439333,-5.112021154105168,11.997343863711917,0.5805510345639547,-1.31395042253679,3.43386665491763,3
X21,base,hubert_tsne_3d,within_type_sentence,tr_24,-12.6610118340253,-18.7659483211948,-5.849575703240553,-2.752169063180153,-4.32491188666844,-0.740642427782819,3
X21,base,hubert_tsne_3d,within_type_word,tr_24,-19.228141232444926,-23.924390174524223,-13.899900917586208,-4.17968928045533,-5.37432329243957,-2.59254610565996,3
X21,base,hubert_tsne_3d,between_type_phoneme,tr_4,17.56023192471096,9.76837146398439,23.826926340418712,3.8171299165505066,1.39290309386752,5.29412601226084,3
X21,base,hubert_tsne_3d,between_type_sentence,tr_4,7.786092837691548,4.442492635413784,11.384081202647355,1.6924906249084888,0.808347727002696,2.73462568704699,3
X21,base,hubert_tsne_3d,between_type_word,tr_4,24.710187439791454,19.227153487834485,31.47362960423564,5.371341114650516,4.06976372676142,7.46813814822814,3
X21,base,hubert_tsne_3d,mean_dissimilarity_phoneme,tr_4,-11.568826297170274,-17.975789106323507,-3.6929015458171626,-2.514756817998675,-4.04033213033388,-0.0768573079476746,3
X21,base,hubert_tsne_3d,mean_dissimilarity_sentence,tr_4,-16.519511482442255,-21.462023404863043,-11.210762460335573,-3.590904821575577,-4.89952883678949,-2.054822927062,3
X21,base,hubert_tsne_3d,mean_dissimilarity_word,tr_4,-17.475053728431124,-21.680882423844256,-12.71394017668864,-3.79861442981596,-4.8703347281216,-2.38202487622128,3
X21,base,hubert_tsne_3d,order_phoneme,tr_4,-1.9275649497578495,-9.592654199101046,5.6247591799502805,-0.4190016320605044,-2.56542099748851,1.65738300724838,3
X21,base,hubert_tsne_3d,order_sentence,tr_4,10.564828640345103,4.075906091165702,15.408227591315896,2.296514285186737,0.213174747617382,3.35787295760867,3
X21,base,hubert_tsne_3d,order_word,tr_4,2.6583719181806087,0.11391069589836245,5.9444588019757365,0.5778597356635985,-0.0008236939710055,1.61714259759658,3
X21,base,hubert_tsne_3d,overall,tr_4,19.137639453416536,7.254703074582569,30.822268849085535,4.160016587650848,0.828457690286512,7.36841350639614,3
X21,base,hubert_tsne_3d,within_token_phoneme,tr_4,11.211745335215355,-1.464706278024942,21.477851222141982,2.4371368623880265,-1.49461515880761,4.87190201972822,3
X21,base,hubert_tsne_3d,within_token_sentence,tr_4,19.06610898564408,7.3031039117336825,30.37221806961611,4.1444677560836025,0.801767973020667,7.20340438947921,3
X21,base,hubert_tsne_3d,within_token_word,tr_4,14.36791724469213,4.9040219588101,24.93750112413084,3.123205148336274,0.686931985410691,6.24618531847638,3
X21,base,hubert_tsne_3d,within_type_phoneme,tr_4,3.2484685016866877,-5.353875731359634,14.278684202560205,0.7061311236619305,-1.2639326068658,4.18406638265512,3
X21,base,hubert_tsne_3d,within_type_sentence,tr_4,-11.36093233350573,-18.425889077399372,-3.840441557146778,-2.46956616951655,-4.3518248534803,-0.30439020310859,3
X21,base,hubert_tsne_3d,within_type_word,tr_4,-11.837144529092095,-17.756245023638204,-5.95445601322525,-2.573082104055031,-4.22187653525947,-0.946901961404624,3
X21,base,hubert_tsne_3d,between_type_phoneme,tr_6,11.894677869895487,5.445093916021034,17.52631850563677,2.585588330471704,0.655330700067672,4.00784812917201,3
X21,base,hubert_tsne_3d,between_type_sentence,tr_6,0.936242600101861,-14.523133463422733,16.862980342784862,0.20351437573946907,-4.00614830183763,4.70344010012006,3
X21,base,hubert_tsne_3d,between_type_word,tr_6,23.0457112013603,18.525584972063893,28.1004846557498,5.009528009200454,3.84704550130249,6.50406241489201,3
