analysis_row_id,condition_id,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,test_accent,listener_accuracy,model_similarity,similarity_k
AN19:AN19.1:032,AN19.Korean.test_Korean,AN19,7.923806780573894,AN19.KOR.kf1.EW50,AN19.KOR.kf1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5877850022830262,0.0670629730176613
AN19:AN19.1:033,AN19.Korean.test_Korean,AN19,7.679688553994772,AN19.KOR.km1.EW61,AN19.KOR.km1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5974870038566276,0.0670629730176613
AN19:AN19.1:034,AN19.Korean.test_Korean,AN19,8.599291432649114,AN19.KOR.kf5.HW55,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.561752425977634,0.0670629730176613
AN19:AN19.1:035,AN19.Korean.test_Korean,AN19,7.804767321496406,AN19.KOR.km1.HW65,AN19.KOR.km1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5924961521292056,0.0670629730176613
AN19:AN19.1:036,AN19.Korean.test_Korean,AN19,30.388509706669364,AN19.KOR.kf3.EW55,AN19.KOR.kf3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.13029635013260757,0.0670629730176613
AN19:AN19.1:037,AN19.Korean.test_Korean,AN19,5.183950197982342,AN19.KOR.kf5.EW64,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7063452684401532,0.0670629730176613
AN19:AN19.1:038,AN19.Korean.test_Korean,AN19,8.406617786318241,AN19.KOR.km8.EW18,AN19.KOR.km8,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5690580768574469,0.0670629730176613
AN19:AN19.1:039,AN19.Korean.test_Korean,AN19,10.94142587760738,AN19.KOR.km1.HW67,AN19.KOR.km1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.4800982308542121,0.0670629730176613
AN19:AN19.1:040,AN19.Korean.test_Korean,AN19,7.464254408854978,AN19.KOR.kf5.EW59,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6061819490515297,0.0670629730176613
AN19:AN19.1:041,AN19.Korean.test_Korean,AN19,7.566895919505055,AN19.KOR.kf5.EW58,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6020236571360723,0.0670629730176613
AN19:AN19.1:042,AN19.Korean.test_Korean,AN19,11.938796834826098,AN19.KOR.km1.EW63,AN19.KOR.km1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.4490364518575109,0.0670629730176613
AN19:AN19.1:043,AN19.Korean.test_Korean,AN19,8.646222768236983,AN19.KOR.km8.HW29,AN19.KOR.km8,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5599871711304554,0.0670629730176613
AN19:AN19.1:044,AN19.Korean.test_Korean,AN19,9.780114400660665,AN19.KOR.kf3.EW54,AN19.KOR.kf3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.518983313201259,0.0670629730176613
AN19:AN19.1:045,AN19.Korean.test_Korean,AN19,12.257294238314024,AN19.KOR.kf3.EW52,AN19.KOR.kf3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.43954701542667135,0.0670629730176613
AN19:AN19.1:046,AN19.Korean.test_Korean,AN19,9.551754267440575,AN19.KOR.km3.EW73,AN19.KOR.km3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5269924595967493,0.0670629730176613
AN19:AN19.1:047,AN19.Korean.test_Korean,AN19,9.9564953967263,AN19.KOR.km3.HW74,AN19.KOR.km3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5128806140008194,0.0670629730176613
AN19:AN19.1:048,AN19.Korean.test_Korean,AN19,7.601956607795302,AN19.KOR.km3.HW75,AN19.KOR.km3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6006097974051872,0.0670629730176613
AN19:AN19.100:001,AN19.Spanish.test_Spanish,AN19,12.815540511588686,AN19.SPA.sf3.HW59,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.4233956274632155,0.0670629730176613
AN19:AN19.100:002,AN19.Spanish.test_Spanish,AN19,9.868268328332242,AN19.SPA.sm7.HW72,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.5159242056143603,0.0670629730176613
AN19:AN19.100:003,AN19.Spanish.test_Spanish,AN19,11.640173531624177,AN19.SPA.sf1.HW52,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.45811976039433,0.0670629730176613
AN19:AN19.100:004,AN19.Spanish.test_Spanish,AN19,23.43884527149,AN19.SPA.sf1.EW51,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.20765470558884877,0.0670629730176613
AN19:AN19.100:005,AN19.Spanish.test_Spanish,AN19,5.487414268972422,AN19.SPA.sf3.HW53,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.6921155793999785,0.0670629730176613
AN19:AN19.100:006,AN19.Spanish.test_Spanish,AN19,13.100133515583366,AN19.SPA.sm7.HW73,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.41539147070295973,0.0670629730176613
AN19:AN19.100:007,AN19.Spanish.test_Spanish,AN19,9.300908034449058,AN19.SPA.sf5.HW61,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.5359327755354857,0.0670629730176613
AN19:AN19.100:008,AN19.Spanish.test_Spanish,AN19,17.211019636437303,AN19.SPA.sf1.EW50,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.3153027011697351,0.0670629730176613
AN19:AN19.100:009,AN19.Spanish.test_Spanish,AN19,13.225321542350027,AN19.SPA.sf1.EW53,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.4119186577607583,0.0670629730176613
AN19:AN19.100:010,AN19.Spanish.test_Spanish,AN19,7.372372278952081,AN19.SPA.sm3.EW61,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.6099287065096329,0.0670629730176613
AN19:AN19.100:011,AN19.Spanish.test_Spanish,AN19,13.701111977704675,AN19.SPA.sf5.HW55,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.39898266750505534,0.0670629730176613
AN19:AN19.100:012,AN19.Spanish.test_Spanish,AN19,10.618820404232723,AN19.SPA.sm3.HW65,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.49059827353713925,0.0670629730176613
AN19:AN19.100:013,AN19.Spanish.test_Spanish,AN19,4.919282539913605,AN19.SPA.sf1.HW58,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.7189943983076413,0.0670629730176613
AN19:AN19.100:014,AN19.Spanish.test_Spanish,AN19,13.098778838190134,AN19.SPA.sm3.HW66,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.4154292101896172,0.0670629730176613
AN19:AN19.100:015,AN19.Spanish.test_Spanish,AN19,4.990000825943663,AN19.SPA.sf5.EW64,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.7155925839888191,0.0670629730176613
AN19:AN19.100:016,AN19.Spanish.test_Spanish,AN19,10.322859352351507,AN19.SPA.sf5.EW59,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.5004329585189786,0.0670629730176613
AN19:AN19.100:017,AN19.Spanish.test_Spanish,AN19,12.654786042780907,AN19.SPA.sm5.HW68,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.4279848098943139,0.0670629730176613
