tau,objective,best_k,best_score,linear_limit_score,improvement_over_limit,mean_distance,sd_distance,zero_distance_rows,best_k_times_mean_distance
2.375,z,0.109856054330612,4.56856164840403,4.31302245034553,0.2555391980585,6.620644309994004,5.739677040543632,2679,0.7273178610223585
2.5,z,0.109856054330612,4.56726895298244,4.30705292961352,0.2602160233689199,6.5393286667480615,5.668158394759068,2679,0.7183848453000036
2.625,z,0.109856054330612,4.56594000588967,4.30160125192816,0.2643387539615105,6.46897791689605,5.606314763776533,2679,0.7106563895020618
2.75,z,0.109856054330612,4.56452901868922,4.29657869951803,0.26795031917118983,6.407713218175039,5.552477853403864,2679,0.7039260914308177
2.875,z,0.109856054330612,4.56315042374677,4.29193399265114,0.2712164310956302,6.35404170119039,5.5053397548319385,2679,0.6980299503449457
3.0,z,0.109856054330612,4.56179556165362,4.28745723848124,0.2743383231723797,6.3067715223766285,5.463862431098213,2679,0.6928370350129635
3.125,z,0.109856054330612,4.56048070615912,4.28300849339928,0.27747221275983946,6.264892530648018,5.427138833593503,2679,0.688236374222314
3.25,z,0.109856054330612,4.55922900598827,4.2787897629299,0.2804392430583693,6.227628702545757,5.394500174632644,2679,0.6841427170977454
3.375,z,0.109856054330612,4.55806243553094,4.27479761507423,0.28326482045670964,6.194333942131596,5.365374655049656,2679,0.6804850860887627
3.5,z,0.109856054330612,4.55688530689681,4.27108202575993,0.2858032811368796,6.164480094797813,5.339301579971024,2679,0.6772054602140848
3.625,z,0.109856054330612,4.55583016005758,4.26752618728956,0.2883039727680199,6.137584821090333,5.315833665332878,2679,0.6742508515644392
3.75,z,0.157888226473676,4.55515688595444,4.26413043395453,0.29102645199990995,6.113274735281116,5.294626210233029,2679,0.9652141058998666
3.875,z,0.157888226473676,4.55526254348283,4.26106562868466,0.29419691479817,6.091225405123115,5.275412046765315,2679,0.9617327762662873
4.0,z,0.157888226473676,4.55542633182436,4.25836969334553,0.29705663847882935,6.071156895044773,5.257929880677538,2679,0.9585641948020487
0.5,log_likelihood,0.0179141104306328,-3891.87710790631,-3892.38412985066,0.5070219443500719,27.607714396576124,24.351029492060327,2679,0.4945676444376357
0.625,log_likelihood,0.0257466658709045,-3891.91306744128,-3892.44690693555,0.5338394942700688,18.409819030088716,16.203261459716565,2679,0.4739914593115133
0.75,log_likelihood,0.0370038359445673,-3891.94643546011,-3892.53200533459,0.5855698744799156,14.174391046344047,12.45091449281359,2679,0.5245068408930588
0.875,log_likelihood,0.0531829589694499,-3891.97948437882,-3892.63258873242,0.6531043536001562,11.833763928266984,10.370971188658705,2679,0.6293545814511793
1.0,log_likelihood,0.0531829589694499,-3892.03089030318,-3892.73397089533,0.703080592149945,10.384277199241172,9.080880697381374,2679,0.5522665882146374
1.125,log_likelihood,0.0764360518996802,-3892.04246800385,-3892.82177542488,0.7793074210298983,9.416092725679453,8.219534503237796,2679,0.7197289522722359
1.25,log_likelihood,0.0764360518996802,-3892.05983036493,-3892.89364292088,0.8338125559503169,8.732499454019298,7.611673321023674,2679,0.667477781481348
1.375,log_likelihood,0.0764360518996802,-3892.08778647816,-3892.96717487841,0.8793884002498089,8.229236667791016,7.1645435555464205,2679,0.6290103610340254
1.5,log_likelihood,0.109856054330612,-3892.09020648143,-3893.02959079207,0.93938431063998,7.846613878608853,6.824874435593327,2679,0.8619980405597883
1.625,log_likelihood,0.109856054330612,-3892.09200365983,-3893.08373975071,0.99173609087984,7.548047367358487,6.559950251262121,2679,0.8291987016785669
1.75,log_likelihood,0.109856054330612,-3892.0981084035,-3893.13129122892,1.0331828254197717,7.310206180607723,6.34909848053636,2679,0.8030704073448177
1.875,log_likelihood,0.109856054330612,-3892.10706062955,-3893.17578259335,1.0687219638002716,7.117348324361051,6.178300647212801,2679,0.7818838042108979
2.0,log_likelihood,0.109856054330612,-3892.11481415901,-3893.2136767852,1.098862626189657,6.95876941437598,6.038009976133107,2679,0.7644629508598887
2.125,log_likelihood,0.109856054330612,-3892.12154206178,-3893.24626059662,1.124718534839758,6.826685247385659,5.921343048593401,2679,0.7499527054347864
2.25,log_likelihood,0.109856054330612,-3892.12743296842,-3893.27516210788,1.1477291394598979,6.715372817563285,5.8231328395960045,2679,0.7377243610965473
2.375,log_likelihood,0.109856054330612,-3892.13336477763,-3893.30111753054,1.167752752910019,6.620644309994004,5.739677040543632,2679,0.7273178610223585
