dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,likes,X21.CMN.CMN_M_035,HT1_S013,-0.09708006839663343,14,1
X21,1,fish,X21.CMN.CMN_M_035,HT1_S013,0.2761757961745147,15,0
X21,1,player,X21.CMN.CMN_M_032,HT1_S005,-0.45201636861355976,8,5
X21,1,lost,X21.CMN.CMN_M_032,HT1_S005,-0.5061179508305017,8,5
X21,1,shoe,X21.CMN.CMN_M_032,HT1_S005,-0.6540836300482588,4,9
X21,1,player,X21.CMN.CMN_M_037,HT1_S005,-0.06968730652242369,13,0
X21,1,lost,X21.CMN.CMN_M_037,HT1_S005,-0.2578972529440551,12,1
X21,1,shoe,X21.CMN.CMN_M_037,HT1_S005,-0.2578972529440551,11,2
X21,1,player,X21.CMN.CMN_M_043,HT1_S005,-0.3299407364210524,9,4
X21,1,lost,X21.CMN.CMN_M_043,HT1_S005,-0.7476638086503472,8,5
X21,1,shoe,X21.CMN.CMN_M_043,HT1_S005,-0.5061179508305017,8,5
X21,1,player,X21.CMN.CMN_M_035,HT1_S005,-0.2879026286764625,14,1
X21,1,lost,X21.CMN.CMN_M_035,HT1_S005,-0.426999604154152,9,6
X21,1,shoe,X21.CMN.CMN_M_035,HT1_S005,-0.48703221875055114,10,5
X21,1,kitchen,X21.CMN.CMN_M_032,HT1_S017,0.30137469437525777,12,1
X21,1,window,X21.CMN.CMN_M_032,HT1_S017,0.30137469437525777,13,0
X21,1,was,X21.CMN.CMN_M_032,HT1_S017,0.0708119793501402,13,0
X21,1,clean,X21.CMN.CMN_M_032,HT1_S017,0.30137469437525777,13,0
X21,1,kitchen,X21.CMN.CMN_M_037,HT1_S017,0.30137469437525777,12,1
X21,1,window,X21.CMN.CMN_M_037,HT1_S017,0.0708119793501402,12,1
X21,1,was,X21.CMN.CMN_M_037,HT1_S017,0.0708119793501402,12,1
X21,1,clean,X21.CMN.CMN_M_037,HT1_S017,-0.06968730652242369,11,2
X21,1,kitchen,X21.CMN.CMN_M_035,HT1_S017,0.7222939175401425,14,1
X21,1,window,X21.CMN.CMN_M_035,HT1_S017,0.5008824444505136,15,0
X21,1,was,X21.CMN.CMN_M_035,HT1_S017,0.2761757961745147,13,2
X21,1,clean,X21.CMN.CMN_M_035,HT1_S017,0.04456193438615665,14,1
X21,1,kitchen,X21.CMN.CMN_M_043,HT1_S017,-0.3299407364210524,11,2
X21,1,window,X21.CMN.CMN_M_043,HT1_S017,-0.17365338776788264,12,1
X21,1,was,X21.CMN.CMN_M_043,HT1_S017,-0.06968730652242369,12,1
X21,1,clean,X21.CMN.CMN_M_043,HT1_S017,-0.17365338776788264,12,1
X21,1,picture,X21.CMN.CMN_M_037,HT1_S009,0.30137469437525777,13,0
X21,1,came,X21.CMN.CMN_M_037,HT1_S009,0.0708119793501402,13,0
X21,1,book,X21.CMN.CMN_M_037,HT1_S009,0.0708119793501402,12,1
X21,1,picture,X21.CMN.CMN_M_043,HT1_S009,-0.06968730652242369,13,0
X21,1,came,X21.CMN.CMN_M_043,HT1_S009,-0.06968730652242369,13,0
X21,1,book,X21.CMN.CMN_M_043,HT1_S009,-0.06968730652242369,12,1
X21,1,picture,X21.CMN.CMN_M_032,HT1_S009,0.30137469437525777,10,3
X21,1,came,X21.CMN.CMN_M_032,HT1_S009,0.7222939175401425,13,0
X21,1,book,X21.CMN.CMN_M_032,HT1_S009,0.7222939175401425,12,1
X21,1,picture,X21.CMN.CMN_M_035,HT1_S009,0.7222939175401425,15,0
X21,1,came,X21.CMN.CMN_M_035,HT1_S009,-0.09708006839663343,15,0
X21,1,book,X21.CMN.CMN_M_035,HT1_S009,-0.3614488270024201,13,2
X21,1,drinking,X21.CMN.CMN_M_037,HT1_S008,-0.3299407364210524,13,0
X21,1,own,X21.CMN.CMN_M_037,HT1_S008,-0.2578972529440551,11,2
X21,1,cup,X21.CMN.CMN_M_037,HT1_S008,-0.06968730652242369,13,0
X21,1,drinking,X21.CMN.CMN_M_043,HT1_S008,0.30137469437525777,11,2
X21,1,own,X21.CMN.CMN_M_043,HT1_S008,0.7222939175401425,12,1
