dataset_id,model_variant,representation,layer,measure,estimand,fold,scope,converged,singular,optimizer_code,convergence_messages,warnings,elapsed_seconds
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,2,heldout_refit,True,False,0,,,0.47
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,3,train_refit,True,False,0,,,0.99
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.54
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,1,train_refit,True,False,0,,,0.79
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.58
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.41
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,2,heldout_refit,True,False,0,,,0.45
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,3,train_refit,True,False,0,,,1.2
AN19,base,hubert_tsne_3d,cnn_4,order_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.6
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.93
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.46
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.79
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.58
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.97
AN19,base,hubert_tsne_3d,cnn_4,mean_dissimilarity_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.64
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,1,train_refit,True,False,0,,,0.77
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,1,heldout_refit,True,False,0,,,0.47
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,2,train_refit,True,False,0,,,0.81
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.28
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,3,train_refit,True,False,0,,,1.12
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.46
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.99
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.44
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.14
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.41
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.97
AN19,base,hubert_tsne_3d,cnn_5,within_token_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.54
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.71
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.36
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.7
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.28
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.7
AN19,base,hubert_tsne_3d,cnn_5,within_type_word,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.52
AN19,base,hubert_tsne_3d,cnn_5,between_type_word,actual_exposure_variability,1,train_refit,True,False,0,,,0.69
AN19,base,hubert_tsne_3d,cnn_5,between_type_word,actual_exposure_variability,1,heldout_refit,True,False,0,,,0.48
AN19,base,hubert_tsne_3d,cnn_5,between_type_word,actual_exposure_variability,2,train_refit,True,False,0,,,0.72
AN19,base,hubert_tsne_3d,cnn_5,between_type_word,actual_exposure_variability,2,heldout_refit,True,False,0,,,0.56
