case_id,condition_id,feature_key,policy,mean_training_slope,mean_training_z,pooled_test_mean_log_loss,pooled_test_mean_log_loss_null,pooled_test_improvement_mean_log_loss,positive_test_improvement_folds,positive_training_slope_folds,fitted_structures,failed_fits,singular_fits,convergence_message_fits,nonboundary_convergence_message_fits,boundary_only_fits,predictor_boundary_fits,variance_components_available
all_conditions,all,strf_rate_4,participant_item,0.34970460504012535,3.4215450817256365,0.65958531608053,0.6922747159217515,0.032689399841221545,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_rate_4,registered,0.346380261794889,3.3809639853005033,0.6598397322557588,0.6922890575451804,0.03244932528942168,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_rate_8,participant_item,0.30104683567763196,2.8677234762924435,0.6650251949422972,0.6922747159217515,0.027249520979454323,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_rate_8,registered,0.29356831426066937,2.785902350253103,0.6655566876298037,0.6922797521773877,0.026723064547583997,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_scale_0p25,participant_item,0.43225785714699194,3.6589199886035235,0.6422145631178616,0.6922747159217515,0.05006015280388987,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_scale_0p25,registered,0.4276078699568377,3.6169138191333903,0.6425681928742387,0.6922890575451804,0.04972086467094172,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_scale_0p5,participant_item,0.269243690934021,2.67289973309212,0.6623385116372881,0.6922747159217515,0.02993620428446342,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_scale_0p5,registered,0.26491446458698203,2.6308488865646233,0.6627580869668988,0.6922797521773877,0.029521665210488934,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_scale_1p0,participant_item,0.2643359435108226,2.3867747541373503,0.6784065407194078,0.6922747159217515,0.013868175202343735,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_scale_1p0,registered,0.26008720249930234,2.3265759194485995,0.678565879857165,0.6922797521773877,0.013713872320222698,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
c0,AN19.Korean.test_Korean,mfcc39,participant_item,1.1256542438525279,3.31508761722336,0.6329396791941087,0.6931744067418413,0.060234727547732625,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c0,AN19.Korean.test_Korean,mfcc39,registered,1.1256542438525279,3.31508761722336,0.6329396791941087,0.6931744067418413,0.060234727547732625,3,3,participant_item_intercepts,0,0,0,0,0,,False
c0,AN19.Korean.test_Korean,strf24_legacy,participant_item,1.48298628783442,4.416828234473614,0.6039219929657156,0.6931744067418413,0.0892524137761257,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c0,AN19.Korean.test_Korean,strf24_legacy,registered,1.4829848544145934,4.416803765803297,0.6039221838928743,0.6931717713455485,0.0892495874526742,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
c1,AN19.Korean.test_Spanish,mfcc39,participant_item,1.274897184728886,3.4861151072187737,0.6615658621512448,0.6987182402142292,0.03715237806298444,3,3,participant_item_intercepts,0,2,2,0,2,1.0,True
c1,AN19.Korean.test_Spanish,mfcc39,registered,1.274897184728886,3.4861151072187737,0.6615658621512448,0.6987182402142292,0.03715237806298444,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,2,2,0,2,,False
c1,AN19.Korean.test_Spanish,strf24_legacy,participant_item,1.9574858153848,4.86372860795602,0.6687093556081825,0.6987182402142292,0.030008884606046782,3,3,participant_item_intercepts,0,2,2,0,2,1.0,True
c1,AN19.Korean.test_Spanish,strf24_legacy,registered,1.9673601914106167,4.820881807989614,0.6698308911147622,0.6986211924768302,0.02879030136206795,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,2,2,0,2,,False
c2,AN19.Mixed.test_Korean,mfcc39,participant_item,0.6477523237628027,3.113148843323477,0.6249618310977682,0.6683134501975928,0.043351619099824656,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c2,AN19.Mixed.test_Korean,mfcc39,registered,0.61527833821624,2.904967334560196,0.6261172893498962,0.6676903250970909,0.04157303574719473,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
c2,AN19.Mixed.test_Korean,strf24_legacy,participant_item,0.5911391840835893,3.004201075454427,0.6244756992979897,0.6683134501975928,0.04383775089960307,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c2,AN19.Mixed.test_Korean,strf24_legacy,registered,0.5596885810617264,2.750014541822113,0.6255771898513236,0.6676903250970909,0.04211313524576732,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
c3,AN19.Mixed.test_Spanish,mfcc39,participant_item,1.0196726831584106,3.2493170958726534,0.6586020657938341,0.7044566313168161,0.04585456552298206,2,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c3,AN19.Mixed.test_Spanish,mfcc39,registered,1.0196726831584106,3.2493170958726534,0.6586020657938341,0.7044566313168161,0.04585456552298206,2,3,participant_item_intercepts,0,0,0,0,0,,False
c3,AN19.Mixed.test_Spanish,strf24_legacy,participant_item,1.0735826774764432,3.4528927173829635,0.6478256374675855,0.7044566313168161,0.05663099384923065,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
c3,AN19.Mixed.test_Spanish,strf24_legacy,registered,1.0735818397829304,3.4528894324425266,0.6478254848679021,0.7048682948725077,0.05704281000460554,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
c4,AN19.Spanish.test_Korean,mfcc39,participant_item,0.745665365039724,2.80373005900276,0.6661829830841026,0.6808906012551688,0.014707618171066139,2,3,participant_item_intercepts,0,0,0,0,0,0.0,True
